,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2133.4443,2061.2798,2134.5281,2061.2798,284714.0,19625.0,311256.0,3.0,0.0,10610.0,0.0,2.0,-1.0,8074.0,-3721.0,2080.53442,2062.77397,2004.286285,17.76045000000022,76.24813500000027,2038.388610079365,1998.21653370635,393698.2,,,2.661967897308762,2.192522595450328,4.854490492759091,3.0,10610.0,1.0,4353.0,0.06892881979811319,0.8346721162756764,,,0.3973,0.5067,0.374
20240507,2121.7925,2140.3665,2182.8298,2118.0183,281297.0,-3417.0,405509.0,2.0,0.0,9100.0,0.0,2.0,-1.0,7989.0,-2829.0,2089.12666,2070.89428,2016.229945,18.23237999999992,72.89671499999963,2050.882099285715,2007.507421984127,358400.9,,,2.509448228355693,2.192522595450328,4.701970823806022,2.0,9100.0,1.0,5160.0,-0.012147303383967835,0.8055294953756524,,,0.3836,0.4893,0.351
20240508,2114.22,2116.7207,2119.5608,2091.5886,284965.0,3668.0,270925.0,2.0,0.0,9882.0,0.0,2.0,-1.0,6290.0,-103.0,2098.973,2075.29355,2026.67071,23.67945000000009,72.30229000000008,2060.106358650794,2016.582205634921,304224.1,,,2.496321240087583,2.185355750304318,4.6816769903919,2.0,9882.0,1.0,6187.0,0.012871756180583581,0.7714480405743277,,,0.3699,0.4547,0.337
20240509,2113.5515,2124.0142,2137.896,2101.0801,287218.0,2253.0,240194.0,3.0,0.0,14882.0,0.0,3.0,-2.0,1121.0,0.0,2106.7043,2082.19139,2036.02611,24.51290999999992,70.67818999999986,2069.257523174603,2025.648559095238,293202.5,,,2.489188879907235,2.185355750304318,4.674544630211553,3.0,14882.0,1.0,1121.0,0.00784421589176166,0.8078365894760431,,,0.3699,0.4133,0.353
20240510,2080.9453,2123.9836,2132.4592,2078.5486,281963.0,-5255.0,306156.0,2.0,0.0,7698.0,0.0,2.0,-1.0,7428.0,-2416.0,2112.79072,2088.89307,2045.59835,23.89764999999989,67.19236999999976,2074.837835238096,2034.727278119048,293965.8,,,2.511372932347024,2.185355750304318,4.696728682651342,2.0,7698.0,1.0,5012.0,-0.01863719707904938,0.8286956573715842,,,0.3014,0.396,0.367
20240513,2132.7922,2104.2209,2136.6799,2100.696,290306.0,8343.0,240422.0,3.0,-1.0,6148.0,0.0,2.0,-1.0,7378.0,-3236.0,2112.6603,2096.59736,2056.027775,16.06294000000025,56.63252500000044,2082.483508968253,2043.798587984127,284829.0,,,2.465851318297578,2.192522595450328,4.658373913747907,2.0,6148.0,1.0,4142.0,0.028738641295736223,0.8229645035880618,,,0.3151,0.348,0.362
20240514,2123.2705,2143.5256,2151.2573,2107.9099,285357.0,-4949.0,263598.0,2.0,-1.0,3066.0,0.0,2.0,-1.0,1631.0,-2272.0,2112.9559,2101.04128,2067.224355,11.91462000000001,45.7315450000001,2089.151444285714,2052.476380690476,273641.4,,,2.284443694153731,2.192522595450328,4.476966289604059,1.0,3066.0,1.0,-641.0,-0.017343187656164032,0.921605606005452,,,0.2877,0.344,0.421
20240515,2120.6853,2122.948,2134.8499,2105.429,282386.0,-2971.0,195711.0,3.0,0.0,11449.0,0.0,2.0,-1.0,2214.0,-1502.0,2114.24896,2106.61098,2073.45575,7.63797999999997,40.79320999999982,2094.463735873016,2060.742225944445,269837.9,,,2.20715290196926,2.192522595450328,4.399675497419588,3.0,11449.0,1.0,712.0,-0.01052105982591205,0.9511242493572256,,,0.2466,0.2533,0.44
20240516,2109.9182,2138.5422,2141.0657,2097.968,279447.0,-2939.0,232514.0,3.0,0.0,12414.0,0.0,1.0,-2.0,1701.0,-2454.0,2113.5223,2110.1133,2079.09673,3.409000000000106,34.42556999999988,2098.821471111111,2068.558661563492,268618.2,,,2.194223668694202,2.185355750304318,4.37957941899852,3.0,12414.0,-1.0,-753.0,-0.010517200041510555,1.0466930316506429,,,0.1918,0.2253,0.485
20240517,2124.7146,2125.9634,2166.6367,2115.2417,284463.0,5016.0,372857.0,4.0,0.0,17136.0,0.0,1.0,-3.0,1135.0,-7164.0,2122.27616,2117.53344,2084.967875,4.742719999999736,37.30828499999961,2103.523718571429,2076.19163052381,283914.2,447428.4,,2.221287229735073,2.192522595450328,4.413809825185401,4.0,17136.0,-2.0,-6029.0,0.017633224707606966,1.030479687631317,,,0.1096,0.1573,0.475
20240520,2227.521,2129.9531,2228.2817,2084.8398,296282.0,11819.0,651636.0,3.0,0.0,9453.0,0.0,1.0,-3.0,422.0,-5353.0,2141.22192,2126.94111,2094.85754,14.2808100000002,46.36437999999998,2113.107157142857,2083.663485230159,317952.2,781963.2,0.32039,2.564722871838224,2.192522595450328,4.757245467288553,3.0,9453.0,-2.0,-4931.0,0.03989104974315011,0.9832126884243384,,,0.2466,0.2973,0.455
20240521,2176.6699,2225.7239,2240.2332,2158.6414,280202.0,-16080.0,420338.0,3.0,0.0,13965.0,0.0,0.0,-3.0,0.0,-13468.0,2151.9018,2132.42885,2101.661565,19.47295000000031,50.24023500000021,2122.45670436508,2090.820945738095,319435.1,504405.6,0.32683,2.729629069864775,2.209929760868302,4.939558830733077,3.0,13965.0,-3.0,-13468.0,-0.05738717068400654,0.8057263593298093,,,0.2466,0.2493,0.343
20240522,2184.0313,2187.187,2225.1831,2179.9409,284740.0,4538.0,358021.0,3.0,0.0,16514.0,0.0,1.0,-3.0,0.0,-11866.0,2164.571,2139.40998,2107.351765,25.16102000000001,57.21923500000003,2131.131276190476,2097.923437492064,328144.7,,0.3283249999999999,2.761343572087567,2.222109475025527,4.983453047113095,3.0,16514.0,-2.0,-11866.0,0.015937346351057105,0.7768720656086814,,,0.1781,0.2293,0.33
20240523,2166.0293,2170.2971,2185.1267,2147.0562,281538.0,-3202.0,273520.0,4.0,0.0,18786.0,0.0,0.0,-3.0,0.0,-11135.0,2175.79322,2144.65776,2113.424575,31.13545999999997,62.36864500000001,2136.828449206349,2104.680530095238,331477.3,,,2.705327439896188,2.222109475025527,4.927436914921715,4.0,18786.0,-3.0,-11135.0,-0.011373242688375992,0.7416748123908498,,,0.1781,0.2093,0.306
20240524,2187.1885,2164.7271,2213.0183,2164.7271,282903.0,1365.0,327909.0,3.0,0.0,13873.0,0.0,1.0,-3.0,0.0,-10015.0,2188.288,2155.28208,2122.087575,33.00592000000006,66.200425,2143.266203888889,2111.523366960318,333652.6,,,2.581333018776324,2.222109475025527,4.803442493801851,3.0,13873.0,-2.0,-10015.0,0.004824975344906205,0.7561626613671024,,,0.1781,0.1947,0.315
