,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,12279.1113,12254.0928,12366.3311,12220.2607,309297.0,17122.0,361446.0,4.0,0.0,16460.0,0.0,1.0,-3.0,0.0,-45663.0,12123.88632,11990.53867,12060.28711,133.3476500000015,63.59921000000213,12047.63304103175,12039.59343987302,410623.0,,,1.88599958089572,1.68554917208117,3.57154875297689,4.0,16460.0,-2.0,-45663.0,0.05535779525827926,-3.153142226174628,,,0.7397,0.6923,0.0274
20240507,12241.5098,12287.8223,12382.3447,12202.0723,336929.0,27632.0,333738.0,4.0,0.0,18977.0,0.0,1.0,-3.0,0.0,-48607.0,12184.42754,12030.07031,12066.613235,154.3572300000014,117.8143049999999,12067.07924071428,12033.44953586508,390976.5,,,1.893592931354819,1.652573741624869,3.546166672979687,4.0,18977.0,-2.0,-48607.0,0.08201134363619635,-3.1960777097082262,,,0.7534,0.7088,0.0274
20240508,12166.458,12248.8037,12285.8838,12160.9346,355910.0,18981.0,317449.0,4.0,0.0,18986.0,0.0,1.0,-3.0,0.0,-47760.0,12223.87734,12077.10156,12070.71636,146.7757800000018,153.1609800000006,12079.11510412699,12032.85696372222,389956.8,,,1.817233994977362,1.652573741624869,3.469807736602231,4.0,18986.0,-2.0,-47760.0,0.05333089826079627,-3.237709382750685,,,0.7397,0.6947,0.0212
20240509,12357.5215,12192.3682,12515.1465,12123.3955,347849.0,-8061.0,708583.0,4.0,0.0,17850.0,0.0,1.0,-2.0,0.0,-52625.0,12254.18808,12125.78633,12081.59146,128.4017500000027,172.5966200000021,12101.35485746032,12037.80661996032,420399.5,850299.6,,1.906294838610417,1.68554917208117,3.591844010691586,4.0,17850.0,-1.0,-52625.0,-0.023173848422735153,-3.212278451257327,,,0.7123,0.6958,0.0272
20240510,12256.2666,12361.6133,12424.2373,12203.8623,342398.0,-5451.0,379640.0,4.0,0.0,16932.0,0.0,1.0,-2.0,734.0,-51259.0,12260.17344,12161.95303,12080.14112,98.22041000000172,180.0323200000021,12121.25990460317,12047.07598618254,434530.4,,,1.826402289480268,1.741309906068419,3.567712195548686,4.0,16932.0,-1.0,-50525.0,-0.015920069626574922,-3.163091117748066,,,0.726,0.697,0.0361
20240513,12313.4668,12262.2666,12390.0771,12180.707,348019.0,5621.0,516777.0,4.0,0.0,15840.0,0.0,1.0,-2.0,946.0,-50742.0,12267.04454,12195.46543,12084.083745,71.57910999999876,182.9607949999991,12140.93259579365,12059.46008897619,447441.6,,,1.801293202014403,1.741309906068419,3.542603108082822,4.0,15840.0,-1.0,-49796.0,0.016151417020335096,-3.1516332669382674,,,0.4521,0.234,0.042
20240514,12086.5771,12329.5938,12388.9941,11997.7031,355759.0,7740.0,802038.0,4.0,0.0,19981.0,0.0,1.0,-3.0,0.0,-51397.0,12236.058,12210.24277,12080.1189,25.81523000000016,155.9391000000014,12147.10281126984,12073.44481986508,490712.4,962445.6,,1.892240353255174,1.783245164421459,3.675485517676633,4.0,19981.0,-2.0,-51397.0,0.021756301316340557,-3.1775239727453624,,,0.3973,0.1917,0.0359
20240515,12041.4717,12085.2939,12179.792,12025.3848,356811.0,1052.0,318061.0,3.0,0.0,17223.0,0.0,1.0,-2.0,0.0,-48464.0,12211.06074,12217.46904,12070.616995,-6.408299999999144,140.4437450000005,12144.94494976191,12088.28971536508,477477.5,,,1.824461547527704,1.783245164421459,3.607706711949163,3.0,17223.0,-1.0,-48464.0,0.0029483395971536754,-3.3652607207542915,,,0.411,0.1948,0.006
20240516,12001.3154,12080.0254,12090.7139,11940.5117,362549.0,5738.0,349317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139.81952,12197.0038,12059.63467,-57.18427999999949,80.18484999999964,12139.12295936508,12101.47234679365,461486.0,,,1.801764938800717,1.741309906068419,3.543074844869135,0.0,0.0,0.0,0.0,0.01582682616694571,-3.344427918700444,,,0.3973,0.153,0.0119
20240517,12158.7432,12029.6113,12214.9307,12026.8467,358011.0,-4538.0,342172.0,3.0,0.0,14467.0,0.0,1.0,-2.0,349.0,-48104.0,12120.31484,12190.24414,12068.139895,-69.92929999999978,52.17494500000066,12143.61133079365,12113.21567949206,442922.1,,0.21022,1.8095282696533,1.763479314102019,3.573007583755319,3.0,14467.0,-1.0,-47755.0,-0.012675588180251445,-3.057110190030201,,,0.3973,0.145,0.0564
