,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,14252.9434,14108.8936,14299.5918,14107.7207,267395.0,2483.0,214470.0,2.0,0.0,10694.0,0.0,2.0,-2.0,1626.0,-14386.0,14223.7625,14356.87832,14581.288035,-133.1158199999991,-357.5255349999989,14461.84795626984,14628.49598763492,438291.9,,0.23,1.645768569612018,1.910560004690092,3.55632857430211,2.0,10694.0,0.0,-12760.0,0.009285887918622263,-1.1598376405409356,,,0.5479,0.6333,0.414
20240507,14387.3281,14247.4336,14488.0576,14247.4336,275941.0,8546.0,378722.0,3.0,0.0,15457.0,0.0,2.0,-2.0,936.0,-15400.0,14275.91504,14330.02383,14569.29194,-54.10878999999841,-293.3768999999993,14439.91148587302,14596.60569742064,433598.2,,0.235405,1.592621935725557,1.873950850831886,3.466572786557443,3.0,15457.0,0.0,-14464.0,0.030970388597562522,-1.0900416459767768,,,0.4932,0.584,0.509
20240508,14356.2002,14374.5938,14525.7695,14336.6328,279545.0,3604.0,374873.0,3.0,0.0,15780.0,0.0,2.0,-1.0,1432.0,-18018.0,14291.31426,14301.25108,14560.08779,-9.936820000002626,-268.7735300000004,14420.82061103175,14564.14500563492,410357.5,,,1.594176152490381,1.873950850831886,3.468127003322266,3.0,15780.0,1.0,-16586.0,0.012892378686794612,-1.1425900637823745,,,0.5068,0.5853,0.434
20240509,14339.9688,14351.5293,14355.2197,14209.1992,279576.0,31.0,316306.0,3.0,0.0,11837.0,0.0,2.0,-2.0,1178.0,-15579.0,14297.56602,14285.83985,14532.06079,11.72616999999809,-234.4947700000012,14397.49189571429,14531.14524768254,382481.7,,,1.549291945700423,1.873950850831886,3.423242796532309,3.0,11837.0,0.0,-14401.0,0.00011088219303516754,-1.1571454352559412,,,0.5342,0.5867,0.416
20240510,14232.6807,14350.1123,14402.9102,14223.0557,280794.0,1218.0,383451.0,3.0,0.0,15831.0,0.0,2.0,-2.0,1300.0,-18742.0,14313.82424,14272.93624,14484.30708,40.88800000000083,-170.4828399999969,14373.85911484127,14498.46771744445,358945.0,,,1.54440252000746,1.873950850831886,3.418353370839346,3.0,15831.0,0.0,-17442.0,0.004337699523494091,-1.1240234649296106,,,0.5068,0.588,0.453
20240513,14508.2871,14218.6895,14512.5576,14174.8662,282574.0,1780.0,450526.0,3.0,0.0,16052.0,0.0,2.0,-1.0,217.0,-14930.0,14364.89298,14294.32774,14453.639795,70.56524000000172,-88.74681500000042,14365.66134365079,14468.62506735714,359445.1,540631.2,,1.614119143675104,1.873950850831886,3.48806999450699,3.0,16052.0,1.0,-14713.0,0.0062992348906835026,-1.113292887623347,,,0.5479,0.5787,0.465
20240514,14427.3232,14559.917,14689.4297,14413.8955,275954.0,-6620.0,480685.0,3.0,0.0,12220.0,0.0,2.0,-1.0,330.0,-15617.0,14372.892,14324.40352,14426.64785,48.48847999999998,-53.75584999999774,14368.64062531746,14443.94500911111,361832.6,576822.0,,1.620891686319902,1.899379923033043,3.520271609352944,3.0,12220.0,1.0,-15287.0,-0.023989505497293027,-1.0886766751647443,,,0.589,0.716,0.511
20240515,14544.0098,14437.0654,14567.0947,14411.7139,280318.0,4364.0,355589.0,3.0,0.0,13048.0,0.0,2.0,-2.0,135.0,-16860.0,14410.45392,14350.88409,14416.551855,59.56982999999855,-6.09793499999796,14374.36271325397,14424.15870117461,359614.8,,,1.554164746335908,1.899379923033043,3.45354466936895,3.0,13048.0,0.0,-16725.0,0.015568033447727224,-1.1374785650726134,,,0.6164,0.748,0.439
20240516,14819.9346,14550.6084,14886.8486,14505.1533,281537.0,1219.0,490052.0,3.0,0.0,16097.0,0.0,2.0,-1.0,1007.0,-14580.0,14506.44708,14402.00655,14419.291605,104.4405300000017,87.15547500000139,14404.3436913492,14410.61798666667,374626.3,588062.4,,1.60084725442716,1.920988271162363,3.521835525589523,3.0,16097.0,1.0,-13573.0,0.004329803897889087,-0.9934719601976302,,,0.6164,0.7093,0.645
20240517,14816.6504,14829.2666,14864.3867,14752.2822,277278.0,-4259.0,337171.0,3.0,0.0,15786.0,0.0,2.0,-1.0,255.0,-15032.0,14623.24102,14468.53263,14431.25508,154.7083900000034,191.9859400000023,14441.31494444445,14404.8254381746,378184.5,,,1.536103566071928,1.920988271162363,3.457091837234292,3.0,15786.0,1.0,-14777.0,-0.015360035776368844,-0.9799162780310088,,,0.6438,0.724,0.66
20240520,15001.543,14817.6182,15059.8096,14707.4375,281736.0,4458.0,554164.0,3.0,0.0,12707.0,0.0,2.0,-1.0,563.0,-17832.0,14721.8922,14543.39259,14450.135455,178.4996100000026,271.7567450000006,14488.68530873016,14407.50917342064,412153.9,664996.7999999999,0.241385,1.564796465326646,1.944535096656183,3.50933156198283,3.0,12707.0,1.0,-17269.0,0.015823323962858845,-0.9669074821254466,,,0.6849,0.744,0.672
20240521,14878.418,14973.6875,15198.8467,14865.6914,276678.0,-5058.0,525222.0,3.0,0.0,16904.0,0.0,2.0,-1.0,1134.0,-17989.0,14812.11116,14592.50158,14461.262705,219.6095800000003,350.8484549999994,14536.07519563492,14417.12554439683,426803.9,630266.4,,1.60973558523976,1.968058259491967,3.577793844731726,3.0,16904.0,1.0,-16855.0,-0.018281178843276298,-1.0752669747723538,,,0.7397,0.7053,0.527
20240522,14993.0029,14917.8984,15044.9141,14903.2051,281146.0,4468.0,356481.0,3.0,0.0,12324.0,0.0,2.0,-2.0,231.0,-19916.0,14901.90978,14656.18185,14478.716465,245.7279300000027,423.1933150000023,14585.10161904762,14433.55364519841,424964.7,,,1.615485529814279,1.968058259491967,3.583543789306245,3.0,12324.0,0.0,-19685.0,0.015892098767188577,-1.0441956034370643,,,0.7945,0.7227,0.572
20240523,15042.7773,15012.7402,15252.8135,14895.0,275837.0,-5309.0,665239.0,3.0,0.0,11966.0,-125.0,2.0,-1.0,631.0,-19578.0,14946.47832,14726.4627,14506.151275,220.0156200000001,440.327045,14639.32115785715,14457.7365714127,459858.0,798286.7999999999,,1.671902567175022,1.968058259491967,3.639960826666989,3.0,11841.0,1.0,-18947.0,-0.019246874059680175,-1.083390649000406,,,0.6164,0.4907,0.513
20240524,15211.4131,15099.0986,15384.8994,15099.0986,275932.0,95.0,626479.0,3.0,0.0,11681.0,-140.0,2.0,-2.0,708.0,-16685.0,15025.43086,14824.33594,14548.63609,201.0949199999977,476.7947699999986,14705.81040674603,14490.93170060317,484160.8,751774.7999999999,0.24932,1.737200593386041,1.988785461425683,3.725986054811724,3.0,11541.0,0.0,-15977.0,0.00034428772306220373,-1.0928707543945528,,,0.589,0.4907,0.492
