,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,3859.2141,3727.219,3864.3362,3727.219,148082.0,19227.0,150797.0,0.0,-1.0,0.0,-2619.0,2.0,-1.0,11192.0,-4316.0,3766.65342,3632.93332,3508.860819999999,133.7201,257.7926000000007,3579.935211507935,3463.584845920635,212656.2,,,2.930573570772991,2.003445646023267,4.934019216796258,-1.0,-2619.0,1.0,6876.0,0.12984022365986414,0.5217830651058283,,,0.1096,0.0979,0.9763
20240507,3779.8547,3860.6724,3866.3311,3757.1765,146116.0,-1966.0,232466.0,0.0,-1.0,0.0,-2457.0,2.0,-1.0,8109.0,-4972.0,3786.80888,3656.547749999999,3531.56095,130.2611300000003,255.2479299999995,3608.907716190476,3486.007490468254,221343.6,,,3.050340338700569,2.018348673420729,5.068689012121299,-1.0,-2457.0,1.0,3137.0,-0.013455063100550248,0.4984715278727423,,,0.1096,0.0972,0.9717
20240508,3724.7725,3786.2014,3786.2014,3720.2954,141350.0,-4766.0,164693.0,0.0,-2.0,0.0,-2553.0,2.0,-2.0,7019.0,-6756.0,3773.87558,3677.69973,3551.82953,96.17584999999963,222.0460499999999,3629.848360952381,3508.973580150794,227032.0,,,2.730992254561249,2.018348673420729,4.749340927981979,-2.0,-2553.0,0.0,263.0,-0.0337177219667492,0.4264590490973167,,,0.0274,0.0069,0.9108
20240509,3806.1353,3732.417,3823.5974,3717.7703,159028.0,17678.0,271993.0,1.0,-1.0,323.0,0.0,2.0,-1.0,5831.0,-7133.0,3785.3505,3712.45049,3574.808855,72.9000100000003,210.5416450000002,3652.566187777777,3533.095419436508,243486.7,,,2.772462209827267,2.031602372019572,4.804064581846839,0.0,323.0,1.0,-1302.0,0.11116281409563096,0.3009867357066815,,,0.0137,0.0137,0.6963
20240510,3818.0503,3797.3909,3840.916,3759.2759,156844.0,-2184.0,259487.0,1.0,-1.0,90.0,0.0,2.0,-2.0,4671.0,-8235.0,3797.60538,3747.41863,3598.602995,50.18674999999985,199.0023850000002,3675.468072777778,3558.565092571428,261780.3,,,2.66217383735512,2.080401265023831,4.742575102378951,0.0,90.0,0.0,-3564.0,-0.013924663997347682,0.3270585190831103,,,0.0274,0.0204,0.7535
20240513,3768.6838,3791.5793,3803.5632,3688.938,147376.0,-9468.0,206105.0,1.0,-1.0,0.0,-578.0,2.0,-2.0,4975.0,-7274.0,3779.49932,3773.07637,3618.185060000001,6.422950000000128,161.3142599999992,3692.313780873016,3584.645284968254,275264.2,,,2.782624223722843,2.080401265023831,4.863025488746674,0.0,-578.0,0.0,-2299.0,-0.06424383888828575,0.281214080354363,,,0.0274,0.027,0.6435
20240514,3698.7861,3774.6763,3808.5386,3694.3938,139948.0,-7428.0,178319.0,1.0,-1.0,347.0,0.0,2.0,-1.0,5668.0,-8115.0,3763.2856,3775.04724,3635.812815,-11.76163999999972,127.4727849999999,3703.54449388889,3609.600209166667,261657.8,,,2.880137461368575,2.15034999262285,5.030487453991425,0.0,347.0,1.0,-2447.0,-0.053076857118358245,0.3152462230989208,,,0.0411,0.0336,0.7373
20240515,3676.0742,3679.4478,3702.1602,3650.4666,134869.0,-5079.0,145138.0,1.0,-1.0,130.0,0.0,2.0,-1.0,4522.0,-7436.0,3753.54594,3763.71076,3651.465279999999,-10.16482000000042,102.0806600000005,3707.629142777778,3631.669663444444,240398.5,,,2.831778573981254,2.15034999262285,4.982128566604104,0.0,130.0,1.0,-2914.0,-0.037658765172129995,0.1045906770390067,,,0.0274,0.04,0.2431
20240516,3740.458,3690.0637,3779.6746,3678.5959,143714.0,8845.0,243041.0,1.0,-1.0,0.0,-584.0,2.0,-1.0,4841.0,-8998.0,3740.41048,3762.88049,3664.61157,-22.47000999999955,75.79890999999998,3715.997959285714,3651.349798206349,212641.7,,,2.932531370775998,2.212827573724342,5.14535894450034,0.0,-584.0,1.0,-4157.0,0.061545848003673964,0.1166500803345074,,,0.0274,0.0464,0.2648
20240517,3773.4827,3728.4729,3783.0869,3721.3652,142810.0,-904.0,166490.0,1.0,-1.0,0.0,-708.0,2.0,-1.0,5444.0,-9630.0,3731.496959999999,3764.55117,3681.45526,-33.05421000000024,50.04169999999931,3725.316674047619,3669.152760007937,201852.9,,,2.864718681338691,2.212827573724342,5.077546255063032,0.0,-708.0,1.0,-4186.0,-0.006330088929346684,0.143280300159522,,,0.0137,0.0526,0.3136
