,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2698.1746,2659.488,2705.7405,2645.3792,27905.0,-172.0,29690.0,3.0,0.0,2465.0,0.0,1.0,-2.0,0.0,-862.0,2574.2882,2545.46033,2503.995415,28.82787000000008,70.2927850000001,2523.622048730159,2493.957551944444,57253.4,,,2.460431233850636,2.236109635451359,4.696540869301996,3.0,2465.0,-1.0,-862.0,-0.006163769933703637,-0.8103743800964202,,,0.6575,0.4198,0.1745
20240507,2712.2256,2691.8491,2720.8145,2691.8491,29086.0,1181.0,42213.0,3.0,0.0,2318.0,0.0,2.0,-1.0,0.0,-712.0,2615.42794,2566.05425,2515.58742,49.3736899999999,99.8405200000002,2543.323791587302,2499.640685055555,53062.3,,,2.38125438528653,2.236109635451359,4.61736402073789,3.0,2318.0,1.0,-712.0,0.04060372687891082,-0.9778768200729044,,,0.6712,0.4634,0.1333
20240508,2759.5742,2715.5754,2785.1765,2702.8125,30747.0,1661.0,79385.0,3.0,0.0,1602.0,0.0,1.0,-3.0,0.0,-1935.0,2665.01002,2591.78237,2528.93997,73.22765000000027,136.0700499999998,2566.062796984128,2507.853256087302,54001.1,95262.0,,2.436656918569111,2.24023512464906,4.676892043218171,3.0,1602.0,-2.0,-1935.0,0.054021530555826584,-1.0634145373121484,,,0.6575,0.4699,0.1258
20240509,2771.0137,2762.1731,2804.6426,2743.2979,32978.0,2231.0,85596.0,3.0,-1.0,1706.0,-335.0,0.0,-3.0,0.0,-2300.0,2718.58732,2614.10474,2545.523405,104.4825799999999,173.0639149999993,2589.409432857143,2518.195327793651,56154.3,102715.2,,2.378008799154542,2.24023512464906,4.618243923803601,2.0,1371.0,-3.0,-2300.0,0.06765116138031414,-0.7529517846332598,,,0.8493,0.7262,0.2171
20240510,2773.8013,2784.2695,2784.2695,2739.655,32099.0,-879.0,50066.0,3.0,0.0,1661.0,0.0,1.0,-3.0,0.0,-1627.0,2742.95788,2638.53624,2563.419025,104.42164,179.5388549999998,2610.991745714286,2530.404684531746,56776.0,,,2.375131254527525,2.24023512464906,4.615366379176585,3.0,1661.0,-2.0,-1627.0,-0.027384030655160596,-1.1038885517731043,,,0.8219,0.6824,0.1111
20240513,2780.3081,2775.5452,2814.4675,2751.748,33618.0,1519.0,90810.0,3.0,0.0,1901.0,0.0,0.0,-3.0,0.0,-2456.0,2759.38458,2666.83639,2577.472735,92.54819000000043,181.9118450000005,2632.405716031745,2544.705579015873,60570.4,108972.0,,2.369118026547755,2.248016524754863,4.617134551302618,3.0,1901.0,-3.0,-2456.0,0.04518412755071688,-1.1084865573424472,,,0.7945,0.6395,0.1104
20240514,2755.8325,2779.6794,2797.6499,2744.2119,33265.0,-353.0,50641.0,3.0,0.0,2052.0,0.0,0.0,-3.0,0.0,-2899.0,2768.10596,2691.76695,2592.92405,76.33900999999969,175.1819099999998,2650.567180952381,2560.759954325397,60670.6,,,2.352090843170061,2.248016524754863,4.600107367924924,3.0,2052.0,-3.0,-2899.0,-0.010611754095896589,-1.1281028496262486,,,0.7945,0.7471,0.1032
20240515,2773.8682,2755.9626,2794.8774,2747.6855,34606.0,1341.0,51288.0,3.0,0.0,1660.0,0.0,0.0,-3.0,0.0,-3503.0,2770.96476,2717.98739,2608.6824,52.97737000000006,162.2823599999997,2667.578330317461,2578.299927,62332.7,,,2.27157054932984,2.248016524754863,4.519587074084703,3.0,1660.0,-3.0,-3503.0,0.03875050569265445,-1.1192160013471446,,,0.7808,0.6932,0.1154
20240516,2779.4185,2771.2488,2783.3472,2751.0085,34211.0,-395.0,46105.0,3.0,0.0,1729.0,0.0,0.0,-3.0,0.0,-3182.0,2772.64572,2745.61652,2623.23946,27.02919999999949,149.4062600000002,2683.933869841268,2597.306664357143,58907.0,,,2.22108838145128,2.24023512464906,4.46132350610034,3.0,1729.0,-3.0,-3182.0,-0.011545993978544913,-1.1344748577791106,,,0.7397,0.4607,0.1019
20240517,2796.9844,2783.0679,2823.4094,2775.783,35129.0,918.0,59278.0,4.0,0.0,1819.0,0.0,0.0,-3.0,0.0,-3261.0,2777.28234,2760.12011,2641.4003,17.16223000000036,135.88204,2700.501879682539,2616.839679269841,58507.2,,,2.17348980498534,2.223126436031047,4.396616241016387,4.0,1819.0,-3.0,-3261.0,0.026132255401520112,-1.2478645169394895,,,0.6575,0.4444,0.0633
20240520,2840.2808,2802.1824,2850.3364,2789.5657,35288.0,159.0,51386.0,3.0,0.0,1005.0,0.0,0.0,-3.0,0.0,-3069.0,2789.27688,2774.33073,2659.89553,14.94614999999976,129.3813500000001,2718.466882301587,2636.324162626984,60676.8,,0.257485,2.206131037120512,2.204914736421999,4.411045773542511,3.0,1005.0,-3.0,-3069.0,0.0045057810020403535,-0.8416660991774046,,,0.6164,0.3407,0.2075
20240521,2858.9656,2831.0146,2948.4092,2825.6509,38716.0,3428.0,122085.0,3.0,0.0,1532.0,0.0,0.0,-3.0,0.0,-2572.0,2809.903499999999,2789.00473,2677.52949,20.89876999999979,132.3740099999995,2738.475021587302,2655.839285626984,68664.0,146502.0,,2.43774735588567,2.223126436031047,4.660873791916718,3.0,1532.0,-3.0,-2572.0,0.08854220477322038,-0.9189276606251052,,,0.6027,0.2174,0.175
20240522,2846.4016,2857.9644,2888.5034,2828.0132,42334.0,3618.0,76221.0,4.0,0.0,2324.0,0.0,1.0,-2.0,27.0,-4418.0,2824.41018,2797.68747,2694.73492,26.72271000000001,129.67526,2755.365579206349,2674.769563849206,68347.6,,0.259325,2.361736591548396,2.204914736421999,4.566651327970394,4.0,2324.0,-1.0,-4391.0,0.08546322105163698,-0.939098843303446,,,0.589,0.1613,0.1739
