,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,7017.3076,7030.9316,7106.6514,6968.3213,391032.0,15032.0,422731.0,2.0,0.0,12487.0,0.0,1.0,-2.0,504.0,-16153.0,6915.463860000001,6836.99442,6702.12331,78.46944000000076,213.3405500000008,6782.21189261905,6658.639505190476,476741.1,,,2.103981778587364,1.110943536433245,3.214925315020609,2.0,12487.0,-1.0,-15649.0,0.03844186665029972,-0.3194602101195644,,,0.2192,0.224,0.177
20240507,7043.123,7075.1592,7102.2168,6987.0605,404343.0,13311.0,359442.0,2.0,0.0,13086.0,0.0,1.0,-3.0,0.0,-17484.0,6954.36278,6865.455500000001,6729.622574999999,88.90727999999945,224.740205000001,6815.806759444446,6684.754639317461,481150.2,,,2.092891289108788,1.144058506722838,3.236949795831626,2.0,13086.0,-2.0,-17484.0,0.03292007033632337,-0.3016608350386863,,,0.2055,0.2133,0.19
20240508,7020.6445,7040.5747,7166.0259,6976.0605,406551.0,2208.0,562041.0,3.0,0.0,20383.0,0.0,1.0,-2.0,0.0,-12917.0,6991.18406,6891.411409999999,6756.186465000001,99.7726500000008,234.9975949999989,6845.642632380954,6711.707134277778,522797.9,,,2.200048633385987,1.144058506722838,3.344107140108825,3.0,20383.0,-1.0,-12917.0,0.005431052930628629,-0.2868172273763121,,,0.1644,0.1907,0.202
20240509,7155.9419,7054.521,7228.1157,7035.6831,428984.0,22433.0,679353.0,2.0,0.0,13766.0,0.0,2.0,-2.0,4132.0,-7788.0,7053.168240000001,6924.079180000001,6786.60846,129.0890600000002,266.5597800000005,6881.615532142855,6739.613784992063,559192.5,815223.6,,2.326564428504005,1.144058506722838,3.470622935226844,2.0,13766.0,0.0,-3656.0,0.052293325625198145,-0.2533477412320165,,,0.1233,0.132,0.227
20240510,7141.6924,7166.2646,7201.0059,7061.2407,425187.0,-3797.0,457583.0,2.0,0.0,13967.0,0.0,1.0,-2.0,5732.0,-12373.0,7075.74188,6971.02196,6814.6922,104.7199199999995,261.0496799999992,6915.942849285714,6769.331090880953,578992.0,,,2.391888974645302,1.144058506722838,3.535947481368141,2.0,13967.0,-1.0,-6641.0,-0.008930188364178585,-0.3233775916908917,,,0.1233,0.1333,0.174
20240513,7184.749,7152.8403,7328.3389,7128.1328,452631.0,27444.0,703538.0,2.0,-1.0,11854.0,-74.0,1.0,-2.0,3838.0,-16686.0,7109.230160000001,7012.347009999999,6846.059729999999,96.88315000000148,263.1704300000019,6952.288908412699,6800.678472500001,600368.0,,,2.447891694563648,1.227470716117262,3.67536241068091,1.0,11780.0,-1.0,-12848.0,0.06063217057603213,-0.3502428252901979,,,0.1507,0.124,0.158
20240514,7138.6934,7176.9966,7234.0352,7037.5806,417204.0,-35427.0,561023.0,2.0,0.0,12756.0,0.0,2.0,-2.0,5466.0,-12543.0,7128.34424,7041.353510000001,6874.91088,86.99072999999953,253.43336,6980.76160436508,6832.355143373015,616159.8,,,2.580390194920293,1.288073686730091,3.868463881650383,2.0,12756.0,0.0,-7077.0,-0.08491529323784049,-0.2901123234085804,,,0.0959,0.1253,0.201
20240515,7194.188,7156.498,7308.3652,7133.5103,425562.0,8358.0,731809.0,2.0,0.0,12475.0,0.0,2.0,-1.0,10252.0,-13622.0,7163.05294,7077.1185,6904.67758,85.93444,258.3753599999991,7011.546601269841,6864.616782365079,632076.0,,,2.631385275211925,1.326671425574951,3.958056700786876,2.0,12475.0,1.0,-3370.0,0.0196399114582599,-0.2599669767230889,,,0.2877,0.2867,0.227
20240516,7358.7236,7205.5029,7363.4395,7149.7554,464207.0,38645.0,566562.0,2.0,-1.0,11408.0,-3154.0,2.0,-1.0,17461.0,-10506.0,7203.60928,7128.38876,6942.367985,75.22051999999985,261.2412949999998,7049.162148571428,6898.310937801587,626558.0,,0.23115,2.657151886248333,1.425931187051309,4.083083073299642,1.0,8254.0,1.0,6955.0,0.08324949860730235,-0.3948576432485682,,,0.2466,0.2307,0.124
20240517,7326.0747,7394.4258,7457.1436,7269.937,444739.0,-19468.0,575954.0,2.0,0.0,11597.0,0.0,2.0,-2.0,7604.0,-14855.0,7240.485740000001,7158.11381,6979.104605,82.37193000000116,261.3811350000005,7088.067993571429,6932.30469220635,562003.6,,,2.624540672817578,1.425931187051309,4.050471859868887,2.0,11597.0,0.0,-7251.0,-0.043773988788930136,-0.4485145801199421,,,0.2055,0.2133,0.086
