,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,112894.5156,112719.9844,113203.5625,111415.1719,281666.0,4905.0,127555.0,4.0,-1.0,12029.0,-1719.0,1.0,-2.0,10616.0,-28912.0,112218.10782,110691.01173,111421.997665,1527.096090000006,796.1101550000021,111292.0555827777,110955.5529799048,182243.0,,,3.169786247337343,3.815194453113962,6.984980700451305,3.0,10310.0,-1.0,-18296.0,0.01741424240057373,-0.3106088336252017,,,0.6849,0.6612,0.3016
20240507,114308.0547,113244.1172,115497.8281,113003.9141,287478.0,5812.0,164516.0,5.0,-1.0,14542.0,-1272.0,1.0,-2.0,11005.0,-29451.0,113084.84844,111247.98282,111584.48751,1836.865619999997,1500.360930000024,111534.0430088095,110971.2201623968,184166.7,,,3.171462441794401,3.815194453113962,6.986656894908363,4.0,13270.0,-1.0,-18446.0,0.020217199229158406,-0.3625701006786531,,,0.6986,0.6967,0.2632
20240508,112537.7656,114366.6953,114660.1406,111923.0391,289713.0,2235.0,128730.0,3.0,-1.0,12535.0,-1700.0,1.0,-2.0,10105.0,-30811.0,113525.52812,111703.47969,111618.371495,1822.04843000001,1907.156625000003,111666.2079869048,111029.6827892778,178665.7,,,3.207233037076377,3.815194453113962,7.022427490190339,2.0,10835.0,-1.0,-20706.0,0.00771453127750567,-0.3613770203572707,,,0.7123,0.6992,0.2723
20240509,112271.5625,112942.0313,113874.1563,110831.2734,293436.0,3723.0,149845.0,3.0,-1.0,12413.0,-1836.0,1.0,-2.0,9347.0,-31729.0,112781.82344,112034.71563,111557.09845,747.1078100000013,1224.724989999988,111734.4107833334,111115.5793665476,178283.2,,,3.048319426705179,3.815194453113962,6.86351387981914,2.0,10577.0,-1.0,-22382.0,0.01268760479286795,-0.3270473915080159,,,0.6575,0.7016,0.2917
20240510,109126.2969,112387.5156,112985.8828,107879.8438,298243.0,4807.0,227145.0,4.0,-1.0,15473.0,-1552.0,1.0,-2.0,9375.0,-33480.0,112227.63906,111999.22657,111307.92423,228.4124899999879,919.7148300000263,111577.4545092063,111198.5562540159,185327.1,272574.0,,3.262075371443151,3.944259329688538,7.20633470113169,3.0,13921.0,-1.0,-24105.0,0.0161177295024527,-0.4947728190459,,,0.6575,0.704,0.1969
20240513,107895.6875,108654.1094,109276.3438,106870.3906,302623.0,4380.0,147177.0,5.0,-1.0,15895.0,-1737.0,1.0,-2.0,9477.0,-34395.0,111227.87344,111722.99063,110905.066025,-495.1171899999899,322.8074150000029,111267.0813753175,111253.8105409445,180507.7,,,3.197363468527831,3.944259329688538,7.141622798216369,4.0,14158.0,-1.0,-24918.0,0.014473453769211197,-0.4729596874167144,,,0.726,0.7222,0.2113
20240514,106047.1484,107774.8594,109637.6563,105139.2578,302378.0,-245.0,246187.0,3.0,-1.0,13230.0,-2150.0,1.0,-2.0,8434.0,-37979.0,109575.69218,111330.27031,110576.755865,-1754.578130000024,-1001.063685000016,110848.1554873016,111269.2411673889,187872.6,295424.4,,3.21882497830379,4.015333458234137,7.234158436537927,2.0,11080.0,-1.0,-29545.0,-0.0008102441315175046,-0.7484894966779603,,,0.7671,0.8268,0.0308
20240515,103977.3125,105987.7188,106735.3281,102760.6172,303976.0,1598.0,211536.0,3.0,-1.0,13021.0,-3023.0,1.0,-2.0,9314.0,-39144.0,107863.60156,110694.56484,110159.49063,-2830.963279999996,-2295.889070000005,110248.2960005556,111229.5442958254,198361.8,,,3.318123943831099,3.944259329688538,7.262383273519638,2.0,9998.0,-1.0,-29830.0,0.005256993973208411,-0.614026124019928,,,0.7945,0.8828,0.1276
20240516,105101.4297,104640.2891,105796.8828,104199.125,298301.0,-5675.0,114509.0,3.0,-1.0,12976.0,-3443.0,1.0,-2.0,10035.0,-39748.0,106429.575,109605.69922,109814.89571,-3176.124219999998,-3385.32071,109744.1861607143,111107.1639540555,178118.9,,,3.242453092759478,3.944259329688538,7.186712422448016,2.0,9533.0,-1.0,-29713.0,-0.01902440823195363,-0.6406072541028356,,,0.8082,0.7597,0.0914
20240517,107480.7344,105646.9922,108253.0313,105621.5625,285986.0,-12315.0,164003.0,3.0,-1.0,11516.0,-4267.0,1.0,-2.0,8659.0,-35553.0,106100.4625,109164.05078,109767.580085,-3063.588280000011,-3667.117585,109440.0977322222,110935.1988627143,168120.3,,,3.263158379388424,3.944259329688538,7.207417709076962,2.0,7249.0,-1.0,-26894.0,-0.04306154846740749,-0.599407872317597,,,0.8082,0.7846,0.1717
20240520,107052.0625,108269.6797,109409.5313,106618.5469,285093.0,-893.0,144655.0,3.0,-1.0,12050.0,-3423.0,1.0,-2.0,8144.0,-35980.0,105931.7375,108579.80547,109635.4086,-2648.067969999989,-3703.671099999992,109216.6946883334,110727.6627732698,169830.3,,,3.193566293571563,3.944259329688538,7.137825623260101,2.0,8627.0,-1.0,-27836.0,-0.0031323112107277274,-0.6816931747373663,,,0.8493,0.8244,0.0452
20240521,107807.9844,107357.9375,110264.5078,106947.6875,282785.0,-2308.0,216645.0,3.0,-1.0,11572.0,-3488.0,1.0,-2.0,6533.0,-33184.0,106283.9047,107929.79844,109588.89063,-1645.89374,-3304.985929999995,109046.101341746,110478.8686065635,175043.2,259974.0,,3.298115954840044,3.944259329688538,7.242375284528583,2.0,8084.0,-1.0,-26651.0,-0.008161677599589794,-0.693739911453761,,,0.6301,0.5379,0.035
20240522,107635.2969,108119.7891,109003.9375,107030.9219,286518.0,3733.0,107426.0,3.0,-1.0,12080.0,-3085.0,1.0,-2.0,6237.0,-34943.0,107015.50158,107439.55157,109571.51563,-424.0499900000141,-2556.014050000013,108857.8748178571,110198.0352896587,172912.8,,0.398705,2.970615203517022,3.859454062662297,6.830069266179319,2.0,8995.0,-1.0,-28706.0,0.013028849845384933,-0.6668869828115112,,,0.6301,0.5338,0.0647
20240523,107428.9219,106777.2813,107705.1875,105125.3359,282825.0,-3693.0,147474.0,2.0,-1.0,8634.0,-3163.0,1.0,-2.0,5224.0,-34148.0,107481.00002,106955.28751,109495.00157,525.7125099999976,-2014.001550000001,108597.4840011905,109884.3426114445,172675.7,,,2.746424840256728,3.859454062662297,6.605878902919025,1.0,5471.0,-1.0,-28924.0,-0.01305754441792628,-0.7200320409716947,,,0.6575,0.5373,0.0347
20240524,108651.1484,107531.8828,109009.5781,107072.6328,284945.0,2120.0,149784.0,3.0,-1.0,10957.0,-5101.0,1.0,-2.0,4585.0,-32718.0,107715.08282,106907.77266,109453.499615,807.3101599999645,-1738.416795000026,108464.881560873,109573.0853166111,164939.6,,,2.76389612812912,3.763498522742951,6.527394650872071,2.0,5856.0,-1.0,-28133.0,0.007440032286932566,-0.6312864718307173,,,0.6849,0.5407,0.1182
20240527,107436.1875,108772.9219,109543.9141,106820.7188,291216.0,6271.0,123486.0,3.0,-1.0,11636.0,-5103.0,1.0,-2.0,3740.0,-34977.0,107791.90782,106861.82266,109292.406645,930.0851599999733,-1500.498825000017,108312.9226829365,109277.669447373,162570.5,,,2.784407509903289,3.647894509292779,6.432302019196069,2.0,6533.0,-1.0,-31237.0,0.021533844294269546,-0.6918875355277913,,,0.6986,0.5441,0.0441
20240528,106423.6328,108379.4531,108905.6172,106150.5938,292720.0,1504.0,138938.0,2.0,-1.0,9221.0,-4470.0,1.0,-2.0,3167.0,-33654.0,107515.0375,106899.4711,109114.870705,615.5664000000106,-1599.833204999974,108092.9872471429,109002.1526233572,151845.6,,,2.796915642867562,3.46718768115663,6.264103324024192,1.0,4751.0,-1.0,-30487.0,0.005138015851325499,-0.7035908076223203,,,0.726,0.5547,0.039
20240529,106527.7969,106412.9922,107192.3359,105250.8125,290462.0,-2258.0,115465.0,2.0,-1.0,9346.0,-4921.0,1.0,-2.0,4157.0,-33483.0,107293.5375,107154.51954,108924.54219,139.0179599999974,-1631.004689999987,107801.3689869841,108757.459922,142238.5,,,2.734142623460852,3.278698727114607,6.012841350575458,1.0,4425.0,-1.0,-29326.0,-0.007773822393290689,-0.7040641298050088,,,0.8904,0.7391,0.0388
20240530,107337.3828,107290.6484,109021.0938,106379.2578,290321.0,-141.0,163722.0,2.0,-1.0,9201.0,-5930.0,1.0,-2.0,3940.0,-31900.0,107275.22968,107378.11485,108491.907035,-102.8851699999941,-1216.677354999993,107669.6047369841,108550.001779627,147159.8,,,2.572779239083463,3.182044846324669,5.754824085408131,1.0,3271.0,-1.0,-27960.0,-0.00048566931086624804,-0.6770749325731675,,,0.8767,0.7194,0.0773
20240531,106421.9844,107475.5938,108498.1484,105813.7344,290748.0,427.0,127926.0,3.0,-1.0,11759.0,-5141.0,1.0,-2.0,3782.0,-32417.0,106829.39688,107272.23985,108218.145315,-442.842970000027,-1388.748435000016,107488.5216407143,108354.8441704762,143552.1,,0.39284,2.59393685205228,3.152531546886782,5.746468398939061,2.0,6618.0,-1.0,-28635.0,0.0014686257515098987,-0.7414908208331786,,,0.8356,0.6929,0.0337
20240603,104269.5625,105666.1094,105956.3984,102639.0859,294706.0,3958.0,178597.0,2.0,-1.0,9351.0,-4235.0,1.0,-2.0,3006.0,-31631.0,106196.07188,106993.98985,107786.89766,-797.9179700000241,-1590.825779999999,107107.2162819048,108143.8963298333,146946.3,214316.4,0.40457,2.549118138252997,3.152531546886782,5.701649685139779,1.0,5116.0,-1.0,-28625.0,0.013430333959946522,-0.757902866714147,,,0.7808,0.6879,0.0287
20240604,103436.5469,104093.2734,104755.9531,103043.2578,298695.0,3989.0,102601.0,2.0,-1.0,9923.0,-3748.0,1.0,-2.0,3733.0,-31249.0,105598.6547,106556.8461,107243.32227,-958.1913999999961,-1644.667570000005,106709.2629332539,107910.2124889841,135541.9,,,2.398534429230121,3.140774093848186,5.539308523078306,1.0,6175.0,-1.0,-27516.0,0.013354759872110347,-0.8355495400591224,,,0.726,0.7465,0.0095
20240605,101608.8828,103345.4141,103854.1484,101057.5547,302933.0,4238.0,158386.0,3.0,-1.0,12019.0,-2424.0,1.0,-2.0,3087.0,-28205.0,104614.87188,105954.20469,106696.87813,-1339.332809999978,-2082.006249999977,106202.8494834127,107644.7099555397,140637.9,,,2.469751645185938,3.100974330720143,5.570725975906081,2.0,9595.0,-1.0,-25118.0,0.013989892154370768,-0.8578129264062064,,,0.726,0.7413,0.0095
20240606,102809.5703,101879.9375,102942.0469,101174.7578,296589.0,-6344.0,123616.0,3.0,-1.0,11304.0,-2816.0,1.0,-2.0,3369.0,-28265.0,103709.30938,105492.26953,106223.77852,-1782.960149999999,-2514.469140000001,105779.0137930159,107362.8629347222,138252.1,,,2.384291905487489,2.999800291721123,5.384092197208612,2.0,8488.0,-1.0,-24896.0,-0.021389869482684794,-0.7833903142909495,,,0.7123,0.7222,0.0236
