,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,6415.4263,6388.2676,6427.9106,6373.0039,266615.0,12292.0,171446.0,1.0,0.0,3327.0,0.0,1.0,-2.0,6329.0,-16796.0,6359.21876,6314.53849,6284.359665,44.68026999999984,74.8590949999998,6315.714428015873,6274.019081269841,350111.9,,,1.517293450244926,1.591580877776033,3.108874328020959,1.0,3327.0,-1.0,-10467.0,0.04610393263694841,-0.4457986395335047,,,0.0137,0.02,0.246
20240507,6339.1885,6411.7993,6419.894,6301.7695,271029.0,4414.0,352337.0,1.0,-1.0,6167.0,-2548.0,2.0,-2.0,6316.0,-21921.0,6363.964180000001,6328.48805,6293.2469,35.47613000000092,70.71728000000076,6322.976668015875,6282.026536642857,337476.7,,,1.551274930379495,1.591580877776033,3.142855808155528,0.0,3619.0,0.0,-15605.0,0.016286080087370723,-0.4446252834097722,,,0.0137,0.0213,0.249
20240508,6323.0015,6345.3184,6359.999,6312.1187,273989.0,2960.0,246533.0,1.0,-1.0,4693.0,-2807.0,2.0,-2.0,8877.0,-21372.0,6365.54006,6334.311439999999,6304.235085,31.22862000000077,61.30497500000001,6326.404279206349,6289.890156896825,328236.8,,,1.522235960422269,1.591580877776033,3.113816838198302,0.0,1886.0,0.0,-12495.0,0.010803353419297855,-0.4643105502930392,,,0.0137,0.0227,0.232
20240509,6272.6797,6326.3091,6326.3091,6261.6138,280676.0,6687.0,262253.0,1.0,-1.0,8966.0,-2701.0,2.0,-1.0,9173.0,-21121.0,6343.9803,6334.3817,6310.873735,9.59860000000026,33.10656500000005,6324.907236825396,6297.001135793651,313502.6,,,1.439846654653578,1.591580877776033,3.03142753242961,0.0,6265.0,1.0,-11948.0,0.023824623409197793,-0.4759388248795851,,,0.1096,0.1107,0.222
20240510,6228.8262,6280.3838,6315.9839,6153.8286,273815.0,-6861.0,472562.0,1.0,-1.0,7914.0,-2590.0,2.0,-1.0,10628.0,-17138.0,6315.82444,6330.233020000001,6312.865925,-14.40858000000026,2.958515000000261,6318.315153888891,6302.893685349207,330100.9,567074.4,,1.535551483172046,1.617329326612887,3.152880809784933,0.0,5324.0,1.0,-6510.0,-0.025057064076109782,-0.534180805539414,,,0.1096,0.1253,0.187
20240513,6264.1201,6224.2412,6295.5972,6179.6934,277332.0,3517.0,324454.0,1.0,-2.0,8825.0,-5104.0,2.0,-2.0,9248.0,-16773.0,6285.5632,6322.39098,6316.06153,-36.82778000000053,-30.49833000000035,6311.644841349206,6307.283836468255,322526.2,,,1.472099987249573,1.617329326612887,3.08942931386246,-1.0,3721.0,0.0,-7525.0,0.012681551353612278,-0.5282892731438013,,,0.1233,0.132,0.192
20240514,6261.0664,6254.6709,6304.4849,6234.7422,279693.0,2361.0,313362.0,1.0,-1.0,8613.0,-2807.0,2.0,-2.0,9238.0,-17497.0,6269.938779999999,6316.95148,6310.157550000001,-47.01270000000022,-40.21877000000131,6306.93071515873,6310.368883492063,321419.0,,,1.449954963576996,1.617329326612887,3.067284290189884,0.0,5806.0,0.0,-8259.0,0.008441398247364075,-0.5216907950116604,,,0.0822,0.1493,0.194
20240515,6231.6963,6262.8716,6282.064,6208.5107,287229.0,7536.0,286285.0,1.0,-1.0,9896.0,-3087.0,2.0,-2.0,7989.0,-18208.0,6251.67774,6308.6089,6302.52203,-56.93116000000009,-50.84429,6300.34218968254,6312.186583738096,315842.3,,,1.385893319522628,1.591580877776033,2.977474197298661,0.0,6809.0,0.0,-10219.0,0.026236905047888618,-0.5344469669798845,,,0.0959,0.2107,0.184
20240516,6363.8813,6243.0698,6411.7969,6238.4854,308012.0,20783.0,673165.0,1.0,-1.0,2793.0,-3784.0,1.0,-2.0,8151.0,-14489.0,6269.91806,6306.949180000001,6302.74239,-37.03112000000056,-32.82433000000037,6302.704516825397,6313.281056873016,345722.8,807798.0,,1.497333824925875,1.617329326612887,3.114663151538762,0.0,-991.0,-1.0,-6338.0,0.067474643845045,-0.4904375239479425,,,0.2603,0.3667,0.215
20240517,6404.2578,6403.8149,6423.8247,6377.2217,283752.0,-24260.0,274257.0,1.0,-1.0,2585.0,-3466.0,1.0,-2.0,7011.0,-17148.0,6305.00438,6310.41441,6307.28006,-5.410030000000006,-2.275679999999738,6311.9807715873,6314.192080055555,337665.4,,,1.44520599284409,1.617329326612887,3.062535319456978,0.0,-881.0,-1.0,-10137.0,-0.08549719473342919,-0.4427663123413101,,,0.2877,0.392,0.25
20240520,6408.2144,6413.7314,6441.1553,6346.6675,277097.0,-6655.0,391392.0,2.0,0.0,4792.0,0.0,2.0,-2.0,6868.0,-17938.0,6333.82324,6309.69322,6312.115855,24.1300199999996,21.7073849999997,6321.390277460318,6314.759665,359660.0,,,1.482327275455487,1.591580877776033,3.073908153231519,2.0,4792.0,0.0,-11070.0,-0.024016860521766745,-0.4600575979571999,,,0.3151,0.4187,0.235
20240521,6436.9644,6398.498,6538.3828,6373.3247,290566.0,13469.0,601226.0,2.0,0.0,4594.0,0.0,1.0,-2.0,5317.0,-18432.0,6369.00284,6319.47081,6323.97943,49.5320300000003,45.02340999999979,6332.779535714286,6315.739951769841,384548.9,721471.2,,1.572914801530656,1.591580877776033,3.164495679306689,2.0,4594.0,-1.0,-13115.0,0.04635435666939697,-0.5119449131814584,,,0.3288,0.4067,0.2
20240522,6478.7627,6434.4766,6480.8711,6426.8076,289384.0,-1182.0,285005.0,2.0,-1.0,4017.0,-3204.0,2.0,-2.0,7845.0,-19881.0,6418.41612,6335.04693,6334.679185,83.36919000000034,83.7369349999999,6346.179372936508,6317.717461142857,388396.1,,,1.514846257077966,1.591580877776033,3.106427134853998,1.0,813.0,0.0,-12036.0,-0.004084538191468775,-0.4695525833201512,,,0.3288,0.4333,0.227
