,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,1594.1956,1526.2212,1603.1552,1526.2212,895737.0,5841.0,1029566.0,5.0,0.0,85989.0,0.0,2.0,-1.0,11114.0,-41154.0,1567.88022,1545.56729,1516.859125,22.31292999999982,51.02109500000006,1531.262339761905,1505.997047571429,1414973.7,,,2.885062156783102,2.69915364216272,5.584215798945822,5.0,85989.0,1.0,-30040.0,0.006520887269365896,-0.2267751069395503,,,0.2877,0.4427,0.222
20240507,1600.9415,1592.4479,1622.5631,1587.2223,926899.0,31162.0,1272140.0,4.0,0.0,81435.0,0.0,2.0,-1.0,14850.0,-44726.0,1573.6551,1554.19601,1524.83001,19.45908999999983,48.82508999999982,1539.430679603175,1511.356480460318,1322622.4,,,2.886485470958683,2.679440744242742,5.565926215201426,4.0,81435.0,1.0,-29876.0,0.033619628460058754,-0.4650290102838069,,,0.3425,0.452,0.163
20240508,1585.6465,1597.4303,1607.1316,1578.7029,946143.0,19244.0,956901.0,5.0,0.0,97138.0,0.0,2.0,-2.0,4812.0,-47132.0,1575.3612,1562.2003,1531.881965,13.16089999999986,43.47923499999979,1545.577327380952,1517.137657714286,1284454.1,,,2.75276470380094,2.679440744242742,5.432205448043682,5.0,97138.0,0.0,-42320.0,0.02033942015107653,-0.5199228432238795,,,0.3151,0.4533,0.145
20240509,1609.1506,1589.4196,1611.4379,1581.8439,951774.0,5631.0,955915.0,5.0,0.0,94084.0,0.0,2.0,-2.0,0.0,-47225.0,1584.11672,1570.27735,1536.639845,13.83937000000014,47.47687499999984,1552.594896587301,1523.273306801587,1212002.7,,,2.75871660382888,2.679440744242742,5.438157348071623,5.0,94084.0,0.0,-47225.0,0.005916320471036191,-0.6024684472142722,,,0.3562,0.4547,0.118
20240510,1610.3901,1620.2822,1641.6969,1597.2461,921902.0,-29872.0,1492056.0,5.0,0.0,87399.0,0.0,2.0,-1.0,0.0,-46645.0,1600.06486,1579.75927,1540.888105,20.30558999999994,59.17675499999996,1560.250991269841,1529.832730150794,1248105.3,,,2.803573151080101,2.679440744242742,5.483013895322843,5.0,87399.0,1.0,-46645.0,-0.03240257641267727,-0.5033714755312821,,,0.3288,0.456,0.156
20240513,1609.8018,1610.2148,1614.7697,1585.446,906995.0,-14907.0,957875.0,5.0,0.0,92372.0,0.0,1.0,-3.0,0.0,-60500.0,1603.1861,1585.53316,1544.993735,17.65294000000017,58.19236500000011,1566.769373174603,1536.533947944444,1170951.3,,,2.685608539302941,2.679440744242742,5.365049283545683,5.0,92372.0,-2.0,-60500.0,-0.016435592257950705,-0.5877025409219094,,,0.3562,0.448,0.121
20240514,1571.6563,1606.9432,1607.8414,1561.7992,928358.0,21363.0,1139059.0,5.0,0.0,96794.0,0.0,1.0,-2.0,419.0,-71897.0,1597.32906,1585.49208,1548.447295,11.83698000000004,48.88176500000009,1570.380871031746,1542.826906357143,1114190.6,,,2.753876630932302,2.69915364216272,5.453030273095022,5.0,96794.0,-1.0,-71478.0,0.023011596819330474,-1.013712316757737,,,0.3562,0.496,0.043
20240515,1571.361,1572.6875,1576.1365,1550.1644,934915.0,6557.0,834605.0,5.0,0.0,96205.0,0.0,1.0,-2.0,4925.0,-75064.0,1594.47196,1584.91658,1551.606395,9.555380000000014,42.86556500000006,1572.513989126984,1548.551061968254,1087723.6,,,2.653260033599139,2.679440744242742,5.332700777841882,5.0,96205.0,-1.0,-70139.0,0.007013471812945562,-0.961556337285077,,,0.3562,0.4973,0.052
20240516,1588.3702,1567.8074,1591.3147,1557.0845,947552.0,12637.0,846313.0,5.0,0.0,97939.0,0.0,1.0,-2.0,6140.0,-72995.0,1590.31588,1587.2163,1557.05444,3.09958000000006,33.26143999999999,1575.368853015873,1553.925475563492,1070383.8,,,2.648147038983446,2.679440744242742,5.327587783226189,5.0,97939.0,-1.0,-66855.0,0.013336471243794536,-1.1966013663019286,,,0.3836,0.4493,0.024
20240517,1632.0286,1593.8069,1635.5396,1583.29,923928.0,-23624.0,1287134.0,4.0,0.0,61414.0,0.0,1.0,-2.0,12898.0,-57102.0,1594.64358,1597.35422,1565.388565,-2.710640000000012,29.25501499999996,1581.305040396825,1559.545436134921,1077156.4,,,2.627705250912949,2.69915364216272,5.32685889307567,4.0,61414.0,-1.0,-44204.0,-0.025569091963875974,-1.3965181079948052,,,0.3699,0.444,0.009
