,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2233.0425,2124.3018,2233.3706,2122.6218,1044835.0,51697.0,1127458.0,2.0,-4.0,347.0,-24892.0,2.0,-1.0,23825.0,-18668.0,2221.02056,2155.12261,2016.763285,65.89795000000004,204.2572750000002,2086.793369047619,1978.740077865079,2124997.7,,,3.977232165243453,3.257726515680866,7.234958680924318,-2.0,-24545.0,1.0,5157.0,0.04947862581173104,0.6976127651453915,,,0.7123,0.884,0.494
20240507,2199.803,2237.5522,2270.2185,2180.0869,1070361.0,25526.0,1746056.0,2.0,-4.0,2197.0,-22751.0,2.0,-1.0,15031.0,-22673.0,2212.757,2170.48953,2037.013505,42.26747000000023,175.7434950000004,2106.269608412699,2002.274494888889,2001926.6,,,4.059231189108484,3.374026956173671,7.433258145282155,-2.0,-20554.0,1.0,-7642.0,0.023848028842605437,0.5370327847443465,,,0.7123,0.8973,0.47
20240508,2161.5251,2188.9619,2209.4375,2148.2012,1072245.0,1884.0,1673038.0,2.0,-4.0,1329.0,-23520.0,2.0,-1.0,19552.0,-21787.0,2192.80498,2179.38406,2054.638304999999,13.42092000000002,138.1666750000004,2119.609366349206,2024.992188460317,1901819.3,,,4.11162969273734,3.257726515680866,7.369356208418206,-2.0,-22191.0,1.0,-2235.0,0.0017570611194269966,0.5502854454835683,,,0.6986,0.8973,0.47
20240509,2185.1055,2166.1282,2200.0269,2152.4092,1074613.0,2368.0,1475617.0,2.0,-4.0,0.0,-24358.0,2.0,-1.0,22296.0,-18900.0,2185.82784,2185.83477,2070.32206,-0.006930000000011205,115.50578,2132.035701111111,2046.571591103174,1817272.2,,,4.108324815003209,3.257726515680866,7.366051330684075,-2.0,-24358.0,1.0,3396.0,0.002203583987910066,0.5271243702208239,,,0.6575,0.8987,0.467
20240510,2147.4075,2197.28,2223.5505,2131.686,1040969.0,-33644.0,1638963.0,2.0,-4.0,1110.0,-16667.0,2.0,-1.0,17000.0,-22530.0,2185.37672,2192.12625,2082.778725,-6.74953000000005,102.5979950000001,2141.62834873016,2066.9676585,1806749.8,,,4.179041136334455,3.374026956173671,7.553068092508125,-2.0,-15557.0,1.0,-5530.0,-0.032319886567227264,0.3357120250672812,,,0.8904,0.976,0.429
20240513,2190.311,2143.0537,2191.8098,2132.2451,1048421.0,7452.0,1305370.0,1.0,-4.0,1630.0,-20540.0,2.0,-1.0,30469.0,-21887.0,2176.83042,2198.92549,2095.877875,-22.09506999999985,80.95254500000055,2150.809409761905,2086.099236349207,1748572.3,,,3.86796619398671,3.257726515680866,7.125692709667576,-3.0,-18910.0,1.0,8582.0,0.007107831682120065,0.2798168745093185,,,0.8493,0.9707,0.42
20240514,2112.0339,2187.3779,2188.9155,2108.2461,1019395.0,-29026.0,1572722.0,3.0,-2.0,3992.0,-3292.0,1.0,-2.0,7169.0,-32505.0,2159.2766,2186.0168,2107.17318,-26.74020000000064,52.10341999999946,2155.06417484127,2102.743303277778,1631444.1,,,3.791318580385553,3.374026956173671,7.165345536559224,1.0,700.0,-1.0,-25336.0,-0.02847375158795168,0.2134591101829487,,,0.8493,0.9853,0.411
20240515,2115.0923,2108.2761,2123.175,2074.4346,1007219.0,-12176.0,1301239.0,2.0,-3.0,2572.0,-5964.0,2.0,-2.0,19470.0,-29121.0,2149.99004,2171.39751,2118.19117,-21.4074700000001,31.79887000000008,2155.398842936508,2116.249969579365,1514047.1,,,3.65308737290831,3.374026956173671,7.02711432908198,-1.0,-3392.0,0.0,-9651.0,-0.012088731447679205,0.217577429166565,,,0.8356,0.9867,0.411
20240516,2139.4243,2112.8857,2146.9248,2092.3105,1010105.0,2886.0,1167922.0,2.0,-4.0,2016.0,-16412.0,2.0,-2.0,20485.0,-26232.0,2140.8538,2163.34082,2129.654395,-22.48702000000003,11.19940499999939,2156.895036587301,2127.152614722222,1465936.8,,,3.608402866265654,3.374026956173671,6.982429822439325,-2.0,-14396.0,0.0,-5747.0,0.0028571287143415785,0.1755342952606115,,,0.863,0.9667,0.406
20240517,2273.6509,2149.0386,2276.3987,2136.2795,1080920.0,70815.0,2240402.0,1.0,-4.0,0.0,-26733.0,2.0,-1.0,34735.0,-20350.0,2166.10248,2175.7396,2149.38081,-9.637119999999868,16.7216699999999,2166.755986666667,2137.125984444445,1524878.7,2688482.4,0.47012,3.774468892547728,3.505973811402448,7.280442703950176,-3.0,-26733.0,1.0,14385.0,0.06551363653184325,0.4683051795807624,,,0.8356,0.9587,0.454
