,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,3729.7588,3665.1096,3732.6262,3664.9893,2262664.0,141831.0,1349052.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-114323.0,3674.5332,3663.67275,3615.104745,10.86045000000013,59.42845500000067,3643.078553650794,3603.708524380952,1638076.2,,,1.409281134982538,1.805275946431267,3.214557081413806,0.0,0.0,-3.0,-114323.0,0.06268319114106204,-0.4631896501460206,,,0.0685,0.1107,0.019
20240507,3715.9336,3726.2473,3735.5493,3708.394,2282583.0,19919.0,1082901.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-136258.0,3686.65074,3668.9664,3626.51671,17.68433999999979,60.13403000000017,3653.666006111111,3612.722087531746,1540096.0,,,1.371291289789049,1.805275946431267,3.176567236220317,0.0,0.0,-3.0,-136258.0,0.00872651728327075,-0.5137867637554565,,,0.0411,0.112,0.013
20240508,3669.51,3717.4817,3723.4824,3666.6558,2315863.0,33280.0,1575324.0,1.0,0.0,34348.0,0.0,0.0,-3.0,0.0,-185401.0,3686.29736,3670.225509999999,3637.56843,16.07185000000027,48.72892999999931,3659.598516507936,3621.324120952381,1553732.3,,,1.381663363727941,1.805275946431267,3.186939310159207,1.0,34348.0,-3.0,-185401.0,0.01437045282903177,-0.5575491245187856,,,0.0685,0.1133,0.009
20240509,3666.2139,3671.0615,3686.9387,3654.3679,2373158.0,57295.0,1384115.0,1.0,0.0,36268.0,0.0,0.0,-3.0,0.0,-206872.0,3686.754300000001,3671.52527,3643.99662,15.22903000000088,42.75768000000016,3662.968069920635,3629.328950087302,1528738.2,,,1.375909123373649,1.767336786719826,3.143245910093475,1.0,36268.0,-3.0,-206872.0,0.024142935278645587,-0.5336488476212968,,,0.0548,0.1147,0.011
20240510,3659.7805,3671.3645,3675.3818,3625.4653,2397530.0,24372.0,1732368.0,1.0,0.0,36774.0,0.0,0.0,-3.0,0.0,-196253.0,3688.23936,3674.88801,3648.377185,13.35135000000037,39.86217500000066,3664.80705095238,3636.780758396825,1539928.1,,,1.317105671477202,1.767336786719826,3.084442458197028,1.0,36774.0,-3.0,-196253.0,0.010165461954594937,-0.6024540623907676,,,0.0959,0.116,0.007
20240513,3684.0217,3657.0723,3686.2197,3623.5884,2392395.0,-5135.0,1675693.0,1.0,0.0,33065.0,0.0,0.0,-3.0,0.0,-180773.0,3679.09194,3676.81257,3654.530285,2.279370000000199,24.56165499999997,3666.998835,3643.527523650794,1550519.7,,,1.316197118708321,1.730746510993815,3.046943629702136,1.0,33065.0,-3.0,-180773.0,-0.0021463846898191977,-0.5557496992264324,,,0.0959,0.112,0.011
20240514,3629.4739,3683.8008,3685.7026,3623.9807,2465764.0,73369.0,1481980.0,1.0,0.0,36241.0,0.0,0.0,-3.0,0.0,-196740.0,3661.8,3674.22537,3656.3859,-12.42536999999993,5.414099999999962,3666.542318492063,3649.320316873016,1522645.3,,,1.378715504549533,1.730746510993815,3.109462015543348,1.0,36241.0,-3.0,-196740.0,0.029755077939332394,-0.5586941026446252,,,0.1096,0.264,0.01
20240515,3619.4329,3626.1428,3629.2158,3606.4365,2492336.0,26572.0,1444372.0,1.0,0.0,36629.0,0.0,0.0,-3.0,0.0,-185447.0,3651.78458,3669.04097,3656.759865,-17.25639000000001,-4.975284999999531,3663.296902301588,3653.910427071428,1524785.9,,,1.348722648633303,1.730746510993815,3.079469159627118,1.0,36629.0,-3.0,-185447.0,0.010661483844874848,-0.6744074961851901,,,0.1233,0.292,0.003
20240516,3701.1077,3621.9678,3703.8374,3613.1887,2473684.0,-18652.0,2124605.0,1.0,0.0,28426.0,0.0,0.0,-3.0,0.0,-167147.0,3658.76334,3672.75882,3661.85977,-13.99548000000004,-3.096430000000055,3664.991733333333,3657.841929690476,1574967.2,2549526.0,0.171465,1.434270868740084,1.767336786719826,3.20160765545991,1.0,28426.0,-3.0,-167147.0,-0.007540170854482626,-0.4511084043367418,,,0.2192,0.4093,0.028
20240517,3716.2036,3699.2166,3726.4761,3691.4871,2436975.0,-36709.0,1633711.0,1.0,0.0,29623.0,0.0,0.0,-3.0,0.0,-152067.0,3670.04796,3679.143659999999,3668.12626,-9.095699999999397,1.921699999999873,3669.618312063492,3661.556629833333,1548412.1,,0.17457,1.38837389036545,1.767336786719826,3.155710677085277,1.0,29623.0,-3.0,-152067.0,-0.015063346977297675,-0.5113231697709332,,,0.274,0.4333,0.02
20240520,3735.0061,3709.7029,3758.1519,3695.6465,2437520.0,545.0,1774759.0,1.0,0.0,30790.0,0.0,0.0,-3.0,0.0,-186878.0,3680.24484,3679.66839,3671.67057,0.5764500000000226,8.574270000000524,3675.717041825397,3664.820478650794,1590982.8,,,1.428728972416899,1.730746510993815,3.159475483410715,1.0,30790.0,-3.0,-186878.0,0.00022358790902228493,-0.5276847754007995,,,0.2877,0.4613,0.017
20240521,3746.7612,3729.7759,3753.4634,3722.8735,2443886.0,6366.0,1422643.0,1.0,0.0,31417.0,0.0,0.0,-3.0,0.0,-182184.0,3703.7023,3682.751149999999,3675.858775,20.95115000000078,27.84352500000023,3682.510413571428,3667.704919396826,1624957.0,,,1.401563232795237,1.70635221502632,3.107915447821556,1.0,31417.0,-3.0,-182184.0,0.002604867821166781,-0.4916496118306594,,,0.3562,0.464,0.024
20240522,3802.074,3746.4949,3815.4124,3745.8743,2537147.0,93261.0,2084502.0,1.0,0.0,29061.0,0.0,0.0,-3.0,0.0,-144973.0,3740.23052,3696.00755,3683.11653,44.22297000000026,57.11398999999983,3693.156815317459,3671.060749277777,1675874.8,2501402.4,,1.452539880468648,1.70635221502632,3.158892095494967,1.0,29061.0,-3.0,-144973.0,0.03675821700516367,-0.560458302340053,,,0.3699,0.5133,0.011
20240523,3776.915,3793.6484,3808.4929,3756.7764,2423932.0,-113215.0,1655368.0,1.0,0.0,28879.0,0.0,0.0,-3.0,0.0,-152165.0,3755.39198,3707.07766,3689.301465,48.31432000000041,66.09051500000078,3702.825574603174,3675.046499746031,1703000.1,,,1.415790459269083,1.70635221502632,3.122142674295402,1.0,28879.0,-3.0,-152165.0,-0.04670716835290759,-0.5668514488401803,,,0.3836,0.5453,0.01
20240524,3789.8975,3780.825,3804.3311,3771.501,2427523.0,3591.0,1269080.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-163113.0,3770.13076,3720.089359999999,3697.488685,50.04140000000052,72.64207499999975,3712.236678095239,3679.789462460318,1656671.3,,,1.322763741939112,1.70635221502632,3.029115956965432,0.0,0.0,-3.0,-163113.0,0.0014792856751511727,-0.547436163838755,,,0.4384,0.5787,0.016
20240527,3765.5566,3788.8103,3793.8767,3748.197,2389657.0,-37866.0,1352566.0,1.0,0.0,30071.0,0.0,0.0,-3.0,0.0,-169447.0,3776.24086,3728.24285,3702.52771,47.99801000000025,73.7131500000005,3719.603231825397,3685.049902142857,1624358.6,,,1.357150448686162,1.70635221502632,3.063502663712481,1.0,30071.0,-3.0,-169447.0,-0.01584578874708797,-0.5756834569475048,,,0.2192,0.3453,0.01
20240528,3748.3953,3769.677,3798.8396,3741.8938,2359494.0,-30163.0,1436446.0,1.0,0.0,31435.0,0.0,0.0,-3.0,0.0,-170788.0,3776.56768,3740.13499,3707.18018,36.43269000000055,69.38749999999982,3725.229187063491,3690.918589,1619805.2,,,1.355322284104795,1.700277453441445,3.05559973754624,1.0,31435.0,-3.0,-170788.0,-0.012783673109573493,-0.6404137575605338,,,0.2466,0.3493,0.006
20240529,3757.6194,3748.0891,3761.4846,3727.2634,2351103.0,-8391.0,1375886.0,2.0,0.0,59773.0,0.0,0.0,-3.0,0.0,-188450.0,3767.67676,3753.95364,3711.497305,13.72312000000011,56.17945499999996,3729.654069523809,3697.554305722222,1612956.6,,,1.356111739625931,1.700277453441445,3.056389193067377,2.0,59773.0,-3.0,-188450.0,-0.003568963163247208,-0.6512689352707107,,,0.2329,0.3493,0.005
20240530,3742.4163,3765.6948,3823.0444,3733.5564,2376964.0,25861.0,2674623.0,2.0,0.0,59211.0,0.0,0.0,-3.0,0.0,-216103.0,3760.77702,3758.0845,3715.42166,2.692520000000059,45.35536000000002,3734.298632222222,3704.484995611111,1667958.4,3209547.6,0.17112,1.429751409642199,1.70635221502632,3.136103624668519,2.0,59211.0,-3.0,-216103.0,0.010879845046033511,-0.6595909081355313,,,0.2192,0.3493,0.004
20240531,3711.8398,3741.9358,3743.1658,3706.8062,2340940.0,-36024.0,1559839.0,2.0,0.0,62391.0,0.0,0.0,-3.0,0.0,-231398.0,3745.165480000001,3757.64812,3718.39589,-12.48263999999972,26.76959000000079,3734.705026507937,3710.993667055555,1660571.2,,0.172385,1.378702306065567,1.70635221502632,3.085054521091886,2.0,62391.0,-3.0,-231398.0,-0.015388690013413414,-0.6663799602497694,,,0.2877,0.4267,0.004
20240603,3670.3281,3710.875,3717.8418,3662.8318,2377865.0,36925.0,1654542.0,2.0,0.0,63945.0,0.0,0.0,-3.0,0.0,-224471.0,3726.11978,3751.180319999999,3715.424355,-25.06053999999949,10.69542499999989,3731.674893809524,3716.589452253968,1648549.5,,,1.364787494790308,1.700277453441445,3.065064948231752,2.0,63945.0,-3.0,-224471.0,0.01552863598227822,-0.619956940333811,,,0.274,0.4773,0.011
20240604,3651.7615,3670.4438,3679.6052,3647.3582,2443802.0,65937.0,1421740.0,2.0,0.0,68423.0,0.0,0.0,-3.0,0.0,-236280.0,3706.79302,3741.68035,3712.21575,-34.88733000000002,-5.422730000000229,3726.419835555556,3720.980394452381,1648459.2,,,1.381547956351862,1.700277453441445,3.081825409793307,2.0,68423.0,-3.0,-236280.0,0.026981318453786353,-0.6224086139848208,,,0.274,0.576,0.011
20240605,3636.8684,3643.801,3666.043,3635.6504,2501058.0,57256.0,1358116.0,2.0,0.0,67024.0,0.0,0.0,-3.0,0.0,-239823.0,3682.64282,3725.15979,3710.58367,-42.51697000000013,-27.94084999999995,3719.632178015873,3723.627930722223,1575820.6,,,1.267927407633584,1.700277453441445,2.968204861075029,2.0,67024.0,-3.0,-239823.0,0.022892711804364394,-0.6407724488809332,,,0.3288,0.656,0.009
20240606,3669.7793,3641.8147,3671.9031,3626.886,2507546.0,6488.0,1926442.0,2.0,0.0,60540.0,0.0,0.0,-3.0,0.0,-217351.0,3668.115420000001,3714.44622,3710.76194,-46.33079999999973,-42.64651999999978,3714.580957222223,3724.803468984127,1602928.0,2311730.4,,1.288263930932499,1.700277453441445,2.988541384373944,2.0,60540.0,-3.0,-217351.0,0.0025873902213558596,-0.6965018949135274,,,0.3562,0.688,0.003
20240607,3661.2625,3669.6196,3693.9131,3645.426,2442213.0,-65333.0,1587309.0,2.0,0.0,59456.0,0.0,0.0,-3.0,0.0,-215994.0,3657.99996,3701.58272,3710.836040000001,-43.58276000000023,-52.83608000000095,3710.193222460317,3724.599123420635,1634750.9,,,1.263195989108684,1.700277453441445,2.963473442550129,2.0,59456.0,-3.0,-215994.0,-0.026751556887134743,-0.7514249380736571,,,0.4384,0.712,0.002
