,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,891.2379,874.005,893.5,869.1146,713389.0,30776.0,336461.0,0.0,-1.0,0.0,-13940.0,1.0,-2.0,15136.0,-21586.0,877.4952999999999,872.4743000000001,844.35616,5.020999999999844,33.13913999999988,859.9065265079364,837.7181759444444,522344.9,,,2.885959327127821,3.30330227984851,6.189261606976331,-1.0,-13940.0,-1.0,-6450.0,0.04314055865733842,0.6042673774692486,,,0.0548,0.0787,0.086
20240507,883.236,891.3342,897.113,878.5833,726352.0,12963.0,337720.0,0.0,-1.0,0.0,-14086.0,1.0,-2.0,11929.0,-21235.0,878.9192800000001,873.5644199999999,849.951765,5.354860000000144,28.96751500000005,864.2301423015871,842.7717305476192,489229.2,,,2.807210211540413,3.30330227984851,6.110512491388923,-1.0,-14086.0,-1.0,-9306.0,0.01784671894618587,0.549311472507457,,,0.0548,0.0813,0.08
20240508,863.6058,884.5153,887.7642,863.4045,741079.0,14727.0,415293.0,0.0,-1.0,0.0,-13192.0,1.0,-2.0,10200.0,-19920.0,875.53882,873.0210000000001,855.407395,2.517819999999915,20.13142500000004,866.4059025396823,847.4418391587302,467395.2,,,2.852587539218594,3.30330227984851,6.155889819067104,-1.0,-13192.0,-1.0,-9720.0,0.019872375279828467,0.6652932655648502,,,0.0822,0.0827,0.103
20240509,862.988,865.8067,878.4037,858.0119,758440.0,17361.0,435338.0,0.0,-1.0,0.0,-11511.0,1.0,-2.0,11445.0,-24904.0,874.01204,872.88383,858.7736600000001,1.128209999999967,15.23837999999989,867.6246892063493,851.6890290952381,455474.8,,,2.80740932023595,3.293067196604271,6.100476516840221,-1.0,-11511.0,-1.0,-13459.0,0.0228904066241232,0.6410333425731515,,,0.0685,0.084,0.099
20240510,870.5316,867.1533,874.0533,854.8008,762952.0,4512.0,472168.0,0.0,-1.0,0.0,-8303.0,1.0,-2.0,13029.0,-30779.0,874.31986,875.2261699999999,861.45008,-0.9063099999999622,12.86977999999999,868.7543615079366,855.6441338730159,445811.0,,,2.585242941469637,3.293067196604271,5.878310138073908,-1.0,-8303.0,-1.0,-17750.0,0.00591387138378299,0.5645745417383391,,,0.0822,0.0853,0.081
20240513,884.0494,869.8722,886.668,852.7819,778602.0,15650.0,516556.0,0.0,-1.0,0.0,-8568.0,1.0,-2.0,11418.0,-28202.0,872.8821599999999,875.1887300000001,864.9082999999998,-2.306570000000193,7.973860000000059,870.3911172222223,859.1697229444444,430292.0,619867.2,,2.591404521913602,3.293067196604271,5.884471718517873,-1.0,-8568.0,-1.0,-16784.0,0.020100128178453178,0.494687493294885,,,0.0959,0.08,0.058
20240514,862.697,883.0812,886.2874,855.2606,760774.0,-17828.0,453703.0,0.0,-1.0,0.0,-7362.0,1.0,-2.0,2857.0,-22254.0,868.77436,873.84682,866.6962149999999,-5.072459999999978,2.078145000000063,870.9311277777779,862.1530268095237,417495.3,,,2.68640305259189,3.459406680445218,6.145809733037108,-1.0,-7362.0,-1.0,-19397.0,-0.023434029028331672,0.9021046138990296,,,0.137,0.2213,0.181
20240515,855.1544,864.7647,864.7647,847.667,768476.0,7702.0,464658.0,0.0,-1.0,0.0,-7069.0,1.0,-2.0,1755.0,-23541.0,867.08408,871.3114499999999,867.27829,-4.227369999999951,-0.1942099999999982,870.1934230158728,864.4957987063492,426704.5,,,2.693360454661496,3.459406680445218,6.152767135106714,-1.0,-7069.0,-1.0,-21786.0,0.010022434012252822,0.7484398548716692,,,0.137,0.24,0.14
20240516,876.2874,856.8381,884.9008,853.4063,761815.0,-6661.0,538119.0,1.0,0.0,838.0,0.0,1.0,-2.0,4927.0,-16296.0,869.74396,871.878,868.860325,-2.134040000000027,0.8836350000000266,870.6681921428573,866.4201037698413,438937.6,645742.7999999999,,2.775232332213715,3.530330170806106,6.305562503019821,1.0,838.0,-1.0,-11369.0,-0.008743592604503718,0.6067871249815255,,,0.2329,0.348,0.09
20240517,886.6594,874.7429,888.5455,872.8869,762457.0,642.0,351204.0,0.0,-1.0,0.0,-6869.0,1.0,-2.0,4223.0,-17247.0,872.96952,873.6446899999999,871.91832,-0.6751699999998664,1.051199999999994,871.9067754761902,868.1012257698412,432122.0,,,2.577802723694646,3.530330170806106,6.108132894500752,-1.0,-6869.0,-1.0,-13024.0,0.0008420146972222696,0.447238571291242,,,0.274,0.3747,0.05
20240520,891.2547,883.9578,901.4495,874.533,748382.0,-14075.0,493056.0,0.0,-1.0,0.0,-6556.0,1.0,-2.0,2774.0,-17799.0,874.41058,873.64637,873.0603350000001,0.7642099999999346,1.350244999999859,873.7388067460314,869.4844537936508,447781.5,,,2.615365777501655,3.530330170806106,6.145695948307761,-1.0,-6556.0,-1.0,-15025.0,-0.018807240152756213,0.4749669720387297,,,0.3014,0.4093,0.057
20240521,904.9335,887.5387,906.3984,883.1591,756414.0,8032.0,453687.0,0.0,-1.0,0.0,-6909.0,1.0,-2.0,5811.0,-18376.0,882.8578799999999,875.8161200000001,874.69027,7.04175999999984,8.167609999999854,876.2869290476194,870.690132468254,459378.2,,,2.660011108802833,3.459406680445218,6.119417789248051,-1.0,-6909.0,-1.0,-12565.0,0.010618523718492784,0.4681620892631643,,,0.3562,0.412,0.057
20240522,919.1351,903.1667,923.5375,903.1667,757921.0,1507.0,467194.0,0.0,-1.0,0.0,-7784.0,2.0,-2.0,5168.0,-11046.0,895.65402,881.36905,877.195025,14.28496999999993,18.45899499999996,880.1938832539682,872.0689305396825,464568.3,,,2.644801364448,3.293067196604271,5.937868561052271,-1.0,-7784.0,0.0,-5878.0,0.001988333876485808,0.4103265104228429,,,0.3973,0.4387,0.045
20240523,904.2422,916.4067,923.2847,896.005,742351.0,-15570.0,496731.0,0.0,-1.0,0.0,-6954.0,1.0,-2.0,5217.0,-13831.0,901.24498,885.49447,879.1891499999999,15.75051000000008,22.05583000000013,883.2684542063494,873.6333070396826,470707.6,,,2.703228106180926,3.293067196604271,5.996295302785197,-1.0,-6954.0,-1.0,-8614.0,-0.020973905874714253,0.4263997683702826,,,0.3836,0.4707,0.048
20240524,905.9286,905.8444,913.5043,897.8348,735132.0,-7219.0,366295.0,0.0,-1.0,0.0,-7131.0,1.0,-2.0,4403.0,-9150.0,905.0988199999999,889.0341699999999,882.13017,16.06465000000003,22.96864999999991,885.7341890476191,875.3312897936509,460120.3,,0.3472999999999999,2.628574927159962,3.293067196604271,5.921642123764233,-1.0,-7131.0,-1.0,-4747.0,-0.009820005114727696,0.334555481595839,,,0.4247,0.5147,0.039
20240527,895.7963,907.1042,909.9289,889.5455,726920.0,-8212.0,354967.0,0.0,-1.0,0.0,-6654.0,1.0,-2.0,5689.0,-14535.0,906.0071399999999,890.20886,882.6987949999999,15.79827999999998,23.30834500000003,887.5261083333334,877.0447889047621,443961.4,,,2.640878171096645,3.164033682955472,5.804911854052117,-1.0,-6654.0,-1.0,-8846.0,-0.011296979034831893,0.3844437668906429,,,0.2192,0.276,0.043
20240528,879.9395,896.8936,910.9636,879.5557,733534.0,6614.0,458888.0,1.0,-1.0,0.0,-479.0,1.0,-2.0,5587.0,-14300.0,901.00834,891.9331099999999,882.889965,9.075230000000033,18.11837500000001,888.0796180952383,878.759637936508,444479.9,,,2.694241573381447,3.164033682955472,5.858275256336919,0.0,-479.0,-1.0,-8713.0,0.0090166236329877,0.4114884024951981,,,0.2055,0.2813,0.048
20240529,887.9841,884.3543,891.9258,877.694,729847.0,-3687.0,410985.0,0.0,-1.0,0.0,-5597.0,1.0,-2.0,4541.0,-15813.0,894.77814,895.2160799999999,883.263765,-0.4379399999999123,11.51437499999997,888.4532304761904,880.5856186825397,439112.6,,,2.639242144362523,3.164033682955472,5.803275827317995,-1.0,-5597.0,-1.0,-11272.0,-0.0050517437216293275,0.4178459567470151,,,0.2055,0.2827,0.049
20240530,860.7632,880.4089,893.9449,857.8372,724357.0,-5490.0,692079.0,1.0,0.0,1754.0,0.0,1.0,-2.0,3598.0,-14410.0,886.0823399999999,893.6636599999999,882.77083,-7.581320000000005,3.311509999999885,887.1054062698413,882.2293400952382,454508.6,830494.7999999999,0.35213,2.777085505064881,3.293067196604271,6.070152701669152,1.0,1754.0,-1.0,-10812.0,-0.007579135702422976,0.6489937941444787,,,0.3288,0.3733,0.114
20240531,861.056,862.7564,868.6526,857.0821,722854.0,-1503.0,350287.0,1.0,0.0,1836.0,0.0,1.0,-2.0,4379.0,-13045.0,877.10782,891.1033199999999,882.3740049999999,-13.99549999999999,-5.26618499999995,885.010879761905,883.5397505238095,454416.9,,,2.602155319834323,3.164033682955472,5.766189002789795,1.0,1836.0,-1.0,-8666.0,-0.002079258052110108,0.641799662799052,,,0.3014,0.408,0.113
20240603,839.033,860.1213,862.2104,835.9454,723288.0,434.0,513154.0,1.0,0.0,7775.0,0.0,2.0,-2.0,6254.0,-7498.0,865.7551599999999,885.8811499999999,879.76376,-20.12599,-14.00860000000011,881.5880834126986,884.3246781904763,456426.7,,,2.568633571372911,3.136343927486335,5.704977498859247,1.0,7775.0,0.0,-1244.0,0.0006000376060435125,0.6410457983109685,,,0.3288,0.4507,0.112
20240604,830.2258,837.3131,844.936,828.1674,720464.0,-2824.0,464902.0,1.0,0.0,8451.0,0.0,2.0,-2.0,6616.0,-8445.0,855.81242,878.41038,877.1132500000001,-22.59796000000006,-21.30083000000013,877.1774248412702,884.4137277698413,457548.2,,,2.571154987295556,3.136343927486335,5.707498914781892,1.0,8451.0,0.0,-1829.0,-0.003919696195784939,0.759561827436587,,,0.3151,0.5387,0.158
20240605,821.0369,828.5135,837.4349,820.5105,725462.0,4998.0,454293.0,1.0,0.0,9470.0,0.0,1.0,-2.0,3322.0,-13615.0,842.42298,868.6005600000001,874.984805,-26.17758000000003,-32.561825,872.0791426984126,883.6022537142859,456258.1,,0.35259,2.464143785032739,3.136343927486335,5.600487712519074,1.0,9470.0,-1.0,-10293.0,0.006889402890847487,0.6398223940736614,,,0.3973,0.6107,0.109
20240606,834.926,825.4263,838.9883,821.7847,708183.0,-17279.0,538325.0,1.0,0.0,9433.0,0.0,1.0,-2.0,3046.0,-12092.0,837.2555399999999,861.6689399999999,873.5817049999999,-24.41340000000002,-36.32616500000006,867.8604453174605,882.0614528253969,460417.5,,,2.493299645138973,3.136343927486335,5.629643572625309,1.0,9433.0,-1.0,-9046.0,-0.024399060694763924,0.7536270582777194,,,0.411,0.6467,0.158
20240607,835.52,834.4069,845.7336,830.0349,702552.0,-5631.0,439530.0,0.0,0.0,0.0,0.0,2.0,-1.0,1726.0,-6927.0,832.14834,854.6280800000001,871.831125,-22.47974000000011,-39.68278500000008,864.2208350793651,879.9101174285715,467741.0,,,2.412612065616051,3.136343927486335,5.548955993102386,0.0,0.0,1.0,-5201.0,-0.008015065077033444,1.4124847595082215,,,0.5068,0.6573,0.318
20240611,801.5533,828.2844,833.8708,800.5159,725803.0,23251.0,464937.0,1.0,0.0,7878.0,0.0,2.0,-1.0,2696.0,-7478.0,824.6524,845.20378,867.70632,-20.55138000000011,-43.05392000000006,858.472375,877.0047440952382,478738.0,,,2.530677792921174,3.136343927486335,5.66702172040751,1.0,7878.0,1.0,-4782.0,0.03203486345468398,1.3216500988994044,,,0.2055,0.3667,0.279
20240612,805.515,802.6519,810.2537,798.2603,736208.0,10405.0,349005.0,1.0,0.0,8520.0,0.0,2.0,-2.0,1047.0,-9580.0,819.71024,837.76133,864.84722,-18.05109000000004,-45.13697999999999,852.3433034920636,873.4311126349206,467749.7,,,2.484687637791284,3.135641178605807,5.620328816397091,1.0,8520.0,0.0,-8533.0,0.014133234086019169,1.278705274346001,,,0.1781,0.3667,0.27
20240613,812.0341,813.0848,816.595,793.6611,745962.0,9754.0,481183.0,1.0,0.0,9129.0,0.0,3.0,-1.0,933.0,-7150.0,817.90968,830.16633,862.6912050000001,-12.25665000000004,-44.7815250000001,846.8864037301587,869.2744299603175,474769.5,,,2.467379384306965,3.064196690594415,5.53157607490138,1.0,9129.0,2.0,-6217.0,0.013075733080237332,0.5630311780005398,,,0.5479,0.62,0.091
