,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,7914.0742,7884.6313,7985.0894,7745.9365,679604.0,64431.0,1153751.0,0.0,-2.0,0.0,-14392.0,2.0,-1.0,26394.0,-2514.0,7647.74004,7163.001859999999,6718.18042,484.7381800000003,929.55962,6979.137766587301,6536.77681618254,898363.7,1384501.2,,2.746318756652501,0.981700313995188,3.728019070647689,-2.0,-14392.0,1.0,23880.0,0.09480668153807217,0.6917213386500833,,,0.3836,0.344,0.955
20240507,8063.062,7993.4834,8063.9854,7930.8638,752229.0,72625.0,1096859.0,0.0,-3.0,0.0,-25803.0,3.0,-1.0,37377.0,0.0,7815.382820000001,7320.921340000001,6814.577,494.4614799999999,1000.80582,7106.492036666667,6620.852486460319,983623.1,,,2.740386484440966,0.9969392680358116,3.737325752476777,-3.0,-25803.0,2.0,37377.0,0.09654639744014124,0.6898822685084927,,,0.3562,0.3253,0.954
20240508,8244.5674,8049.332,8321.6152,8024.228,864469.0,112240.0,1955651.0,0.0,-3.0,0.0,-28496.0,3.0,0.0,56526.0,0.0,7980.96486,7495.626910000001,6918.77883,485.3379499999992,1062.18603,7239.641703333333,6715.738425936508,1161798.0,2346781.2,,2.930774837587085,1.01518148523611,3.945956322823196,-3.0,-28496.0,3.0,56526.0,0.12983692879675268,0.7043554987298908,,,0.3562,0.2773,0.957
20240509,8349.6465,8276.6699,8352.8438,8215.7666,898503.0,34034.0,1429531.0,1.0,-3.0,511.0,-28674.0,3.0,0.0,57562.0,0.0,8090.89044,7661.306989999999,7024.618115,429.583450000001,1066.272325,7375.449467380951,6820.481773119047,1259249.1,,,2.96290238900321,1.01518148523611,3.978083874239321,-2.0,-28163.0,3.0,57562.0,0.037878560227400465,0.7050205152313607,,,0.2603,0.156,0.957
20240510,8752.3857,8373.7002,8759.3242,8336.9648,999239.0,100736.0,2062091.0,0.0,-3.0,0.0,-33815.0,3.0,0.0,69669.0,0.0,8264.74716,7869.662160000002,7147.956784999999,395.0849999999991,1116.790375000001,7530.634946428572,6936.750274063493,1433496.5,2474509.2,0.421015,3.238091065703758,1.01518148523611,4.253272550939869,-3.0,-33815.0,3.0,69669.0,0.10081271847876234,0.6387305096491985,,,0.2466,0.12,0.947
20240513,9079.9541,8752.5176,9110.8164,8680.2666,1160110.0,160871.0,2661956.0,1.0,-3.0,0.0,-29068.0,3.0,0.0,65872.0,0.0,8497.92314,8072.83159,7289.326389999999,425.091550000001,1208.596750000002,7706.81873174603,7064.303100198413,1574538.2,3194347.2,0.481275,3.462704545541349,1.035301423579748,4.498005969121096,-2.0,-29068.0,3.0,65872.0,0.1386687469291705,0.5207702909663344,,,0.2466,0.1013,0.932
20240514,8508.1445,9063.2363,9143.4688,8421.1055,1077971.0,-82139.0,3953284.0,1.0,-3.0,0.0,-17800.0,3.0,0.0,57739.0,0.0,8586.93964,8201.161230000002,7400.682174999999,385.778409999999,1186.257465000002,7844.288488730157,7197.450143039682,1871426.2,4743940.8,,4.007245567576542,1.085984185166606,5.093229752743149,-2.0,-17800.0,3.0,57739.0,-0.07619778268617616,0.2117802885583991,,,0.2192,0.1,0.66
20240515,8190.873,8545.4834,8749.668,8121.6221,1019340.0,-58631.0,4238878.0,2.0,-2.0,7965.0,0.0,3.0,-1.0,48294.0,-473.0,8576.200760000002,8278.58281,7494.110715000001,297.6179500000017,1082.090045000001,7935.978986190476,7330.475056666665,2191195.3,5086653.6,,4.316880315885061,1.143318914702126,5.460199230587187,0.0,7965.0,2.0,47821.0,-0.05751859046049405,0.1534131040869067,,,0.1781,0.0813,0.579
20240516,8267.8096,8276.584,8388.3682,8094.8926,1011540.0,-7800.0,2512513.0,2.0,-2.0,11135.0,-9389.0,3.0,-1.0,50841.0,0.0,8559.83338,8325.361910000001,7590.51633,234.4714699999986,969.3170499999997,8011.303122619049,7458.631073857143,2267334.4,,,4.43360779953326,1.153496547983309,5.587104347516568,0.0,1746.0,2.0,50841.0,-0.007711014888190284,0.1360291290861301,,,0.1233,0.064,0.549
20240517,8297.4951,8393.3877,8469.0439,8196.3584,982914.0,-28626.0,1777633.0,2.0,-2.0,9553.0,-7472.0,3.0,-1.0,45082.0,0.0,8468.85526,8366.801210000001,7688.502219999999,102.0540499999988,780.3530400000009,8083.426317063494,7581.317156674602,2284214.7,,,4.179564381886168,1.153496547983309,5.333060929869477,0.0,2081.0,2.0,45082.0,-0.02912360593093597,0.0615551170936076,,,0.1233,0.0613,0.432
20240520,8924.2373,8381.1465,8967.6465,8343.5898,1046592.0,63678.0,2167991.0,2.0,-1.0,19695.0,0.0,3.0,-1.0,50945.0,0.0,8437.7119,8467.81752,7815.40969,-30.10562000000027,622.3022099999998,8185.860040952381,7701.98938411111,2385638.7,,,4.505066875943664,1.198344720879904,5.703411596823567,1.0,19695.0,2.0,50945.0,0.06084319390937443,0.2442447987847692,,,0.0959,0.0147,0.698
20240521,8747.3018,8941.2178,9109.9277,8504.9805,1030322.0,-16270.0,3313363.0,0.0,-1.0,0.0,-8573.0,3.0,0.0,56170.0,0.0,8485.54336,8536.2415,7928.58142,-50.69814000000042,556.9619399999992,8282.790133809522,7819.619193825396,2607289.1,3976035.6,,4.762364001364083,1.300159915018449,6.062523916382531,-1.0,-8573.0,3.0,56170.0,-0.015791179844747566,0.2664012806950708,,,0.0822,0.0107,0.725
