,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,11642.0342,11575.2852,11747.6709,11566.1406,89465.0,-1297.0,50594.0,0.0,0.0,0.0,0.0,2.0,-1.0,3102.0,-4020.0,11556.37638,11647.58683,11842.384525,-91.21045000000049,-286.0081449999998,11736.27662388889,11874.14765004762,83253.9,,1.759415045056842,2.164961437642306,3.924376482699148,0.0,0.0,1.0,-918.0,-0.01449728944279886,-0.5830674752894649,,,0.5205,0.5613,0.481
20240507,11751.4063,11641.1328,11836.6182,11617.5127,85399.0,-4066.0,70914.0,0.0,0.0,0.0,0.0,2.0,-1.0,3821.0,-3701.0,11619.8465,11648.37277,11831.547175,-28.5262700000003,-211.700675,11724.38952857143,11846.47508019048,81410.8,,1.727180561389215,2.164961437642306,3.892141999031522,0.0,0.0,1.0,120.0,-0.04761179873300624,-0.5826272569026264,,,0.5616,0.588,0.481
20240508,11723.4258,11743.1855,11876.4541,11711.3984,86380.0,981.0,59290.0,0.0,0.0,0.0,0.0,2.0,-1.0,3714.0,-3516.0,11654.84338,11634.28898,11821.49825,20.55439999999908,-166.6548700000003,11715.35890722222,11820.08581279365,77067.9,,1.73015850470409,2.164961437642306,3.895119942346396,0.0,0.0,1.0,198.0,0.011356795554526511,-0.5513021845112489,,,0.5753,0.588,0.508
20240509,11727.6592,11746.9219,11746.9219,11600.3682,86324.0,-56.0,58379.0,0.0,0.0,0.0,0.0,2.0,-1.0,3683.0,-3020.0,11683.95354,11625.35324,11798.277355,58.60030000000006,-114.3238149999997,11704.29575484127,11794.31241834921,71426.3,,1.684070388496325,2.164961437642306,3.849031826138631,0.0,0.0,1.0,663.0,-0.0006487187804086928,-0.7541317348207258,,,0.5479,0.5893,0.326
20240510,11676.6133,11731.9248,11784.2266,11650.0234,86766.0,442.0,61215.0,0.0,0.0,0.0,0.0,2.0,-1.0,3577.0,-3009.0,11704.22776,11624.81144,11763.392495,79.41632000000027,-59.16473500000029,11695.08978111111,11770.0229700873,68877.0,,1.641917262991386,2.164961437642306,3.806878700633693,0.0,0.0,1.0,568.0,0.005094161307424567,-0.8150420271900222,,,0.5753,0.5907,0.274
20240513,11970.8613,11670.3701,11975.0547,11646.6611,88536.0,1770.0,96839.0,0.0,0.0,0.0,0.0,2.0,-1.0,2142.0,-3110.0,11769.99318,11663.18478,11747.61608,106.8084000000017,22.3770999999997,11704.33130865079,11750.08099870635,70803.7,116206.8,1.732389946842368,2.164961437642306,3.897351384484675,0.0,0.0,1.0,-968.0,0.019991867714827867,-0.7681746314824817,,,0.6438,0.6453,0.309
20240514,11917.1934,11967.5303,12140.333,11917.1924,90860.0,2324.0,100977.0,1.0,0.0,484.0,0.0,2.0,-1.0,277.0,-3541.0,11803.1506,11711.49855,11736.67282,91.65204999999878,66.47777999999926,11724.28129174603,11736.59547118254,72596.4,121172.4,1.729042532451924,2.164961437642306,3.89400397009423,1.0,484.0,1.0,-3264.0,0.025577812018489986,-0.6759381089449481,,,0.6712,0.744,0.398
20240515,12016.0586,11930.4072,12062.7334,11862.6016,92204.0,1344.0,71731.0,1.0,0.0,350.0,0.0,1.0,-2.0,452.0,-4397.0,11861.67716,11758.26027,11738.94274,103.4168900000004,122.7344200000007,11746.51443515873,11729.50425745238,70780.2,,1.715974312796203,2.164961437642306,3.880935750438509,1.0,350.0,-1.0,-3945.0,0.014576374126935925,-0.7158327368183359,,,0.6849,0.7613,0.361
20240516,12213.5879,12024.2051,12304.6533,11952.7598,94755.0,2551.0,101272.0,1.0,0.0,85.0,0.0,1.0,-2.0,326.0,-3656.0,11958.8629,11821.40822,11751.11442,137.4546799999989,207.7484800000002,11786.09388476191,11729.46141607143,74829.5,121526.4,1.797992112418297,2.265040722054435,4.063032834472732,1.0,85.0,-1.0,-3330.0,0.026922062160308163,-0.4872657071514331,,,0.6986,0.7347,0.575
20240517,12227.3652,12224.7646,12274.0518,12173.2021,92654.0,-2101.0,56613.0,1.0,0.0,247.0,0.0,2.0,-2.0,1081.0,-3251.0,12069.01328,11886.62052,11773.84303,182.3927599999988,295.1702499999992,11830.81285420635,11736.74443701587,72782.4,,1.70464231497292,2.265040722054435,3.969683037027355,1.0,247.0,0.0,-2170.0,-0.022675761435016296,-0.5084227802240007,,,0.7534,0.7413,0.55
20240520,12348.1396,12237.2363,12437.0947,12151.6689,89792.0,-2862.0,102660.0,1.0,0.0,1110.0,0.0,1.0,-2.0,1351.0,-3705.0,12144.46894,11957.23106,11802.408945,187.2378800000006,342.0599950000014,11882.09969769841,11751.32674439683,77989.0,123192.0,1.710051386601797,2.265040722054435,3.975092108656233,1.0,1110.0,-1.0,-2354.0,-0.031873663578047044,-0.4109792594024506,,,0.7534,0.748,0.648
20240521,12304.1357,12328.0869,12609.7461,12298.7607,88028.0,-1764.0,113729.0,2.0,0.0,1979.0,0.0,1.0,-2.0,904.0,-2892.0,12221.8574,12012.504,11830.438385,209.3534,391.4190149999977,11934.81700142857,11772.36949168254,82270.5,136474.8,1.746345934374644,2.274484623418858,4.020830557793501,2.0,1979.0,-1.0,-1988.0,-0.020039078475030673,-0.5020594153078655,,,0.7945,0.72,0.558
20240522,12399.5107,12307.9834,12463.8184,12307.9834,87415.0,-613.0,60191.0,2.0,0.0,1509.0,0.0,1.0,-2.0,463.0,-4336.0,12298.54782,12080.11249,11857.200735,218.4353300000021,441.3470850000012,11987.55695396825,11799.58929635714,82360.6,,1.759291190565791,2.274484623418858,4.033775813984648,2.0,1509.0,-1.0,-3873.0,-0.007012526454269862,-0.4275035930401827,,,0.6027,0.4947,0.633
20240523,12477.4072,12407.0566,12687.6445,12310.5068,84567.0,-2848.0,149177.0,1.0,0.0,1364.0,0.0,1.0,-2.0,982.0,-6327.0,12351.31168,12155.08729,11890.220265,196.2243900000012,461.0914150000008,12046.77900857143,11833.83762173016,91440.4,179012.4,1.89084097917963,2.274484623418858,4.165325602598488,1.0,1364.0,-1.0,-5345.0,-0.033677439190227865,-0.34679298984497,,,0.6301,0.4947,0.706
20240524,12714.4775,12527.8896,12913.9189,12525.5059,87394.0,2827.0,150129.0,1.0,0.0,661.0,0.0,2.0,-2.0,384.0,-6308.0,12448.73414,12258.87371,11941.842575,189.8604300000006,506.8915650000017,12122.79553523809,11876.60819714286,100331.8,180154.8,2.029335221066901,2.274484623418858,4.303819844485758,1.0,661.0,0.0,-5924.0,0.03234775842735199,-0.3541295876089821,,,0.6301,0.4947,0.699
20240527,12698.3398,12701.2578,12818.7207,12599.1836,90618.0,3224.0,123107.0,1.0,0.0,1860.0,0.0,2.0,-1.0,778.0,-6233.0,12518.77418,12331.62156,11997.40317,187.1526199999989,521.3710099999989,12196.02264571429,11925.77733084921,102958.6,,2.018312200901228,2.274484623418858,4.292796824320085,1.0,1860.0,1.0,-5455.0,0.03557792050144563,-0.4146386088156755,,,0.6164,0.4947,0.639
20240528,12863.5684,12727.6396,13350.1162,12727.6396,105707.0,15089.0,248635.0,2.0,0.0,2204.0,0.0,2.0,-2.0,1147.0,-6777.0,12630.66072,12426.25906,12068.878805,204.4016599999995,561.7819149999996,12281.96707492064,11981.54590916667,117724.4,298362.0,2.288609939224954,2.274484623418858,4.563094562643812,2.0,2204.0,0.0,-5630.0,0.1427436215198615,-0.5715892623634081,,,0.6575,0.5,0.482
20240529,13131.8516,12923.4844,13151.877,12775.7148,110178.0,4471.0,137047.0,2.0,0.0,3986.0,0.0,2.0,-1.0,370.0,-6690.0,12777.1289,12537.83836,12148.049315,239.29054,629.0795849999995,12375.14774777778,12044.40924042857,124256.0,,2.402782597108898,2.287194858083273,4.689977455192171,2.0,3986.0,1.0,-6320.0,0.040579789068598084,-0.3320723254684997,,,0.6986,0.5,0.72
20240530,13499.1738,13178.3193,13614.1074,13178.3193,123672.0,13494.0,306474.0,2.0,0.0,5145.0,0.0,1.0,-2.0,0.0,-7291.0,12981.48222,12666.39695,12243.902585,315.0852700000014,737.5796350000019,12496.86293936508,12115.48614588889,144776.2,367768.8,2.576862883826411,2.298839180673014,4.875702064499425,2.0,5145.0,-1.0,-7291.0,0.10911119736076072,-0.2077283992808905,,,0.8493,0.72,0.802
20240531,13052.9922,13487.125,13487.4658,12868.6982,117721.0,-5951.0,256639.0,2.0,0.0,3824.0,0.0,2.0,-2.0,1051.0,-8653.0,13049.18516,12748.95965,12317.790085,300.2255100000002,731.3950750000004,12586.09592555555,12191.01445302381,164778.8,307966.8,2.73277727211374,2.298839180673014,5.031616452786754,2.0,3824.0,0.0,-7602.0,-0.05055172823880191,-0.3580679932851525,,,0.8082,0.704,0.69
20240603,12893.4404,13079.8711,13115.9834,12764.8662,117634.0,-87.0,137833.0,2.0,0.0,4296.0,0.0,1.0,-2.0,537.0,-8499.0,13088.20528,12803.48973,12380.360395,284.715549999999,707.8448850000004,12646.1634368254,12267.42082693651,168296.1,,2.790059513702259,2.306705048394734,5.096764562096993,2.0,4296.0,-1.0,-7962.0,-0.000739582093612391,-0.4809553594790658,,,0.726,0.7013,0.57
20240604,12776.5195,12871.2852,12883.2627,12578.5342,118037.0,403.0,118808.0,2.0,0.0,5243.0,0.0,1.0,-2.0,94.0,-11063.0,13070.7955,12850.72811,12431.616055,220.0673899999983,639.1794449999979,12685.00084896825,12342.43921169047,168804.0,,2.842737903294133,2.333422903986521,5.176160807280654,2.0,5243.0,-1.0,-10969.0,0.003414183688165575,-0.3904081496382623,,,0.6986,0.756,0.662
20240605,12811.9316,12773.8936,12877.3047,12676.3076,117103.0,-934.0,107111.0,2.0,0.0,4590.0,0.0,0.0,-2.0,0.0,-11437.0,13006.8115,12891.9702,12486.041345,114.8413,520.7701549999983,12720.42044531746,12415.7255608254,173496.0,,2.748514096498124,2.333422903986521,5.081937000484645,2.0,4590.0,-2.0,-11437.0,-0.007975884477767436,-0.3959436077880569,,,0.6849,0.7453,0.656
20240606,13255.2109,12827.1748,13269.6973,12698.8877,117602.0,499.0,183336.0,2.0,0.0,4135.0,0.0,1.0,-2.0,0.0,-10367.0,12958.01892,12969.75057,12562.41893,-11.73165000000154,395.5999899999988,12778.99951880952,12488.94761184921,176911.9,,2.994967007117042,2.40568530766892,5.400652314785962,2.0,4135.0,-1.0,-10367.0,0.004243125116919781,-0.44408502826529,,,0.6712,0.7293,0.611
20240607,13659.1006,13250.1982,13750.9023,13250.1982,125351.0,7749.0,259086.0,2.0,0.0,4360.0,0.0,1.0,-2.0,146.0,-8949.0,13079.2406,13064.21288,12661.543295,15.02771999999823,417.6973049999997,12872.58897166666,12563.92695549206,187807.6,310903.2,3.092462150607504,2.40568530766892,5.498147458276424,2.0,4360.0,-1.0,-8803.0,0.06181841389378625,-0.4091260299657618,,,0.6849,0.676,0.644
