,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,4421.522,4429.1338,4455.4121,4388.2188,109790.0,13451.0,91920.0,2.0,0.0,3365.0,0.0,1.0,-2.0,2788.0,-5768.0,4541.03154,4572.61827,4635.367899999999,-31.58672999999999,-94.33635999999933,4601.627703650795,4644.595024523809,143178.6,,,1.969741394677311,2.043616872125948,4.013358266803258,2.0,3365.0,-1.0,-2980.0,0.12251571181346206,-0.8779962602693899,,,0.7945,0.8107,0.0574
20240507,4451.0913,4429.1001,4463.9292,4413.2417,116366.0,6576.0,114394.0,2.0,0.0,3914.0,0.0,1.0,-2.0,3741.0,-5181.0,4512.2999,4555.09239,4623.6023,-42.79248999999982,-111.3024000000005,4583.034116349207,4635.932957063491,136814.0,,,1.969741346077289,1.992136819683773,3.961878165761062,2.0,3914.0,-1.0,-1440.0,0.056511352113160204,-1.0782415416829554,,,0.7397,0.7893,0.0332
20240508,4475.9609,4440.1289,4498.9312,4435.394,120775.0,4409.0,115066.0,2.0,0.0,2533.0,0.0,2.0,-1.0,4015.0,-234.0,4488.26054,4539.84834,4609.306715000001,-51.58779999999933,-121.0461750000004,4568.20814452381,4625.996695714285,122406.6,,,1.921933817613352,1.963882477502046,3.885816295115398,2.0,2533.0,1.0,3781.0,0.036505899399710204,-0.9540555278561816,,,0.7534,0.7893,0.0482
20240509,4447.2388,4471.1343,4475.9473,4423.3735,117192.0,-3583.0,122330.0,2.0,0.0,3607.0,0.0,2.0,-1.0,4047.0,-2047.0,4461.43242,4525.59497,4595.203299999999,-64.16255000000001,-133.7708799999991,4552.735924920636,4615.033374523809,120411.2,,,1.87426496453942,1.93525183723446,3.809516801773879,2.0,3607.0,1.0,2000.0,-0.030573759300976177,-0.9080782832660924,,,0.7397,0.7893,0.0552
20240510,4452.6724,4454.9336,4470.8032,4421.6963,120212.0,3020.0,120165.0,3.0,0.0,3408.0,0.0,2.0,-1.0,3597.0,-1313.0,4449.69708,4513.23828,4580.20306,-63.54119999999966,-130.5059799999999,4538.818011507937,4603.380206142857,120451.5,,,1.802316439531859,1.93525183723446,3.737568276766319,3.0,3408.0,1.0,2284.0,0.025122283964995176,-0.8464679140463715,,,0.7534,0.7893,0.0652
20240513,4427.0259,4452.6455,4462.957,4392.3345,124127.0,3915.0,125510.0,3.0,0.0,4107.0,0.0,2.0,-2.0,3845.0,-2020.0,4450.797860000001,4495.9147,4566.686605,-45.11683999999968,-115.8887449999993,4524.149647142856,4590.89824184127,122849.4,,,1.746436231971036,1.907110110916134,3.653546342887171,3.0,4107.0,0.0,1825.0,0.03154027729663973,-0.8916464691145555,,,0.7534,0.7813,0.0591
20240514,4413.9668,4439.7905,4459.4873,4403.084,128699.0,4572.0,95441.0,1.0,0.0,2329.0,0.0,2.0,-1.0,5027.0,-1981.0,4443.37296,4477.83643,4552.938459999999,-34.4634700000006,-109.5654999999997,4510.102198412697,4577.454984404762,120346.7,,,1.558639293289438,1.896789394105405,3.455428687394843,1.0,2329.0,1.0,3046.0,0.03552475155207111,-0.8936791610733414,,,0.726,0.848,0.0581
20240515,4423.0249,4398.9248,4433.6997,4392.9136,129459.0,760.0,117830.0,2.0,0.0,2753.0,0.0,2.0,-1.0,4068.0,-1629.0,4432.78576,4460.52315,4539.747885,-27.73739000000023,-106.962125,4496.647444285714,4563.197047753968,117566.2,,,1.498555093919624,1.896789394105405,3.395344488025029,2.0,2753.0,1.0,2439.0,0.005870584509381349,-0.892318768741871,,,0.7397,0.848,0.06
20240516,4456.4482,4411.5366,4461.354,4399.1851,129363.0,-96.0,129779.0,2.0,0.0,2952.0,0.0,1.0,-2.0,3086.0,-1438.0,4434.627640000001,4448.03003,4530.2492,-13.40238999999929,-95.62155999999959,4486.636679761905,4548.498360460318,116429.5,,,1.516157534982436,1.892160557275402,3.408318092257838,2.0,2952.0,-1.0,1648.0,-0.0007420978177686046,-0.9101898501310036,,,0.7397,0.7787,0.054
20240517,4591.9619,4461.8687,4591.9619,4461.6836,131822.0,2459.0,202052.0,2.0,0.0,1515.0,0.0,2.0,-1.0,4270.0,-967.0,4462.48554,4456.09131,4528.27542,6.39422999999988,-65.78988000000027,4487.852138968254,4534.981200952381,123448.7,242462.4,0.276,1.613766857054758,1.896789394105405,3.510556251160163,2.0,1515.0,1.0,3303.0,0.018653942437529394,-1.0714903572281038,,,0.7671,0.808,0.034
20240520,4708.2539,4600.98,4717.7998,4600.98,133666.0,1844.0,182623.0,2.0,0.0,1061.0,0.0,1.0,-2.0,3506.0,-5675.0,4518.73114,4484.7645,4528.691385,33.96663999999964,-9.960245000000214,4502.02610015873,4525.021040603175,132519.0,219147.6,0.279795,1.70473822719792,1.896789394105405,3.601527621303325,2.0,1061.0,-1.0,-2169.0,0.013795580027830563,-1.086732546955836,,,0.7808,0.8253,0.033
20240521,4721.9717,4693.4307,4735.4893,4676.2002,134253.0,587.0,158406.0,2.0,0.0,620.0,0.0,1.0,-2.0,1291.0,-5947.0,4580.332120000001,4511.85254,4533.472465,68.47958000000108,46.85965500000111,4519.400986666667,4518.657727634921,136920.2,,0.28152,1.688465605038245,1.896789394105405,3.58525499914365,2.0,620.0,-1.0,-4656.0,0.004372341772623331,-1.2187550558805726,,,0.8219,0.784,0.025
20240522,4713.7769,4706.6338,4740.0435,4677.4673,129651.0,-4602.0,168615.0,2.0,0.0,1164.0,0.0,1.0,-2.0,1442.0,-6895.0,4638.48252,4535.63414,4537.74124,102.8483799999995,100.7412799999993,4536.661637539683,4515.503076936508,142275.1,,,1.66187484342143,1.892160557275402,3.554035400696832,2.0,1164.0,-1.0,-5453.0,-0.03549529120484994,-1.26975729271902,,,0.863,0.7933,0.023
20240523,4662.6436,4706.9136,4713.2661,4638.9941,128219.0,-1432.0,160480.0,2.0,0.0,1600.0,0.0,1.0,-3.0,218.0,-8430.0,4679.7216,4557.17462,4541.384795,122.5469800000001,138.3368049999999,4549.918335396826,4515.221317984126,146090.1,,,1.620750132979719,1.892160557275402,3.512910690255121,2.0,1600.0,-2.0,-8212.0,-0.01116839158003104,-1.2765503283196589,,,0.863,0.8173,0.023
20240524,4728.7246,4691.9507,4736.2412,4650.6538,135043.0,6824.0,180052.0,2.0,-1.0,2008.0,0.0,0.0,-3.0,0.0,-11327.0,4707.07414,4584.77984,4549.009059999999,122.2942999999996,158.0650800000003,4566.266876428572,4517.966204476191,152078.8,,,1.55397032046691,1.892160557275402,3.446130877742312,1.0,2008.0,-3.0,-11327.0,0.05053205275356738,-1.267384722430147,,,0.8767,0.8387,0.025
20240527,4840.4907,4717.9824,4844.6167,4708.0313,152669.0,17626.0,291305.0,2.0,-1.0,2784.0,0.0,0.0,-3.0,0.0,-13919.0,4733.5215,4626.12632,4561.02051,107.3951799999995,172.5009899999995,4590.447395952381,4524.595979357143,168658.3,349566.0,0.2976199999999999,1.678605916095256,1.892160557275402,3.570766473370658,1.0,2784.0,-3.0,-13919.0,0.11545238391552967,-1.4678369068750208,,,0.9041,0.8507,0.014
