,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,5853.5186,5853.9219,5859.0469,5820.9551,1323243.0,74224.0,606625.0,1.0,-1.0,13794.0,-9980.0,1.0,-1.0,21503.0,-73415.0,5907.30908,5934.770109999999,5974.912675,-27.46102999999948,-67.60359499999959,5953.466475476191,5982.110987992064,807866.4,,,1.156062785308432,1.13003570939572,2.286098494704152,0.0,3814.0,0.0,-51912.0,0.056092493971250934,-0.0622803416497159,,,0.8356,0.7347,0.464
20240507,5857.1914,5862.9097,5868.4546,5837.9604,1350959.0,27716.0,535179.0,1.0,-1.0,15510.0,-12397.0,2.0,-2.0,22843.0,-64382.0,5897.04462,5923.59799,5964.962454999999,-26.55337000000054,-67.91783499999929,5942.07780968254,5976.872908460317,735816.4,,,1.110723055008787,1.13003570939572,2.240758764404507,0.0,3113.0,0.0,-41539.0,0.020515796556372177,-0.0528999567999035,,,0.7808,0.716,0.471
20240508,5826.3535,5853.0103,5854.8682,5824.502,1401803.0,50844.0,486408.0,1.0,-1.0,16629.0,-15768.0,2.0,-1.0,31314.0,-62467.0,5875.483679999999,5909.16381,5953.37178,-33.68013000000064,-77.88810000000103,5929.673662142857,5970.288086809524,645567.6,,,1.076365374973664,1.13003570939572,2.206401084369384,0.0,861.0,1.0,-31153.0,0.03627043172257443,-0.0597960118230491,,,0.7671,0.676,0.464
20240509,5821.8364,5816.353,5841.7461,5806.0415,1446643.0,44840.0,595200.0,1.0,-1.0,18682.0,-16000.0,2.0,-1.0,24892.0,-63489.0,5853.44794,5895.312980000001,5943.415774999999,-41.86504000000059,-89.96783499999947,5916.678603412699,5962.545409626984,630336.1,,,0.9883341568531626,1.119698411059422,2.108032567912585,0.0,2682.0,1.0,-38597.0,0.03099589878083259,-0.0655907072173587,,,0.6849,0.6067,0.457
20240510,5818.2476,5826.0161,5833.2061,5737.9751,1499468.0,52825.0,1109971.0,1.0,-1.0,19644.0,-15942.0,1.0,-3.0,5094.0,-71275.0,5835.4295,5881.821679999999,5934.697295,-46.39217999999892,-99.26779499999975,5903.446222698411,5953.66319,677921.0,1331965.2,,1.047746056583341,1.119698411059422,2.167444467642763,0.0,3702.0,-2.0,-66181.0,0.03522916127586584,-0.1319231509161587,,,0.6301,0.5453,0.41
20240513,5778.5581,5813.9448,5821.7827,5761.1323,1555088.0,55620.0,738510.0,1.0,-1.0,19506.0,-19392.0,2.0,-2.0,15068.0,-78905.0,5820.437400000001,5863.87324,5923.598660000001,-43.43583999999919,-103.1612599999999,5889.386631666669,5943.616706674604,684941.9,,0.14605,0.9876663013036264,1.114769689738976,2.102435991042602,0.0,114.0,0.0,-63837.0,0.03576646466309302,-0.1133727979599672,,,0.6301,0.5053,0.42
20240514,5768.9893,5788.186,5800.5845,5763.7192,1562958.0,7870.0,533748.0,1.0,-1.0,19041.0,-17654.0,2.0,-3.0,7442.0,-70548.0,5802.796980000001,5849.9208,5913.075005000001,-47.12381999999889,-110.2780249999996,5875.130781349207,5932.735875738095,643305.2,,,0.8882003990081618,1.114769689738976,2.002970088747138,0.0,1387.0,-1.0,-63106.0,0.0050353240458156905,-0.1732286233865079,,,0.6027,0.544,0.391
20240515,5793.9814,5762.377,5809.1011,5747.2378,1530108.0,-32850.0,760232.0,1.0,-1.0,18551.0,-21454.0,1.0,-3.0,17.0,-66695.0,5796.32256,5835.90312,5905.10254,-39.58056000000033,-108.7799800000003,5862.300144523811,5921.171377817462,647081.3,,,0.9191720704193036,1.114769689738976,2.03394176015828,0.0,-2903.0,-2.0,-66678.0,-0.021469072771333787,-0.1570543944299063,,,0.5616,0.48,0.4
20240516,5835.7744,5778.4229,5839.2402,5766.9702,1464024.0,-66084.0,756178.0,1.0,-1.0,17987.0,-19465.0,0.0,-3.0,0.0,-80629.0,5799.11016,5826.279049999999,5897.12578,-27.16888999999901,-98.01562000000013,5853.499976190476,5909.205386698413,665593.7,,0.146395,0.956968746585181,1.119698411059422,2.076667157644603,0.0,-1478.0,-3.0,-80629.0,-0.04513860428517565,-0.115274654611394,,,0.5205,0.3747,0.418
20240517,5860.3398,5838.9775,5878.3594,5830.0503,1410146.0,-53878.0,680898.0,1.0,-1.0,17657.0,-18252.0,1.0,-3.0,0.0,-80154.0,5807.5286,5821.47905,5888.25229,-13.95045000000027,-80.72369000000072,5849.438112936508,5897.509842007937,680294.9,,,0.9665449289086266,1.119698411059422,2.086243339968049,0.0,-595.0,-2.0,-80154.0,-0.0382073912913982,-0.1271903748283782,,,0.5068,0.3027,0.409
