,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,5937.6777,5911.3901,5949.3071,5906.084,1031546.0,19731.0,490128.0,4.0,0.0,66976.0,0.0,0.0,-3.0,0.0,-149180.0,5942.34686,5912.72854,5895.401500000001,29.61831999999958,46.9453599999988,5908.369384206349,5890.085393341271,912585.6,,,0.9416996479437769,1.150332849962046,2.092032497905822,4.0,66976.0,-3.0,-149180.0,0.019127600708063432,-0.7044204287716169,,,0.8767,0.868,0.038
20240507,6023.9883,5926.5889,6033.0503,5926.5889,1107966.0,76420.0,1154699.0,4.0,0.0,67200.0,0.0,0.0,-3.0,0.0,-120154.0,5965.05926,5925.58084,5904.34928,39.47842000000037,60.70997999999963,5917.872710873015,5893.446040658731,937710.4,1385638.8,0.178365,1.021335688337779,1.165065611196727,2.186401299534506,4.0,67200.0,-3.0,-120154.0,0.06897323564080486,-0.692095190428867,,,0.863,0.888,0.041
20240508,6013.7378,6023.8442,6070.0571,6006.4585,1098680.0,-9286.0,1122306.0,4.0,0.0,66799.0,0.0,0.0,-3.0,0.0,-109672.0,5973.17782,5940.59315,5913.972670000001,32.58467000000019,59.20514999999887,5929.421093809524,5898.163553817461,932963.5,1346767.2,,1.043647293281135,1.150332849962046,2.19398014324318,4.0,66799.0,-3.0,-109672.0,-0.008451960534459534,-0.6543724165666317,,,0.6164,0.624,0.054
20240509,6010.7231,6016.8389,6047.4473,6003.3921,1080346.0,-18334.0,872516.0,4.0,0.0,69611.0,0.0,0.0,-3.0,0.0,-116529.0,5982.65594,5952.10262,5921.331749999999,30.55331999999999,61.32419000000027,5939.589902063492,5903.920505261905,928722.5,,,1.007439857184551,1.145380209483392,2.152820066667943,4.0,69611.0,-3.0,-116529.0,-0.0169704890840527,-0.6983121213027549,,,0.5753,0.5533,0.04
20240510,5979.7388,6011.623,6025.2432,5957.4385,1074341.0,-6005.0,963206.0,4.0,0.0,72475.0,0.0,0.0,-3.0,0.0,-138976.0,5993.173140000001,5963.03456,5927.040075,30.13858000000073,66.1330650000009,5946.213810793651,5910.397948539683,931314.1,,,1.028510409514428,1.145380209483392,2.173890618997819,4.0,72475.0,-3.0,-138976.0,-0.005589472988557637,-0.6901550271966524,,,0.4932,0.4733,0.043
20240513,6035.2856,5995.4824,6044.0542,5980.6035,1085225.0,10884.0,965629.0,4.0,0.0,74348.0,0.0,0.0,-3.0,0.0,-128712.0,6012.69472,5977.52079,5934.532725,35.17392999999993,78.16199500000039,5955.318033174603,5917.677914571429,924224.7,,,1.038385437615667,1.145380209483392,2.183765647099058,4.0,74348.0,-3.0,-128712.0,0.010029256605772996,-0.6816598171528138,,,0.5342,0.4507,0.048
20240514,6021.8848,6040.311,6057.8315,6008.3804,1060132.0,-25093.0,747064.0,3.0,0.0,59196.0,0.0,0.0,-3.0,0.0,-128081.0,6012.27402,5988.66664,5940.103065,23.60737999999947,72.1709549999996,5964.530411587302,5925.669998492064,897355.6,,,1.020241630471867,1.145380209483392,2.165621839955258,3.0,59196.0,-3.0,-128081.0,-0.023669693962638613,-0.6654583797537605,,,0.5342,0.552,0.057
20240515,6061.7671,6016.0249,6074.417,6013.3584,1088970.0,28838.0,973715.0,4.0,0.0,68436.0,0.0,0.0,-3.0,0.0,-115177.0,6021.87988,5997.528850000001,5947.69186,24.35102999999981,74.1880200000005,5974.911970317458,5934.013406698413,887229.1,,0.173305,1.009630834312045,1.138433089602894,2.148063923914939,4.0,68436.0,-3.0,-115177.0,0.026481904919327438,-0.6537681034683136,,,0.5205,0.552,0.059
20240516,6078.417,6060.5503,6086.752,6041.0845,1091181.0,2211.0,822699.0,3.0,0.0,56333.0,0.0,0.0,-3.0,0.0,-111647.0,6035.41866,6009.0373,5955.613905,26.38136000000031,79.80475500000011,5986.952011587302,5942.767848706349,890127.6,,,1.010606039518434,1.133377762661407,2.143983802179841,3.0,56333.0,-3.0,-111647.0,0.002026244958444108,-0.6420059443838045,,,0.7945,0.808,0.065
20240517,6283.5337,6079.71,6292.8506,6074.5195,1177480.0,86299.0,2307751.0,3.0,0.0,51765.0,0.0,0.0,-3.0,0.0,-94035.0,6096.17764,6044.67539,5976.60436,51.50224999999955,119.5732799999996,6011.750846825397,5953.49301752381,1041971.3,2769301.2,0.195155,1.178395213852756,1.138433089602894,2.316828303455651,3.0,51765.0,-3.0,-94035.0,0.07329126609369162,-0.685767627395369,,,0.726,0.7573,0.044
