,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,4471.4063,4439.0698,4485.9678,4422.9404,398591.0,-680.0,259631.0,0.0,0.0,0.0,0.0,1.0,-2.0,5743.0,-17675.0,4450.762540000001,4469.75892,4472.564545,-18.99637999999959,-21.80200499999955,4467.370436428573,4479.307659753969,319356.8,,,1.244511614039599,1.34478142286553,2.589293036905128,0.0,0.0,-1.0,-11932.0,-0.0017060094181755234,-0.4349964670769439,,,0.7808,0.9547,0.543
20240507,4486.9336,4470.2505,4504.8276,4456.8301,403651.0,5060.0,278850.0,0.0,0.0,0.0,0.0,2.0,-2.0,7252.0,-19092.0,4463.3431,4468.57708,4471.553925,-5.233979999999974,-8.210825000000114,4468.108950079364,4477.709246460317,310422.4,,,1.239239990805407,1.310476092509559,2.549716083314966,0.0,0.0,0.0,-11840.0,0.012535581480040926,-0.392780803216303,,,0.7671,0.9613,0.589
20240508,4437.5938,4477.3853,4486.0005,4434.6738,432325.0,28674.0,257673.0,0.0,0.0,0.0,0.0,1.0,-2.0,11095.0,-28906.0,4462.42318,4461.19852,4467.42275,1.224659999999858,-4.999569999999949,4466.301051031746,4475.752343277778,278820.9,,,1.232836097154096,1.310476092509559,2.543312189663655,0.0,0.0,-1.0,-17811.0,0.06632510264268779,-0.503739546643491,,,0.8082,0.976,0.482
20240509,4402.9658,4433.8843,4453.748,4395.8794,467082.0,34757.0,285870.0,0.0,0.0,0.0,0.0,1.0,-2.0,11760.0,-34893.0,4452.25266,4448.82586,4464.279095,3.426800000000185,-12.02643499999976,4461.0029115873,4472.994505412698,277858.4,,,1.22424215188117,1.308179519918097,2.532421671799267,0.0,0.0,-1.0,-23133.0,0.07441305809258332,-0.6327319566706993,,,0.8219,0.9787,0.325
20240510,4386.4097,4410.7358,4410.7358,4359.5815,476438.0,9356.0,275723.0,1.0,0.0,6842.0,0.0,1.0,-2.0,11719.0,-42665.0,4437.06184,4439.39124,4460.499435,-2.329399999999623,-23.43759499999942,4453.66569484127,4469.484647007936,278361.0,,,1.206805469084432,1.299310731728838,2.50611620081327,1.0,6842.0,-1.0,-30946.0,0.019637392483387136,-0.6160535553291084,,,0.8493,0.9813,0.345
20240513,4412.4854,4397.7827,4418.4229,4368.731,467592.0,-8846.0,216322.0,1.0,0.0,6062.0,0.0,1.0,-2.0,7640.0,-34983.0,4425.277660000001,4438.0201,4457.387229999999,-12.74243999999908,-32.10956999999871,4448.119290952381,4465.782789420635,252242.9,,,1.211286752584631,1.284830139647623,2.496116892232255,1.0,6062.0,-1.0,-27343.0,-0.018918202193365156,-0.5231956096879061,,,0.8904,0.984,0.461
20240514,4461.7856,4426.4258,4469.0391,4416.2388,440777.0,-26815.0,340430.0,2.0,0.0,12723.0,0.0,1.0,-2.0,6368.0,-22334.0,4420.24806,4441.79558,4457.748724999999,-21.54752000000008,-37.50066499999957,4447.150197222221,4462.590838126985,259342.3,408516.0,,1.175271739555874,1.271430368854314,2.446702108410189,2.0,12723.0,-1.0,-15966.0,-0.06083575141171159,-0.2329822693902475,,,0.9041,0.996,0.713
20240515,4457.2656,4461.4268,4483.9473,4448.9009,428619.0,-12158.0,259450.0,1.0,0.0,6686.0,0.0,1.0,-2.0,6259.0,-17253.0,4424.182419999999,4443.302799999999,4457.592695,-19.1203800000003,-33.41027500000109,4447.271106190475,4459.901448730158,261666.3,,,1.158851598741398,1.267514066985885,2.426365665727282,1.0,6686.0,-1.0,-10994.0,-0.028365518094158215,-0.238549575078726,,,0.9452,0.9987,0.708
20240516,4455.6011,4471.4878,4477.5806,4451.4771,426477.0,-2142.0,201077.0,2.0,0.0,12930.0,0.0,1.0,-2.0,6086.0,-23314.0,4434.70948,4443.48107,4455.46594,-8.771590000000288,-20.75646000000052,4447.795782301587,4457.566373904761,258389.4,,,1.119679064410011,1.259958919195082,2.379637983605093,2.0,12930.0,-1.0,-17228.0,-0.005022545178286285,-0.256518325560723,,,1.0,1.0,0.692
20240517,4520.5957,4457.3037,4530.4746,4457.3037,427083.0,606.0,333778.0,2.0,0.0,14868.0,0.0,1.0,-2.0,6166.0,-16008.0,4461.54668,4449.30426,4459.345115,12.24242000000049,2.201565000000301,4451.835951349207,4455.862137198412,270880.4,400533.6,0.150075,1.066699816166722,1.259958919195082,2.326658735361804,2.0,14868.0,-1.0,-9842.0,0.0014189279367242433,-0.3259501409060131,,,0.9863,0.9973,0.647
20240520,4555.2485,4531.5835,4589.7451,4520.396,450216.0,23133.0,361955.0,2.0,0.0,14369.0,0.0,1.0,-2.0,5933.0,-16032.0,4490.0993,4457.68848,4463.7237,32.41082000000006,26.37559999999939,4460.536847619049,4455.17877831746,281112.8,434346.0,,1.108422443591272,1.259958919195082,2.368381362786353,2.0,14369.0,-1.0,-10099.0,0.05138200330508023,-0.5163163553828837,,,0.9863,0.996,0.466
20240521,4530.999,4554.0874,4563.4004,4520.9468,426709.0,-23507.0,276492.0,2.0,0.0,9748.0,0.0,2.0,-2.0,5316.0,-15550.0,4503.94198,4462.09502,4465.33605,41.84695999999985,38.60592999999972,4467.720246111109,4455.139907920634,280877.0,,,1.103176717651595,1.245511107902797,2.348687825554392,2.0,9748.0,0.0,-10234.0,-0.05508906538179415,-0.5731881037871547,,,0.9726,0.9893,0.39
20240522,4525.9453,4533.4053,4545.5459,4509.207,432613.0,5904.0,211613.0,2.0,0.0,13042.0,0.0,1.0,-2.0,6246.0,-24275.0,4517.67792,4470.93017,4466.064345000001,46.74775000000045,51.6135749999994,4473.684476428572,4455.878250460317,276271.0,,0.15042,1.103364375214834,1.238718682152539,2.342083057367372,2.0,13042.0,-1.0,-18029.0,0.013647301398709701,-0.549526416777295,,,0.9726,0.988,0.417
20240523,4510.3838,4513.1694,4549.1846,4497.2529,422145.0,-10468.0,250678.0,3.0,0.0,20023.0,0.0,1.0,-2.0,5309.0,-26792.0,4528.634459999999,4481.67197,4465.248915,46.96248999999898,63.38554499999918,4478.497768174603,4457.627736119048,272751.8,,,1.141328488212092,1.235316628387963,2.376645116600055,3.0,20023.0,-1.0,-21483.0,-0.024797166850252874,-0.5185392683294257,,,0.9726,0.988,0.461
20240524,4565.459,4525.6162,4577.4233,4513.8535,444327.0,22182.0,293142.0,3.0,0.0,21808.0,0.0,1.0,-2.0,5301.0,-30803.0,4537.60712,4499.576899999999,4469.48407,38.03022000000055,68.12304999999924,4486.779400079366,4460.939106642857,274493.7,,0.16698,1.146014607038633,1.235316628387963,2.381331235426597,3.0,21808.0,-1.0,-25502.0,0.049922692071379865,-0.4658630959055523,,,0.9726,0.988,0.514
20240527,4573.1987,4564.1558,4602.7285,4544.8755,454817.0,10490.0,309479.0,3.0,0.0,22477.0,0.0,1.0,-2.0,5763.0,-28403.0,4541.197160000001,4515.64823,4476.834164999999,25.54893000000084,64.36299500000132,4496.509856349207,4465.77816318254,283809.4,,0.167095,1.160134771139734,1.235661825832665,2.395796596972399,3.0,22477.0,-1.0,-22640.0,0.02306422143411526,-0.5734995221542794,,,0.9315,0.9653,0.384
20240528,4572.1299,4578.8647,4607.0547,4560.269,450751.0,-4066.0,282932.0,3.0,0.0,21673.0,0.0,1.0,-2.0,4773.0,-24631.0,4549.423339999999,4526.68266,4484.23912,22.74067999999897,65.18421999999919,4506.076808095238,4471.670824269841,278059.6,,,1.148955926091712,1.235661825832665,2.384617751924377,3.0,21673.0,-1.0,-19858.0,-0.009020501341095194,-0.5338341897155304,,,0.9178,0.9613,0.441
20240529,4602.4634,4584.9155,4603.311,4541.4473,453872.0,3121.0,221608.0,3.0,0.0,21714.0,0.0,1.0,-2.0,4192.0,-22957.0,4564.72696,4541.202439999999,4492.25262,23.52452000000085,72.47433999999976,4516.242073968254,4478.567921047619,274275.4,,,1.151653472888434,1.235661825832665,2.387315298721099,3.0,21714.0,-1.0,-18765.0,0.006876388056544576,-0.2999191945679368,,,0.9178,0.952,0.664
20240530,4601.1626,4612.0063,4654.0117,4582.1938,441164.0,-12708.0,367504.0,2.0,0.0,14661.0,0.0,1.0,-2.0,5628.0,-18820.0,4582.88272,4555.758589999999,4499.61983,27.12413000000015,83.26288999999997,4527.549181904761,4486.543261007936,290918.1,441004.8,,1.18036997796609,1.241936455415871,2.422306433381961,2.0,14661.0,-1.0,-13192.0,-0.028805614238695813,-0.5777176060257336,,,0.8904,0.9413,0.375
20240531,4641.0215,4609.5703,4645.1201,4577.8984,446438.0,5274.0,255518.0,3.0,-1.0,14674.0,-3286.0,2.0,-2.0,5787.0,-18400.0,4597.99522,4567.80117,4508.552715,30.19405000000006,89.44250499999998,4539.729803095238,4495.33264618254,283092.1,,0.171005,1.203700901308354,1.241936455415871,2.445637356724225,2.0,11388.0,0.0,-12613.0,0.011813510498658268,-0.2453600098234468,,,0.8767,0.9227,0.7
20240603,4609.8003,4645.5239,4659.6206,4591.0508,436595.0,-9843.0,431636.0,2.0,0.0,14250.0,0.0,2.0,-2.0,5459.0,-15415.0,4605.31554,4573.25635,4515.472414999999,32.05918999999994,89.84312500000033,4550.523252539684,4504.331286674604,290060.2,517963.2,,1.219762170983825,1.241936455415871,2.461698626399697,2.0,14250.0,0.0,-9956.0,-0.022544921494749137,-0.3730110584772493,,,0.863,0.92,0.6
20240604,4602.6538,4602.0952,4636.8901,4583.7236,426531.0,-10064.0,338827.0,2.0,0.0,13964.0,0.0,2.0,-2.0,4890.0,-13553.0,4611.42032,4580.42183,4521.258424999999,30.99848999999995,90.1618950000011,4559.37795936508,4513.497058000001,296293.7,,,1.245357229610429,1.241936455415871,2.4872936850263,2.0,13964.0,0.0,-8663.0,-0.023595002473442726,-0.401785710663809,,,0.8356,0.9613,0.579
20240605,4532.8105,4587.2461,4589.333,4532.8052,406800.0,-19731.0,287143.0,2.0,0.0,13354.0,0.0,2.0,-2.0,4677.0,-19476.0,4597.48974,4581.10835,4526.01926,16.38138999999956,71.47047999999995,4562.303406269842,4522.358950984128,303846.7,,,1.31226523160812,1.258971643363231,2.571236874971352,2.0,13354.0,0.0,-14799.0,-0.048502949852507374,-0.3296066309996684,,,0.8493,0.9667,0.64
20240606,4560.8091,4544.6255,4570.5698,4540.4399,404067.0,-2733.0,186855.0,1.0,0.0,7315.0,0.0,2.0,-1.0,7219.0,-17253.0,4589.41904,4586.150879999999,4533.911425,3.268160000000535,55.50761499999953,4565.153528015873,4531.024526968255,297464.4,,,1.25343512372844,1.258971643363231,2.512406767091671,1.0,7315.0,1.0,-10034.0,-0.006763729777487397,-0.3097301647513386,,,0.8493,0.9667,0.66
20240607,4564.4722,4556.3608,4584.6455,4540.1216,395652.0,-8415.0,242650.0,2.0,0.0,13071.0,0.0,2.0,-1.0,9095.0,-16879.0,4574.10918,4586.0522,4542.81455,-11.94301999999971,31.29463000000032,4567.778295873017,4539.124416547619,292415.2,,,1.214461028707765,1.258971643363231,2.473432672070996,2.0,13071.0,1.0,-7784.0,-0.021268690667556336,-0.3668545040370092,,,0.8493,0.9587,0.605
20240611,4561.4736,4567.8955,4595.666,4548.3745,398445.0,2793.0,271525.0,2.0,0.0,13542.0,0.0,2.0,-1.0,6470.0,-13588.0,4564.44384,4584.87969,4550.26396,-20.43584999999985,14.17987999999968,4569.961527301589,4546.469583642857,288619.8,,,1.221439369569779,1.258971643363231,2.480411012933011,2.0,13542.0,1.0,-7118.0,0.007009750404698265,-0.3512083311101695,,,0.8493,0.9533,0.621
