,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,8403.9258,8430.5996,8451.8848,8369.0322,452177.0,-25287.0,306223.0,0.0,0.0,0.0,0.0,2.0,-1.0,33720.0,-27989.0,8441.69766,8427.68115,8399.932865,14.01650999999947,41.76479499999914,8416.774202460318,8386.62482072222,375134.0,,,1.033640615752735,0.9887082826304614,2.022348898383196,0.0,0.0,1.0,5731.0,-0.05592279129632865,-0.0436124573425016,,,0.6438,0.7613,0.227
20240507,8500.707,8404.1396,8513.6836,8399.8594,500317.0,48140.0,374584.0,0.0,0.0,0.0,0.0,2.0,-1.0,29443.0,-13320.0,8469.32206,8434.29003,8409.591505,35.0320300000003,59.73055500000009,8423.74707484127,8394.059228031745,366228.8,,,1.066926906324809,0.9887082826304614,2.055635188955271,0.0,0.0,1.0,16123.0,0.09621899715580322,-0.0270695734344346,,,0.6164,0.6867,0.254
20240508,8488.4355,8499.9238,8547.8389,8484.5488,533221.0,32904.0,388700.0,0.0,0.0,0.0,0.0,2.0,-1.0,35140.0,-13233.0,8476.555260000001,8436.97118,8417.174315,39.58408000000054,59.38094500000079,8432.743582063495,8401.046794,334419.6,,,1.048124194278343,0.9887082826304614,2.036832476908804,0.0,0.0,1.0,21907.0,0.06170799724692013,-0.0195326553526792,,,0.5753,0.624,0.266
20240509,8434.626,8499.5244,8499.5244,8431.6738,494814.0,-38407.0,355545.0,0.0,0.0,0.0,0.0,2.0,-1.0,35365.0,-17657.0,8464.11054,8434.512490000001,8420.99287,29.59804999999869,43.11766999999963,8436.727221904759,8407.11262520635,334236.0,,,1.009066741692639,0.9491913946901406,1.95825813638278,0.0,0.0,1.0,17708.0,-0.077619064941574,-0.0457766852285585,,,0.5342,0.5907,0.217
20240510,8439.291,8434.5889,8455.3018,8383.0869,471694.0,-23120.0,337803.0,0.0,0.0,0.0,0.0,2.0,-1.0,33938.0,-19447.0,8453.39706,8442.985830000001,8424.400925,10.41122999999789,28.99613499999941,8437.99457111111,8412.782723920634,325831.7,,0.12788,1.018163038285357,0.9216863202376387,1.939849358522996,0.0,0.0,1.0,14491.0,-0.04901482740929501,-0.0099631593537033,,,0.4658,0.5373,0.282
20240513,8478.0518,8438.5605,8480.9277,8403.0049,488145.0,16451.0,313268.0,0.0,0.0,0.0,0.0,2.0,-1.0,33556.0,-11832.0,8468.222259999999,8454.95996,8430.27129,13.2622999999985,37.95096999999805,8441.298338809524,8418.50408474603,326203.2,,0.12949,1.014008454117978,0.9170208475440219,1.931029301662,0.0,0.0,1.0,21724.0,0.03370105194153376,-0.0671985468083174,,,0.4932,0.476,0.177
20240514,8444.4395,8482.832,8491.6758,8434.5195,479210.0,-8935.0,294363.0,0.0,0.0,0.0,0.0,2.0,-1.0,33828.0,-12612.0,8456.96876,8463.145410000001,8432.06504,-6.176650000001246,24.90372000000025,8444.317473492061,8424.394768626982,330712.6,,,0.9024810149453331,0.9170208475440219,1.819501862489355,0.0,0.0,1.0,21216.0,-0.018645270340769182,-0.0725447693115025,,,0.4521,0.444,0.168
20240515,8466.79,8438.1074,8474.6611,8421.8037,489951.0,10741.0,281019.0,0.0,0.0,0.0,0.0,2.0,-1.0,40869.0,-10428.0,8452.639659999999,8464.59746,8437.287155000002,-11.95780000000195,15.35250499999711,8446.416033888889,8429.812196373014,322335.7,,0.13386,0.9012580000755025,0.8931382215456319,1.794396221621134,0.0,0.0,1.0,30441.0,0.021922600423307636,-0.0649508020480741,,,0.411,0.356,0.18
20240516,8483.8545,8461.8672,8497.6943,8434.4824,506198.0,16247.0,326862.0,0.0,0.0,0.0,0.0,2.0,-1.0,43739.0,-6319.0,8462.48536,8463.297949999998,8441.38437,-0.8125899999977264,21.10099000000082,8450.170054999999,8434.490631412698,325415.8,,,0.8577832773549383,0.8765205437914139,1.734303821146352,0.0,0.0,1.0,37420.0,0.03209613629449346,-0.0875314392953572,,,0.3562,0.2747,0.143
20240517,8631.2129,8487.8887,8631.2129,8480.0615,579730.0,73532.0,498930.0,1.0,0.0,6074.0,0.0,2.0,-1.0,41846.0,-4136.0,8500.86974,8477.1334,8453.474655000002,23.73633999999947,47.39508499999829,8463.630490555557,8439.381904412698,347729.7,598716.0,0.147085,0.9224207720833051,0.8931382215456319,1.815558993628937,1.0,6074.0,1.0,37710.0,0.1268383557863143,-0.2689572726869016,,,0.3288,0.2347,0.02
20240520,8647.9561,8628.9463,8670.8408,8608.918,571588.0,-8142.0,405895.0,0.0,0.0,0.0,0.0,2.0,-1.0,39193.0,-4250.0,8534.850600000002,8501.53643,8464.60879,33.31417000000147,70.24181000000135,8482.041629206351,8445.908647087303,357696.9,,,0.9367013514838197,0.8931382215456319,1.829839573029452,0.0,0.0,1.0,34943.0,-0.01424452577730813,-0.0585550694729186,,,0.274,0.1933,0.192
20240521,8578.3496,8639.0615,8657.0723,8550.3545,539548.0,-32040.0,411532.0,0.0,0.0,0.0,0.0,2.0,-1.0,41071.0,-17026.0,8561.63262,8509.30069,8471.79536,52.33193000000028,89.83726000000024,8494.892529444443,8453.02319254762,361391.7,,,0.9474830070525214,0.8931382215456319,1.840621228598153,0.0,0.0,1.0,24045.0,-0.059383039136462375,-0.1144092087293945,,,0.1918,0.1027,0.105
20240522,8601.5381,8576.8154,8616.4189,8571.4775,547104.0,7556.0,270172.0,0.0,0.0,0.0,0.0,2.0,-1.0,40443.0,-15915.0,8588.58224,8520.610949999998,8478.791065,67.97129000000132,109.7911750000003,8507.023772063494,8460.45121154762,349538.9,,,0.9257137044399606,0.8758828091838888,1.801596513623849,0.0,0.0,1.0,24528.0,0.013810902497514184,-0.0993258725403581,,,0.4247,0.2867,0.119
20240523,8522.7842,8589.8779,8589.8779,8494.8838,511062.0,-36042.0,397849.0,1.0,0.0,5034.0,0.0,2.0,-1.0,33748.0,-20479.0,8596.36818,8529.42677,8481.969630000001,66.94140999999945,114.3985499999981,8513.537067936508,8468.132196150793,353769.3,,,0.976765392766112,0.8931382215456319,1.869903614311744,1.0,5034.0,1.0,13269.0,-0.07052373293259917,-0.1161304262614917,,,0.3973,0.2533,0.1
20240524,8556.665,8539.7891,8591.3037,8526.7021,499239.0,-11823.0,388536.0,0.0,0.0,0.0,0.0,2.0,-1.0,33266.0,-16888.0,8581.458600000002,8541.16417,8492.075,40.29443000000174,89.38360000000102,8520.423271587304,8476.375066198412,358842.6,,,0.9291454003659241,0.8931382215456319,1.822283621911556,0.0,0.0,1.0,16378.0,-0.02368204407107618,-0.0954441683635743,,,0.3288,0.2253,0.129
20240527,8668.3369,8549.5625,8669.2764,8549.5625,549414.0,50175.0,416066.0,1.0,0.0,5208.0,0.0,2.0,-1.0,41323.0,-13516.0,8585.534759999999,8560.19268,8507.57632,25.34207999999853,77.95843999999852,8533.8053165873,8485.62576397619,369122.4,,0.155825,0.9327724013249766,0.9170208475440219,1.849793248868999,1.0,5208.0,1.0,27807.0,0.09132457491072306,-0.0913267152104296,,,0.3288,0.1933,0.136
20240528,8615.9209,8671.0322,8714.3242,8610.0029,529617.0,-19797.0,434674.0,1.0,0.0,5137.0,0.0,2.0,-1.0,42583.0,-13537.0,8593.04902,8577.340820000001,8520.243115000001,15.70819999999912,72.80590499999926,8546.742779523807,8495.868294579364,383153.5,,,0.9660935625839978,0.9170208475440219,1.88311441012802,1.0,5137.0,1.0,29046.0,-0.037379842414424005,-0.1595961588025416,,,0.3699,0.1693,0.048
20240529,8649.6436,8633.501,8664.5635,8604.7959,526502.0,-3115.0,298423.0,0.0,0.0,0.0,0.0,2.0,-1.0,45148.0,-17461.0,8602.670119999999,8595.62618,8530.11182,7.043939999999566,72.55829999999878,8558.903040317462,8507.116995222223,384893.9,,,0.9576114610989808,0.8931382215456319,1.850749682644613,0.0,0.0,1.0,27687.0,-0.005916406775282905,-0.1093777060235965,,,0.3151,0.136,0.102
20240530,8681.8115,8675.9355,8753.4648,8650.7539,527264.0,762.0,462003.0,0.0,0.0,0.0,0.0,2.0,-1.0,42414.0,-13424.0,8634.475579999998,8615.421879999998,8539.359915,19.05370000000039,95.11566499999935,8574.502304603175,8519.55022018254,398408.0,,,0.9820091461051006,0.9170208475440219,1.899029993649123,0.0,0.0,1.0,28990.0,0.0014451963342841537,-0.1479550615804386,,,0.2877,0.1147,0.058
20240531,8648.0654,8671.1416,8715.5332,8636.9453,520797.0,-6467.0,346603.0,1.0,0.0,4982.0,0.0,2.0,-1.0,39718.0,-13089.0,8652.75566,8617.10713,8547.120265,35.64853000000039,105.6353950000012,8586.92018738095,8531.879189865078,383175.3,,,0.9811734796369705,0.9170208475440219,1.898194327180992,1.0,4982.0,1.0,26629.0,-0.012417506245235667,-0.135103934311634,,,0.1781,0.052,0.07
20240603,8529.9248,8663.2539,8664.8818,8520.9863,478412.0,-42385.0,444662.0,0.0,0.0,0.0,0.0,2.0,-1.0,38716.0,-20397.0,8625.073240000002,8605.304,8553.420215,19.76924000000145,71.65302500000143,8588.975280158731,8542.572554960318,387052.0,,,1.052588846339599,0.9170208475440219,1.969609693883621,0.0,0.0,1.0,18319.0,-0.08859518573948814,-0.1237738105374375,,,0.4658,0.34,0.084
20240604,8514.748,8533.9727,8549.4277,8479.7734,480383.0,1971.0,375234.0,1.0,0.0,5141.0,0.0,2.0,-1.0,37053.0,-24669.0,8604.83866,8598.94384,8554.122265,5.894819999999527,50.71639499999947,8585.830031984127,8551.666305214287,383422.2,,,1.066128270895938,0.9114909977364924,1.977619268632431,1.0,5141.0,1.0,12384.0,0.004102976166933467,-0.1294219366762733,,,0.5205,0.488,0.076
20240605,8486.9121,8513.9756,8513.9756,8463.9717,474161.0,-6222.0,292399.0,1.0,0.0,4817.0,0.0,2.0,-1.0,38303.0,-21052.0,8572.29236,8587.481240000001,8554.046095000002,-15.18888000000152,18.24626499999795,8580.208077777777,8558.984735785714,385644.9,,,1.055766933700299,0.9114909977364924,1.967257931436792,1.0,4817.0,1.0,17251.0,-0.013122125185327347,-0.1374865828327398,,,0.4795,0.5187,0.068
20240606,8527.0771,8498.958,8549.7549,8474.1357,472862.0,-1299.0,304565.0,0.0,0.0,0.0,0.0,2.0,-1.0,38199.0,-24644.0,8541.34548,8587.91053,8558.66865,-46.56504999999925,-17.32316999999966,8576.58078515873,8565.289107507937,376316.5,,,0.9938581474005488,0.9114909977364924,1.905349145137041,0.0,0.0,1.0,13555.0,-0.0027471016914025655,-0.1293458103020745,,,0.4795,0.5187,0.078
20240607,8542.6836,8526.5654,8606.4678,8523.0635,466350.0,-6512.0,340068.0,0.0,0.0,0.0,0.0,2.0,-1.0,37877.0,-28301.0,8520.26912,8586.51239,8563.83828,-66.24326999999903,-43.5691599999991,8575.367454603176,8570.783525809524,371469.7,,,1.012611829346917,0.9170208475440219,1.929632676890939,0.0,0.0,1.0,9576.0,-0.013963761123619599,-0.0569236622280263,,,0.4795,0.4853,0.198
20240611,8540.8145,8568.4658,8602.3037,8531.8154,473936.0,7586.0,278676.0,0.0,0.0,0.0,0.0,2.0,-1.0,40921.0,-26360.0,8522.44706,8573.760149999998,8566.976415000001,-51.31308999999783,-44.52935500000058,8574.641401507937,8574.867134301587,357730.7,,,0.9827589415922575,0.9114909977364924,1.89424993932875,0.0,0.0,1.0,14561.0,0.016006380608352182,-0.1389782703267709,,,0.4932,0.46,0.066
20240612,8611.3633,8547.9395,8624.2041,8519.9209,491410.0,17474.0,311091.0,0.0,0.0,0.0,0.0,2.0,-1.0,40426.0,-20389.0,8541.77012,8573.30439,8575.322605,-31.53427000000011,-33.55248500000016,8576.508316984127,8577.84368804762,345372.4,,0.136505,1.032090202866598,0.9170208475440219,1.94911105041062,0.0,0.0,1.0,20037.0,0.03555890193524755,-0.1849246737434229,,,0.6164,0.5253,0.033
20240613,8592.0986,8618.7686,8628.2148,8553.7188,486902.0,-4508.0,327942.0,0.0,0.0,0.0,0.0,2.0,-1.0,39979.0,-23584.0,8562.807420000001,8567.54989,8581.588034999999,-4.74246999999923,-18.78061499999785,8578.471973492064,8579.800581365078,348324.3,,,1.004733322161961,0.9114909977364924,1.916224319898454,0.0,0.0,1.0,16395.0,-0.009258536625440027,-0.1727710258872058,,,0.5205,0.4173,0.038
20240614,8564.3232,8593.6201,8596.2305,8535.6611,478898.0,-8004.0,310211.0,0.0,0.0,0.0,0.0,2.0,-1.0,39400.0,-20642.0,8570.256640000001,8555.801060000002,8585.61147,14.45557999999983,-15.3548299999984,8576.919082222223,8580.042259126985,333145.1,,,0.9980537883558231,0.9114909977364924,1.909544786092316,0.0,0.0,1.0,18758.0,-0.016713371114517078,-0.1154312632086214,,,0.6027,0.5013,0.106
