,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,8335.3828,8362.666,8382.3281,8311.1367,104497.0,12014.0,42723.0,2.0,0.0,6576.0,0.0,0.0,-3.0,0.0,-27188.0,8432.04004,8495.02774,8562.62183,-62.98769999999968,-130.5817900000002,8526.355113809524,8580.409674190476,59346.6,,1.291635960088663,1.272822494874291,2.564458454962954,2.0,6576.0,-3.0,-27188.0,0.11496980774567692,-0.5123347442498563,,,1.0,1.0,0.0268
20240507,8393.5586,8352.2432,8416.4688,8345.9199,105760.0,1263.0,38059.0,2.0,-1.0,7469.0,-913.0,0.0,-3.0,0.0,-28491.0,8421.09786,8478.424219999999,8545.119585,-57.32635999999911,-124.0217250000005,8508.93435,8570.877385944445,53565.0,,1.287798704169337,1.272822494874291,2.560621199043628,1.0,6556.0,-3.0,-28491.0,0.01194213313161876,-0.3395491500315112,,,1.0,1.0,0.1067
20240508,8337.1758,8385.1523,8403.5723,8337.1738,114252.0,8492.0,44994.0,2.0,0.0,8087.0,-1061.0,0.0,-3.0,0.0,-28863.0,8390.92266,8455.43184,8525.52652,-64.5091799999991,-134.6038599999993,8490.83814595238,8559.54810202381,47669.2,,1.255149510549764,1.272822494874291,2.527972005424055,2.0,7026.0,-3.0,-28863.0,0.07432692644330077,-0.5845619200711797,,,0.9863,0.6024,0.0132
20240509,8332.4834,8307.3896,8381.4629,8305.5996,115172.0,920.0,47485.0,2.0,-1.0,8427.0,-1010.0,0.0,-3.0,0.0,-27014.0,8367.39844,8430.47559,8509.33951,-63.07714999999916,-141.9410699999989,8471.496377777778,8546.343284587301,47086.0,,1.16185944341059,1.269345210333677,2.431204653744267,1.0,7417.0,-3.0,-27014.0,0.007988052651686174,-0.645492583151475,,,0.9726,0.5952,0.0066
20240510,8350.7109,8335.708,8359.501,8229.8477,128953.0,13781.0,91852.0,2.0,-1.0,8511.0,-1277.0,1.0,-2.0,0.0,-24771.0,8349.862299999999,8411.177339999998,8497.907575000001,-61.3150399999995,-148.0452750000022,8453.53297468254,8531.611345896825,51770.9,110222.4,1.211692324272683,1.269345210333677,2.48103753460636,1.0,7234.0,-1.0,-24771.0,0.10686839391095981,-0.4612488672385432,,,0.9863,0.5882,0.0458
20240513,8302.2441,8337.7637,8365.2822,8279.3359,131014.0,2061.0,81496.0,2.0,0.0,8913.0,0.0,1.0,-2.0,0.0,-22500.0,8343.23456,8387.637299999999,8484.31309,-44.40273999999772,-141.0785299999989,8435.71929015873,8515.594894507936,55126.8,97795.2,1.135400975755714,1.265394935482194,2.400795911237907,2.0,8913.0,-1.0,-22500.0,0.01573114323660067,-0.4907598324780313,,,0.9863,0.5814,0.0455
20240514,8296.4307,8326.0225,8360.5605,8279.7813,132893.0,1879.0,65487.0,2.0,0.0,9351.0,0.0,1.0,-2.0,0.0,-23824.0,8323.808979999998,8372.453420000002,8473.14932,-48.64444000000367,-149.3403400000025,8418.460249444444,8498.985512396825,54060.0,78584.4,1.052474054288289,1.265394935482194,2.317868989770482,2.0,9351.0,-1.0,-23824.0,0.014139194690465262,-0.4941736589617508,,,1.0,0.6092,0.0452
20240515,8338.6113,8291.4434,8347.6123,8263.6855,138093.0,5200.0,64515.0,2.0,0.0,9269.0,0.0,1.0,-2.0,293.0,-22306.0,8324.09608,8357.50937,8464.54668,-33.41329000000042,-140.4506000000001,8403.007137777779,8481.947753095237,56062.3,,1.066202099262191,1.265394935482194,2.331597034744385,2.0,9269.0,-1.0,-22013.0,0.03765578269716785,-0.5059054163354141,,,0.9726,0.5909,0.0449
20240516,8386.9023,8314.7666,8390.2588,8299.127,137992.0,-101.0,82389.0,2.0,0.0,9224.0,0.0,1.0,-2.0,864.0,-16027.0,8334.979860000001,8351.18915,8454.442285000001,-16.20928999999887,-119.4624249999997,8392.592520634922,8465.017664857141,59687.8,98866.8,1.091379404021707,1.265394935482194,2.356774339503901,2.0,9224.0,-1.0,-15163.0,-0.0007319264884920864,-0.5064395567431776,,,0.9452,0.5393,0.0446
20240517,8441.0459,8383.0635,8451.3115,8377.8389,132785.0,-5207.0,67205.0,2.0,0.0,8089.0,0.0,1.0,-2.0,1817.0,-12385.0,8353.046859999999,8351.45458,8441.721385,1.592279999998937,-88.67452500000218,8389.529584603173,8449.046574484128,62620.5,,1.08389620099796,1.265394935482194,2.349291136480153,2.0,8089.0,-1.0,-10568.0,-0.03921376661520503,-0.4360592600392146,,,0.9041,0.4889,0.0886
