,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,3671.8308,3700.0708,3707.0857,3665.4114,272098.0,21192.0,251168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.93114,3749.75781,3778.282365,2.173329999999623,-26.3512250000008,3766.772728174603,3777.064482944444,170250.0,301401.6,,1.159771471127185,0.9693141905088243,2.129085661636009,0.0,0.0,0.0,0.0,0.07788370366559107,0.108972465677852,,,0.6027,0.5733,0.546
20240507,3684.6448,3676.4995,3692.6611,3672.2336,272185.0,87.0,191542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3732.48412,3743.40049,3774.230399999999,-10.91636999999992,-41.74627999999939,3757.535598730159,3774.757272119047,172245.1,,,1.121751662203888,0.9693141905088243,2.091065852712712,0.0,0.0,0.0,0.0,0.000319635542002682,0.1048080553559894,,,0.589,0.5733,0.544
20240508,3679.113,3672.583,3689.3357,3668.6436,277935.0,5750.0,202457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3710.8536,3735.100169999999,3767.65231,-24.24656999999934,-56.79871000000003,3748.345523571428,3771.473121825397,173950.3,,,1.035449087424459,0.9668444549887597,2.002293542413218,0.0,0.0,0.0,0.0,0.020688290427617967,0.1137955263030924,,,0.6438,0.6107,0.55
20240509,3683.1895,3681.6133,3690.1809,3670.6006,276574.0,-1361.0,227592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3693.26416,3729.8211,3761.22945,-36.55693999999949,-67.9652900000001,3740.047287619047,3767.510951325397,180554.2,273110.4,,0.9857802461924948,0.9636816783983402,1.949461924590835,0.0,0.0,0.0,0.0,-0.004920925321975312,0.1491181168123712,,,0.6301,0.6467,0.568
20240510,3688.7148,3686.782,3694.9724,3681.2556,269400.0,-7174.0,181321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681.49858,3725.27595,3754.845574999999,-43.77736999999979,-73.34699499999897,3732.918345714286,3763.048009928571,186526.0,,,0.9268651497518987,0.9636816783983402,1.890546828150239,0.0,0.0,0.0,0.0,-0.026629547141796585,0.2270709179428003,,,0.6712,0.676,0.611
20240513,3671.7593,3687.7705,3691.1362,3664.406,272222.0,2822.0,182246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681.48428,3716.70771,3747.610455,-35.22343000000001,-66.12617499999988,3725.219916904762,3757.957237428571,191826.1,,,0.9028946696030296,0.9481501536393407,1.85104482324237,0.0,0.0,0.0,0.0,0.010366539074725775,0.1887460930755853,,,0.4658,0.3907,0.597
20240514,3663.5942,3674.0161,3680.6167,3659.4849,273391.0,1169.0,149303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3677.27416,3704.87914,3739.635195,-27.60498000000007,-62.36103500000036,3717.379124047619,3752.036596301587,193025.9,,,0.8688281251508211,0.9481501536393407,1.816978278790162,0.0,0.0,0.0,0.0,0.004275927151954527,0.197751738871457,,,0.5068,0.452,0.601
20240515,3655.2664,3658.4392,3664.6963,3650.2751,273562.0,171.0,174812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.50484,3691.67922,3730.92753,-19.17437999999947,-58.42268999999987,3709.192982063491,3745.168761452381,191850.5,,,0.8236244982994639,0.9481501536393407,1.771774651938805,0.0,0.0,0.0,0.0,0.0006250868176135574,0.1940263235193168,,,0.4795,0.452,0.598
20240516,3655.1343,3651.2068,3660.1553,3636.8625,276136.0,2574.0,193176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3666.8938,3680.07898,3722.673830000001,-13.18517999999949,-55.78003000000035,3701.469031825397,3737.517987960317,194496.6,,,0.8163162483784184,0.9481501536393407,1.764466402017759,0.0,0.0,0.0,0.0,0.009321493756699597,0.1917763229986981,,,0.4932,0.388,0.595
20240517,3672.5454,3657.5984,3672.5491,3652.2319,277773.0,1637.0,209853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3663.65992,3672.57925,3716.221255,-8.919330000000173,-52.56133500000078,3695.965308968253,3729.484584761905,196347.0,,,0.7861186314314341,0.9481501536393407,1.734268785070775,0.0,0.0,0.0,0.0,0.005893301364783474,0.1878851270661537,,,0.5205,0.38,0.593
