,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,1868.1854,1804.7156,1869.1156,1787.9606,192678.0,10891.0,120690.0,0.0,-1.0,0.0,-2228.0,2.0,-2.0,3770.0,-2565.0,1812.58688,1789.04499,1702.44586,23.54189000000019,110.1410200000003,1752.697400555556,1689.787074809524,161579.7,,,3.630736701021677,3.754970791897702,7.38570749291938,-1.0,-2228.0,0.0,1205.0,0.0565243566987409,-2.040340891571415,,,0.5753,0.7827,0.001
20240507,1849.1808,1867.4514,1884.9863,1840.8633,189783.0,-2895.0,120791.0,1.0,0.0,2069.0,0.0,2.0,-2.0,2916.0,-3338.0,1824.3009,1796.24843,1720.68916,28.05247000000008,103.6117400000003,1768.005278809524,1703.902389531746,155282.0,,,3.433483749114651,3.754970791897702,7.188454541012353,1.0,2069.0,0.0,-422.0,-0.01525426408055516,-1.9706643219027944,,,0.5753,0.76,0.002
20240508,1776.9652,1847.1577,1854.6733,1770.3129,187985.0,-1798.0,167274.0,1.0,0.0,2368.0,0.0,1.0,-2.0,1440.0,-5358.0,1818.64194,1795.4495,1734.462365,23.19244000000003,84.17957500000011,1776.392628174604,1717.202713388889,155360.6,,,3.496730218201429,3.787818125780499,7.284548343981928,1.0,2368.0,-1.0,-3918.0,-0.009564592919647844,-1.991541962833928,,,0.5205,0.7307,0.002
20240509,1768.8484,1771.5208,1796.5873,1748.2456,181074.0,-6911.0,158207.0,1.0,0.0,2416.0,0.0,2.0,-2.0,1243.0,-5122.0,1812.52758,1795.03085,1746.374335,17.49673000000053,66.15324500000042,1780.374591190476,1729.423991436508,153735.2,,,3.499996110331778,3.754970791897702,7.25496690222948,1.0,2416.0,0.0,-3879.0,-0.038166716370102834,-2.425951467260268,,,0.4384,0.6413,0.001
20240510,1751.5859,1772.3478,1778.9045,1733.4344,176913.0,-4161.0,137588.0,2.0,0.0,4338.0,0.0,1.0,-2.0,1435.0,-6432.0,1802.95314,1798.25763,1755.534665,4.695510000000013,47.41847500000017,1782.004690873016,1740.754956261905,150050.1,,,3.426212666388844,3.754970791897702,7.181183458286546,2.0,4338.0,-1.0,-4997.0,-0.023520035271574164,-2.2063724430008214,,,0.4658,0.692,0.002
20240513,1734.1862,1762.5074,1762.7941,1703.1667,176970.0,57.0,144363.0,2.0,0.0,4575.0,0.0,1.0,-2.0,1986.0,-5192.0,1776.1533,1794.37009,1763.847435,-18.21678999999949,12.30586500000027,1780.690863253968,1750.707414444445,148691.2,,,3.416075893201868,3.754970791897702,7.17104668509957,2.0,4575.0,-1.0,-3206.0,0.00032208848957450414,-2.7705234044724505,,,0.4795,0.6293,0.001
20240514,1664.8472,1722.0649,1728.866,1652.8807,177752.0,782.0,186860.0,2.0,0.0,5171.0,0.0,1.0,-2.0,224.0,-9389.0,1739.28658,1781.79374,1766.023775,-42.50715999999989,-26.73719500000016,1773.350782936508,1758.494999420635,149369.3,224232.0,,3.532575852901799,3.787818125780499,7.320393978682299,2.0,5171.0,-1.0,-9165.0,0.004399387911247131,-2.3334844855993477,,,0.4795,0.6347,0.003
20240515,1665.8439,1666.6576,1679.7174,1649.7053,167762.0,-9990.0,112390.0,2.0,0.0,5039.0,0.0,1.0,-3.0,0.0,-11309.0,1717.06232,1767.85213,1765.23697,-50.78980999999976,-48.1746499999997,1764.063991269841,1763.875576738095,147288.6,,,3.415800453314633,3.787818125780499,7.203618579095133,2.0,5039.0,-2.0,-11309.0,-0.059548646296539144,-2.3358504931856783,,,0.4658,0.636,0.003
20240516,1723.7164,1667.6667,1738.1636,1645.7272,182617.0,14855.0,211702.0,2.0,0.0,5076.0,0.0,0.0,-3.0,0.0,-12354.0,1708.03592,1760.28175,1765.74431,-52.2458300000003,-57.70839000000024,1758.363717460318,1767.276946888889,150467.4,254042.4,,3.520424348143427,3.829305422565173,7.3497297707086,2.0,5076.0,-3.0,-12354.0,0.08134511025808112,-2.3025739957514797,,,0.4658,0.5293,0.005
20240517,1728.5654,1722.3407,1748.3817,1711.4036,168183.0,-14434.0,128830.0,2.0,0.0,5409.0,0.0,0.0,-3.0,0.0,-14641.0,1703.43182,1753.19248,1766.114785,-49.76065999999992,-62.68296499999997,1754.788768888889,1769.07327134127,148869.5,,,3.41529761273431,3.829305422565173,7.244603035299482,2.0,5409.0,-3.0,-14641.0,-0.08582318070197345,-2.170845217912309,,,0.4521,0.5067,0.007
20240520,1748.2122,1729.531,1765.1873,1707.0645,175354.0,7171.0,150879.0,2.0,0.0,5869.0,0.0,0.0,-3.0,0.0,-14433.0,1706.23702,1741.19516,1765.120075,-34.95813999999996,-58.88305500000001,1752.540761984128,1769.057607484127,151888.4,,,3.399257178111281,3.787818125780499,7.187075303891781,2.0,5869.0,-3.0,-14433.0,0.040894419288981146,-2.23517840758493,,,0.4521,0.5053,0.006
20240521,1742.3296,1735.8563,1764.6681,1692.1902,176409.0,1055.0,179080.0,2.0,0.0,6261.0,0.0,0.0,-3.0,0.0,-14043.0,1721.7335,1730.51004,1763.379235,-8.776540000000068,-41.64573500000006,1749.795156587302,1767.236595261905,157717.3,,,3.519329279206028,3.829305422565173,7.348634701771202,2.0,6261.0,-3.0,-14043.0,0.005980420500087864,-2.139955414477249,,,0.1644,0.288,0.009
20240522,1805.7723,1745.2921,1816.5449,1745.2921,184828.0,8419.0,188246.0,2.0,0.0,5193.0,0.0,0.0,-3.0,0.0,-9996.0,1749.71918,1733.39075,1764.420125,16.32843000000003,-14.70094499999982,1752.212752619048,1764.81860770635,159814.5,,,3.515136636608776,3.829305422565173,7.344442059173948,2.0,5193.0,-3.0,-9996.0,0.04555045772285585,-2.0425381288846167,,,0.1507,0.2853,0.01
