,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,3367.3262,3346.6787,3370.4006,3318.8391,487040.0,7359.0,545628.0,0.0,0.0,0.0,0.0,2.0,-2.0,21129.0,-6069.0,3469.37582,3474.20207,3485.576925,-4.826250000000073,-16.2011050000001,3485.42066563492,3489.310463912699,800471.9,,2.673205217265928,1.993690049446259,4.666895266712187,0.0,0.0,0.0,15060.0,0.015109641918528252,1.231495109670272,,,0.6712,0.6827,0.89
20240507,3369.2646,3365.5293,3384.6868,3355.3225,526532.0,39492.0,518522.0,1.0,0.0,4965.0,0.0,2.0,-2.0,23493.0,-5620.0,3443.1348,3462.4476,3482.715645,-19.31280000000061,-39.58084500000041,3474.252013253968,3489.485184253968,767588.7,,2.600151548905647,1.922740612500351,4.522892161405998,1.0,4965.0,0.0,17873.0,0.07500398836158106,1.1454332056208305,,,0.6575,0.708,0.873
20240508,3342.2327,3350.1292,3365.4502,3339.8845,534585.0,8053.0,496982.0,1.0,0.0,4948.0,0.0,2.0,-1.0,21100.0,-7752.0,3403.88886,3440.92934,3478.03612,-37.04048000000012,-74.14725999999973,3461.239596190475,3487.106101785715,659300.7,,2.420201514011241,1.922740612500351,4.342942126511591,1.0,4948.0,1.0,13348.0,0.015064021624250587,1.0670597729879057,,,0.6575,0.7093,0.846
20240509,3358.5127,3343.6274,3377.5735,3329.8276,535377.0,792.0,493755.0,1.0,0.0,4953.0,0.0,2.0,-2.0,19874.0,-8668.0,3379.14824,3434.82512,3472.914915,-55.67687999999998,-93.76667499999985,3449.330875079365,3483.271687714286,609658.0,,2.324742503817721,1.916896886134486,4.241639389952207,1.0,4953.0,0.0,11206.0,0.0014793313870412811,1.075516993174903,,,0.6438,0.7107,0.849
20240510,3381.3494,3365.4729,3386.2661,3339.0481,559889.0,24512.0,592684.0,0.0,0.0,0.0,0.0,2.0,-2.0,20263.0,-1703.0,3363.73712,3427.49006,3467.059885,-63.75293999999985,-103.3227649999999,3439.836896984127,3478.449519793651,589493.3,,2.354558442768365,1.872822620452274,4.227381063220639,0.0,0.0,0.0,18560.0,0.04378010641394991,1.1486522329029476,,,0.6438,0.712,0.873
20240513,3309.8738,3370.3318,3373.9653,3279.126,553709.0,-6180.0,669684.0,1.0,0.0,4962.0,0.0,2.0,-1.0,22066.0,-10106.0,3352.24664,3410.81123,3458.538855,-58.56458999999995,-106.2922149999999,3426.237539285713,3472.207732674603,588789.2,,2.378433491929136,1.872822620452274,4.251256112381411,1.0,4962.0,1.0,11960.0,-0.011161097255056356,1.1461671002106029,,,0.6575,0.6467,0.872
20240514,3325.5381,3327.3096,3342.499,3317.5706,554168.0,459.0,447563.0,1.0,0.0,4682.0,0.0,2.0,-1.0,24798.0,-6274.0,3343.50134,3393.31807,3450.72987,-49.81673000000001,-107.2285299999999,3413.402476190476,3464.398447960317,570621.8,,2.051087314018457,1.860387371803417,3.911474685821874,1.0,4682.0,1.0,18524.0,0.0008282686838648207,1.112152780512411,,,0.3014,0.3147,0.861
20240515,3301.7878,3305.083,3312.1753,3278.2852,552264.0,-1904.0,557440.0,1.0,0.0,4666.0,0.0,2.0,-1.0,22361.0,-7105.0,3335.41236,3369.65061,3439.65604,-34.23824999999988,-104.2436800000005,3398.846360476191,3454.59151513492,543287.2,,1.838100511227306,1.860387371803417,3.698487883030723,1.0,4666.0,1.0,15256.0,-0.003447626497472223,1.1417671460773398,,,0.3151,0.316,0.869
20240516,3306.8853,3275.9519,3314.6133,3238.5105,544925.0,-7339.0,719115.0,1.0,0.0,4561.0,0.0,2.0,-1.0,24461.0,-6849.0,3325.08688,3352.11756,3428.5525,-27.03067999999985,-103.4656199999999,3384.439378333333,3443.093530539682,557160.1,862938.0,1.872147287588562,1.872822620452274,3.744969908040837,1.0,4561.0,1.0,17612.0,-0.013467908427765289,1.0950040832964416,,,0.3151,0.272,0.851
20240517,3343.9324,3313.3809,3345.0061,3307.5225,533513.0,-11412.0,511007.0,0.0,0.0,0.0,0.0,2.0,-2.0,19566.0,-6022.0,3317.60348,3340.6703,3416.88672,-23.06682000000001,-99.28323999999975,3375.360181269842,3430.836598269841,555238.0,,1.789474994161756,1.872822620452274,3.66229761461403,0.0,0.0,0.0,13544.0,-0.021390294144660017,1.1234944081701637,,,0.3425,0.2653,0.863
