,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240927,6295.6074,6204.8438,6310.6836,6174.813,33034.0,-5448.0,96948.0,2.0,-2.0,483.0,-1427.0,3.0,-1.0,5507.0,-4.0,6167.41152,6110.657560000001,6205.06843,56.7539599999991,-37.65691000000061,,,175052.2,,,2.820884899522478,,,0.0,-944.0,2.0,5503.0,-0.16492099049464187,-0.0954401440123127,,,,,0.9474
20240930,6519.2954,6291.2017,6563.4487,6265.3604,26305.0,-6729.0,110243.0,1.0,-3.0,141.0,-853.0,3.0,0.0,4413.0,0.0,6271.07744,6157.482410000001,6188.5332,113.5950299999995,82.54424000000017,,,149361.9,,,2.998854726698582,,,-2.0,-712.0,3.0,4413.0,-0.2558068808211367,-0.1028729985813927,,,,,0.9
20241008,6579.5146,6793.0835,6818.3096,6553.0483,25714.0,-591.0,86269.0,0.0,-4.0,0.0,-1491.0,2.0,-1.0,3313.0,-160.0,6352.5203,6205.91942,6187.24296,146.60088,165.2773399999996,6200.881094047619,,131667.5,,,3.113591392337247,,,-4.0,-1491.0,1.0,3153.0,-0.022983588706541182,-0.1421658572924301,,,,,0.8571
20241009,6509.5747,6591.7808,6591.7808,6479.2886,28691.0,2977.0,92304.0,0.0,-4.0,0.0,-1528.0,2.0,-1.0,3833.0,0.0,6417.84608,6260.40072,6193.715200000001,157.4453600000006,224.1308799999997,6232.950991587302,,126828.5,,,3.017215359332711,,,-4.0,-1528.0,1.0,3833.0,0.10376076121431808,-0.0781691985663114,,,,,1.0
20241010,6453.9023,6480.6943,6514.229,6396.5752,30592.0,1901.0,75702.0,0.0,-4.0,0.0,-1610.0,3.0,-1.0,3931.0,0.0,6471.57888,6298.080550000001,6196.84823,173.4983299999994,274.7306500000004,6258.076783809524,,113448.9,,,2.732137977902215,,,-4.0,-1610.0,2.0,3931.0,0.062140428870292884,-0.2115564957839948,,,,,0.6957
20241011,6514.6294,6465.5562,6535.1743,6452.5444,29157.0,-1435.0,62578.0,1.0,-4.0,32.0,-1137.0,3.0,0.0,3066.0,0.0,6515.38328,6341.3974,6207.844595,173.9858800000002,307.5386849999995,6286.510094126984,,107243.8,,,2.594017087399516,,,-3.0,-1105.0,3.0,3066.0,-0.04921631169187502,-0.09242205235719,,,,,0.9167
20241014,6477.9492,6518.4287,6576.7803,6456.7666,25006.0,-4151.0,61734.0,1.0,-3.0,270.0,-1002.0,2.0,-1.0,2339.0,-5.0,6507.11404,6389.09574,6220.192300000001,118.0183000000006,286.9217399999998,6313.931176904761,,101478.4,,,2.555268893868436,,,-2.0,-732.0,1.0,2334.0,-0.16600015996160922,-0.1054198781139675,,,,,0.8
20241015,6328.8789,6460.0566,6489.7153,6328.875,25374.0,368.0,62178.0,0.0,-3.0,0.0,-500.0,3.0,0.0,2576.0,0.0,6456.9869,6404.7536,6225.40121,52.23329999999987,231.5856899999999,6329.207319444445,,93160.2,,,2.504658694828625,,,-3.0,-500.0,3.0,2576.0,0.014503034602348861,-0.142699114856606,,,,,0.7308
20241016,6313.6274,6338.4009,6377.6255,6289.5703,25627.0,253.0,50582.0,0.0,-3.0,0.0,-969.0,2.0,-1.0,2561.0,-307.0,6417.797439999999,6417.82176,6236.41466,-0.02432000000044354,181.382779999999,6338.654375396825,,82333.4,,,2.390834860922416,,,-3.0,-969.0,1.0,2254.0,0.009872400202910992,-0.1959890192353057,,,,,0.6667
20241017,6195.811,6313.9614,6334.6431,6193.1025,27031.0,1404.0,50457.0,0.0,-2.0,0.0,-414.0,2.0,-1.0,2128.0,-14.0,6366.17918,6418.87903,6250.265,-52.69984999999997,115.9141799999998,6338.03711468254,,74899.5,,,2.465017436755399,,,-2.0,-414.0,1.0,2114.0,0.051940364766379345,-0.2362549243000421,,,,,0.5357
