,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2552.5183,2556.9373,2559.6345,2536.3169,984661.0,48476.0,565517.0,2.0,-1.0,23548.0,-12252.0,2.0,-2.0,18585.0,-16197.0,2540.84924,2548.08517,2523.856555,-7.235929999999826,16.99268500000062,2535.895685079365,2522.780159055555,997046.0,,,1.43949325650159,1.555933021151578,2.995426277653168,1.0,11296.0,0.0,2388.0,0.049231156712817914,0.0527415323614215,,,0.9178,0.876,0.609
20240507,2575.4531,2551.3154,2588.355,2551.3154,1077225.0,92564.0,807870.0,2.0,-1.0,29335.0,-2237.0,2.0,-2.0,16462.0,-11070.0,2554.74206,2548.42355,2527.79033,6.31851000000006,26.95173000000023,2540.379446111111,2526.396338674603,945090.7,,,1.470125254465497,1.54542320130322,3.015548455768717,1.0,27098.0,0.0,5392.0,0.08592819513100791,0.1119698629123296,,,0.9178,0.9027,0.65
20240508,2555.7639,2575.7122,2592.9023,2555.7632,1086243.0,9018.0,815659.0,2.0,-1.0,27807.0,-12629.0,2.0,-2.0,16428.0,-18158.0,2561.58912,2544.88546,2531.099755,16.70365999999967,30.48936499999991,2544.150954523809,2529.550560960317,864979.8,,,1.444507332004981,1.54542320130322,2.989930533308201,1.0,15178.0,0.0,-1730.0,0.008302009771294269,0.1542914278209919,,,0.9315,0.9187,0.68
20240509,2573.3704,2563.0737,2579.429,2556.9961,1110708.0,24465.0,760602.0,3.0,-1.0,28035.0,0.0,2.0,-2.0,17551.0,-18283.0,2564.84322,2545.06703,2536.33849,19.77618999999959,28.50473000000011,2547.879573571428,2532.372034253968,819277.5,,,1.429861729010627,1.54542320130322,2.975284930313848,2.0,28035.0,0.0,-732.0,0.022026491211011356,0.0902266304421463,,,0.9452,0.9347,0.627
20240510,2561.7507,2574.1724,2576.9045,2534.8918,1043734.0,-66974.0,932517.0,2.0,-1.0,22229.0,-13599.0,1.0,-2.0,6051.0,-21925.0,2563.77128,2549.41534,2541.451255,14.35593999999946,22.32002499999999,2550.275301111111,2535.158810992064,803731.1,,,1.474250431847935,1.555933021151578,3.030183452999513,1.0,8630.0,-1.0,-15874.0,-0.06416769023525151,0.1294160681098917,,,0.9452,0.9347,0.663
20240513,2609.3181,2560.1616,2610.2773,2545.4937,1210614.0,166880.0,1132790.0,2.0,-2.0,14131.0,-19141.0,1.0,-2.0,21345.0,-22451.0,2575.13124,2557.99024,2547.046455,17.14100000000008,28.08478500000001,2555.158384444444,2538.321513714286,821761.1,1359348.0,0.20401,1.538194873343635,1.57319787191239,3.111392745256025,0.0,-5010.0,-1.0,-1106.0,0.13784740635743514,0.1817484899191589,,,0.9178,0.9147,0.705
20240514,2586.3462,2613.9421,2650.2727,2581.8247,1196301.0,-14313.0,1480704.0,3.0,-1.0,24717.0,-2196.0,1.0,-2.0,8556.0,-30367.0,2577.30986,2566.02596,2551.849335,11.28390000000036,25.46052500000042,2560.472153412698,2541.983080420635,886968.5,1776844.8,,1.524813553182762,1.58646423051135,3.111277783694113,2.0,22521.0,-1.0,-21811.0,-0.011964380201972581,0.1182195055996309,,,0.8904,0.9427,0.649
20240515,2598.1121,2589.2024,2599.6101,2571.5781,1158942.0,-37359.0,819114.0,2.0,-1.0,24190.0,-2945.0,2.0,-3.0,129.0,-21104.0,2585.7795,2573.68431,2557.11721,12.09519,28.6622899999993,2564.285880396826,2545.936135714286,904174.4,,,1.472415219383225,1.57319787191239,3.045613091295616,1.0,21245.0,-1.0,-20975.0,-0.03223543542299787,0.1774719939586093,,,0.863,0.9347,0.7
20240516,2615.2727,2608.0579,2627.5083,2592.0027,1187805.0,28863.0,1050199.0,3.0,-2.0,19410.0,-1484.0,2.0,-2.0,14001.0,-21295.0,2594.15996,2579.50159,2561.194955,14.65836999999965,32.96500500000002,2569.74848452381,2550.10093163492,911022.7,,,1.407052755252127,1.555933021151578,2.962985776403706,1.0,17926.0,0.0,-7294.0,0.024299443090406252,0.4533700116014337,,,0.8493,0.8573,0.893
20240517,2662.9937,2623.2622,2663.9595,2615.8821,1253774.0,65969.0,982471.0,2.0,-2.0,13091.0,-18220.0,2.0,-1.0,36500.0,-21858.0,2614.40856,2589.08992,2568.06765,25.31863999999996,46.34090999999989,2578.161053968254,2554.640691714285,934744.3,,0.211715,1.467086176967385,1.57319787191239,3.040284048879775,0.0,-5129.0,1.0,14642.0,0.05261634074402564,0.1383794685766833,,,0.7945,0.8013,0.665
