,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,9378.2988,9260.9951,9380.0166,9252.3926,404199.0,23177.0,273053.0,0.0,-3.0,0.0,-23909.0,2.0,-1.0,15160.0,-6130.0,9410.13692,9462.00596,9465.44717,-51.86903999999959,-55.31024999999863,9460.318020714283,9471.64175104762,436329.3,,,1.382770068547181,1.616310237881414,2.999080306428594,-3.0,-23909.0,1.0,9030.0,0.05734056739378376,0.6450243012772161,,,0.2329,0.3907,0.657
20240507,9367.791,9378.252,9409.248,9314.7793,411984.0,7785.0,363399.0,0.0,-3.0,0.0,-23594.0,2.0,-1.0,14601.0,-6018.0,9385.580859999998,9439.03985,9463.053175,-53.45899000000099,-77.47231500000089,9451.006628095236,9472.901969484126,422894.2,,,1.401384787731928,1.582833836747285,2.984218624479213,-3.0,-23594.0,1.0,8583.0,0.018896364907375042,0.635448424255636,,,0.2329,0.4307,0.653
20240508,9271.2783,9359.416,9359.416,9268.1973,429334.0,17350.0,344551.0,0.0,-3.0,0.0,-22001.0,2.0,-1.0,15358.0,-9667.0,9343.51366,9406.67383,9454.01377,-63.1601699999992,-110.500109999999,9435.349654682539,9470.511275253968,387612.2,,,1.362157620308714,1.549696700833935,2.911854321142648,-3.0,-22001.0,1.0,5691.0,0.04041142793256532,0.7978050162131385,,,0.3014,0.4827,0.779
20240509,9202.4629,9262.8516,9323.0732,9200.4961,450868.0,21534.0,471630.0,0.0,-3.0,0.0,-15260.0,2.0,-1.0,14654.0,-15532.0,9315.94686,9379.77676,9440.33555,-63.82990000000063,-124.3886899999998,9413.735878174602,9464.780109015872,381349.5,565956.0,,1.325166685113855,1.545890087011557,2.871056772125412,-3.0,-15260.0,1.0,-878.0,0.04776120727130779,0.6604156128265732,,,0.3288,0.516,0.664
20240510,9256.1221,9221.4688,9270.8877,9173.2207,444943.0,-5925.0,424021.0,0.0,-3.0,0.0,-23067.0,2.0,-1.0,19418.0,-12935.0,9295.19062,9363.946,9424.95762,-68.75538000000051,-129.7669999999998,9394.80691984127,9456.700056007936,381123.9,,,1.342440699618004,1.545890087011557,2.88833078662956,-3.0,-23067.0,1.0,6483.0,-0.013316312426535535,0.7119135746961617,,,0.3425,0.5547,0.715
20240513,9161.9473,9252.6504,9252.6504,9074.1797,438450.0,-6493.0,649331.0,0.0,-3.0,0.0,-23635.0,2.0,-1.0,21088.0,-5822.0,9251.92032,9331.028620000001,9412.931349999999,-79.10830000000169,-161.0110299999997,9370.522583333333,9445.699554420635,408142.3,779197.2,,1.390843826073308,1.545890087011557,2.936733913084864,-3.0,-23635.0,1.0,15266.0,-0.014808986201391264,0.4657590705767153,,,0.2055,0.2987,0.514
20240514,9119.9971,9203.9863,9214.9072,9116.5176,430173.0,-8277.0,362873.0,0.0,-3.0,0.0,-19686.0,2.0,-1.0,23073.0,-1879.0,9202.361540000002,9293.9712,9399.85025,-91.60965999999826,-197.4887099999978,9344.852729761904,9431.569541992063,411667.4,,0.17526,1.326643030248082,1.527680688815682,2.854323719063764,-3.0,-19686.0,1.0,21194.0,-0.019241096024157724,0.3853818305494668,,,0.2055,0.312,0.46
20240515,9116.2539,9106.6113,9145.416,9068.8633,433212.0,3039.0,354141.0,0.0,-3.0,0.0,-22725.0,2.0,-1.0,22356.0,0.0,9171.356660000001,9257.435159999999,9386.01265,-86.0784999999978,-214.6559899999993,9316.57660142857,9414.266091,408448.0,,,1.266990912403027,1.496769167881139,2.763760080284166,-3.0,-22725.0,1.0,22356.0,0.007015041134594609,0.4406726969803792,,,0.2192,0.3133,0.497
20240516,9231.4521,9099.8262,9237.1934,9097.5947,434562.0,1350.0,445220.0,0.0,-3.0,0.0,-25870.0,2.0,-1.0,25224.0,0.0,9177.1545,9246.55068,9373.35503,-69.39617999999973,-196.2005300000001,9297.220763015874,9395.688121261903,401171.8,,0.17894,1.263770432564495,1.495032378349213,2.758802810913708,-3.0,-25870.0,1.0,25224.0,0.00310657627680285,0.4793298537260396,,,0.1644,0.3,0.523
20240517,9266.2373,9244.7344,9271.0342,9185.249,416264.0,-18298.0,378609.0,0.0,-3.0,0.0,-22782.0,3.0,0.0,19510.0,0.0,9179.17754,9237.18408,9358.3354,-58.00654000000031,-179.1578599999993,9285.433678650797,9376.98234576984,406682.8,,0.182735,1.223644556628091,1.467836037329291,2.691480593957381,-3.0,-22782.0,3.0,19510.0,-0.04395768070263102,0.6016671045764281,,,0.1507,0.2973,0.619
