,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,17714.8633,17261.3262,17726.8242,17234.2734,108183.0,4439.0,58544.0,0.0,-1.0,0.0,-1695.0,1.0,-2.0,3659.0,-4782.0,17365.45508,17195.41954,16936.977355,170.0355400000008,428.477724999997,17086.74016904762,16869.80535413492,90442.6,,1.875654883690748,1.110279378178695,2.985934261869443,-1.0,-1695.0,-1.0,-1123.0,0.04103232485695534,0.0978144168872829,,,0.0685,0.0333,0.82
20240507,17710.623,17713.5781,17805.9141,17553.6836,109447.0,1264.0,89860.0,0.0,-1.0,0.0,-1563.0,1.0,-2.0,4249.0,-5348.0,17474.07812,17260.33301,16998.4878,213.7451100000035,475.590320000003,17160.38669507937,16919.54958766667,91154.9,,1.90964969430593,1.130898909282575,3.040548603588505,-1.0,-1563.0,-1.0,-1099.0,0.011548968907325007,0.1494929667930546,,,0.0548,0.0347,0.88
20240508,17857.125,17731.3145,18007.8984,17731.3145,114909.0,5462.0,143361.0,0.0,-1.0,0.0,-1053.0,1.0,-2.0,3463.0,-4800.0,17571.5078,17315.80918,17068.74649,255.6986199999992,502.7613100000017,17240.9763584127,16970.81490237301,94082.7,172033.2,1.926041521743217,1.151099479424723,3.07714100116794,-1.0,-1053.0,-1.0,-1337.0,0.04753326545353279,0.1507271894867674,,,0.0959,0.036,0.881
20240509,18033.7422,17800.4434,18100.4414,17760.9316,118664.0,3755.0,109718.0,0.0,-1.0,0.0,-901.0,1.0,-2.0,3439.0,-4192.0,17732.01874,17427.8043,17147.035845,304.2144399999997,584.982895000001,17327.13654404762,17026.01633400794,89163.1,131661.6,1.959355330575101,1.17693056074088,3.136285891315981,-1.0,-901.0,-1.0,-753.0,0.031643969527405114,0.1672610016578851,,,0.0822,0.0373,0.899
20240510,18051.1602,18034.1094,18164.9766,17811.3047,117361.0,-1303.0,125031.0,0.0,-1.0,0.0,-619.0,2.0,-2.0,3287.0,-2885.0,17873.50274,17550.46641,17220.4545,323.036329999999,653.0482400000001,17412.18186380952,17086.55145706349,92368.4,150037.2,1.97982391839663,1.196298681694938,3.176122600091568,-1.0,-619.0,0.0,402.0,-0.011102495718339142,0.1316370564761926,,,0.0822,0.0387,0.864
20240513,18200.7813,18018.957,18257.4824,17930.293,123250.0,5889.0,119947.0,0.0,-1.0,0.0,-493.0,1.0,-2.0,3654.0,-4576.0,17970.68634,17668.07071,17290.289365,302.6156300000002,680.3969750000033,17501.92240634921,17153.04383577778,93942.7,143936.4,2.00673180140074,1.222129436333736,3.228861237734477,-1.0,-493.0,-1.0,-922.0,0.047780933062880324,0.1203047310614401,,,0.0822,0.0347,0.85
20240514,18340.8926,18184.168,18439.957,18168.2793,125215.0,1965.0,107440.0,1.0,0.0,1163.0,0.0,1.0,-2.0,2771.0,-3982.0,18096.74026,17785.40919,17373.38165,311.3310700000002,723.3586099999993,17599.72990746031,17225.28722411905,97934.4,,1.944351589113624,1.242392478270928,3.186744067384552,1.0,1163.0,-1.0,-1211.0,0.015693008026194943,0.1241245191364226,,,0.1781,0.12,0.857
20240515,18778.7012,18331.2188,18838.5059,18331.2188,146265.0,21050.0,244764.0,1.0,0.0,1762.0,0.0,1.0,-2.0,4219.0,-6135.0,18281.0555,17926.28165,17474.347665,354.7738500000014,806.7078349999974,17722.36270904762,17304.65336376984,114501.7,293716.8,1.881733710991746,1.293491381026652,3.175225092018398,1.0,1762.0,-1.0,-1916.0,0.14391686322770314,0.2644228695727074,,,0.1096,0.088,0.947
20240516,18634.2891,18790.2402,18913.9336,18475.1816,140907.0,-5358.0,283693.0,1.0,0.0,1723.0,0.0,1.0,-2.0,3322.0,-2125.0,18401.16488,18066.59181,17568.370325,334.5730699999986,832.7945550000004,17839.33632277778,17391.24621536508,134403.5,340431.6,1.839097792519791,1.380716631529825,3.219814424049616,1.0,1723.0,-1.0,1197.0,-0.03802508037216036,0.1413560821192365,,,0.0959,0.0413,0.876
20240517,18678.9863,18703.3809,18834.4375,18637.1836,137089.0,-3818.0,140857.0,1.0,0.0,2033.0,0.0,1.0,-2.0,3406.0,-2105.0,18526.7301,18200.11642,17656.07833,326.6136800000022,870.6517700000004,17950.07922047619,17484.0852196508,142321.5,,1.76400048347366,1.380716631529825,3.144717115003484,1.0,2033.0,-1.0,1301.0,-0.027850520464807533,0.2331337236176369,,,0.0959,0.0413,0.935
20240520,18805.7949,18714.4727,19027.5176,18658.4023,131899.0,-5190.0,157235.0,1.0,0.0,1406.0,0.0,1.0,-2.0,3350.0,-880.0,18647.73282,18309.20958,17752.31456,338.523239999995,895.4182599999949,18060.80172174603,17581.49137492064,152190.6,,1.823891637429564,1.380716631529825,3.204608268959388,1.0,1406.0,-1.0,2470.0,-0.03934828922129811,0.2047126725575323,,,0.1096,0.0413,0.918
