,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,81352.4766,80382.0391,81394.7578,80261.1016,603214.0,-13338.0,168306.0,0.0,0.0,0.0,0.0,3.0,0.0,32985.0,0.0,81202.03438,80143.15469,78059.980865,1058.879690000002,3142.053514999992,79152.70276833333,77345.5273479603,344338.4,,,1.974843002289541,1.273966026304646,3.248809028594187,0.0,0.0,3.0,32985.0,-0.022111555766278636,-0.0057083150073084,,,0.137,0.048,0.331
20240507,80575.6875,81359.3047,81714.7422,80567.5156,600210.0,-3004.0,250781.0,0.0,0.0,0.0,0.0,3.0,0.0,31268.0,0.0,81275.46093999999,80315.94453,78423.538675,959.5164099999965,2851.922264999987,79437.3266334127,77737.86210707143,335935.9,,,1.975936091168691,1.296719093524789,3.27265518469348,0.0,0.0,3.0,31268.0,-0.0050049149464354145,-0.0249774228251943,,,0.1096,0.0293,0.279
20240508,79621.8281,80617.8672,80947.7188,79517.4688,591669.0,-8541.0,269928.0,0.0,0.0,0.0,0.0,3.0,0.0,33263.0,0.0,80967.13437999999,80336.94062,78701.97070500001,630.1937599999947,2265.163674999974,79595.36274468253,78103.72295235714,323169.9,,,1.95343671047338,1.314107453545753,3.267544164019133,0.0,0.0,3.0,33263.0,-0.014435436029266363,-0.0344199656997919,,,0.0548,0.0107,0.261
20240509,79755.9219,79573.3672,80146.4844,79538.1641,589688.0,-1981.0,196622.0,1.0,-1.0,0.0,-1500.0,3.0,0.0,32651.0,0.0,80715.53594,80348.59297,78909.783205,366.9429700000037,1805.752735000002,79711.8643713492,78434.0962514365,299544.6,,,1.915903904032405,1.314107453545753,3.230011357578158,0.0,-1500.0,3.0,32651.0,-0.0033594036168278817,-0.0389022982763179,,,0.0137,0.012,0.252
20240510,81086.7266,79874.6484,81144.3047,79725.5547,602355.0,12667.0,275903.0,0.0,0.0,0.0,0.0,3.0,0.0,37314.0,0.0,80478.52814,80648.67266000001,79159.470315,-170.1445200000162,1319.057824999996,79888.80801126982,78747.69525446826,286197.5,,,1.96763867486011,1.314107453545753,3.281746128405863,0.0,0.0,3.0,37314.0,0.021029127341849904,-0.023764810510865,,,0.0137,0.0133,0.28
20240513,81350.5469,80741.0703,81497.1016,80386.375,611313.0,8958.0,285634.0,0.0,0.0,0.0,0.0,3.0,0.0,37376.0,0.0,80478.1422,80840.08829,79389.19024,-361.9460899999976,1088.951960000006,80090.81947674605,79046.65780199999,282003.1,,0.22379,1.86451662519721,1.337067309140294,3.201583934337504,0.0,0.0,3.0,37376.0,0.014653704403472526,-0.0417354540961134,,,0.0411,0.0147,0.242
20240514,82483.0859,81643.4453,82647.1641,81581.7031,625594.0,14281.0,285374.0,0.0,-1.0,0.0,-3314.0,3.0,0.0,34432.0,0.0,80859.62188,81067.54141,79700.49141,-207.9195299999992,1159.130470000004,80369.07597246031,79334.72237861904,278021.1,,0.231495,1.788042614187113,1.359665954264939,3.147708568452052,-1.0,-3314.0,3.0,34432.0,0.022827904359696543,-0.0731346667527176,,,0.0411,0.016,0.169
20240515,82070.5781,82343.8984,82540.2344,81221.1875,625402.0,-192.0,332254.0,0.0,0.0,0.0,0.0,3.0,0.0,30766.0,0.0,81349.37188,81158.25313,79958.97305,191.1187500000087,1390.398830000006,80606.36195174603,79601.55106365873,274110.9,398704.8,0.23943,1.725136901589488,1.36546367352939,3.090600575118879,0.0,0.0,3.0,30766.0,-0.00030700253596886484,-0.0534554390224401,,,0.0411,0.0173,0.213
20240516,82558.8828,82323.4297,82916.3203,81333.7734,629011.0,3609.0,388940.0,0.0,0.0,0.0,0.0,3.0,0.0,31300.0,0.0,81909.96406,81312.75,80236.16641,597.2140599999984,1673.797649999993,80849.76955769843,79851.77244431745,280332.6,466728.0,0.239545,1.658038625445651,1.372027816886178,3.030066442331829,0.0,0.0,3.0,31300.0,0.005737578516114981,-0.0496756761493034,,,0.0548,0.0187,0.223
20240517,84234.5781,82732.6328,84476.8516,82436.3281,633564.0,4553.0,313641.0,0.0,0.0,0.0,0.0,3.0,0.0,36603.0,0.0,82539.53436,81509.03125,80608.015625,1030.503110000005,1931.518735000005,81194.27230944445,80089.63637971428,276738.3,,0.258175,1.670207481805084,1.398497439993803,3.068704921798888,0.0,0.0,3.0,36603.0,0.0071863300313780454,-0.0282475718993845,,,0.0548,0.02,0.273
20240520,87690.0234,84591.8906,88924.2734,84419.5156,632094.0,-1470.0,583697.0,0.0,0.0,0.0,0.0,3.0,0.0,34503.0,0.0,83807.42966,82142.78593,81142.97030999999,1664.643729999996,2664.459350000005,81797.0212392857,80354.06822680953,318277.4,700436.4,0.32338,1.95489170731746,1.440180699330877,3.395072406648337,0.0,0.0,3.0,34503.0,-0.0023256034703699135,-0.0105413895902566,,,0.0548,0.0213,0.315
