,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,20735.9121,20491.3906,20799.9629,20474.9727,617556.0,14089.0,230354.0,0.0,-1.0,0.0,-5108.0,2.0,-1.0,19002.0,-7595.0,20586.02576,20466.84687,20375.87656,119.1788899999992,210.1492000000035,20454.86414888888,20312.11928597619,420176.9,,,1.819206252030466,1.152225887217026,2.971432139247492,-1.0,-5108.0,1.0,11407.0,0.022814125358671927,0.0527489981032256,,,0.3425,0.4613,0.236
20240507,20631.5254,20724.2148,20815.4004,20585.4805,613718.0,-3838.0,276624.0,0.0,-1.0,0.0,-4443.0,2.0,-1.0,16092.0,-11257.0,20618.13358,20485.51855,20418.52041,132.6150300000008,199.6131700000005,20483.39894404762,20344.89329007936,409720.1,,,1.76032289642855,1.125323131155641,2.885646027584191,-1.0,-4443.0,1.0,4835.0,-0.006253686546589802,0.0330451481696111,,,0.3014,0.42,0.188
20240508,20420.0313,20617.416,20646.9766,20390.0508,603644.0,-10074.0,390494.0,0.0,-1.0,0.0,-4888.0,2.0,-1.0,13335.0,-17212.0,20579.44922,20493.20117,20444.54463,86.24804999999833,134.9045899999983,20489.2785865873,20374.00416236508,401898.5,,,1.594920663514303,1.152225887217026,2.747146550731329,-1.0,-4888.0,1.0,-3877.0,-0.016688644300282947,0.0423614725011333,,,0.3151,0.4213,0.204
20240509,20590.8555,20410.3145,20679.0234,20371.9707,611781.0,8137.0,279957.0,0.0,-1.0,0.0,-5445.0,2.0,-1.0,18613.0,-12364.0,20591.42384,20501.37422,20465.28516,90.0496200000016,126.13868,20499.40418166666,20398.88130076191,370051.3,,,1.465640436739053,1.179614522630171,2.645254959369225,-1.0,-5445.0,1.0,6249.0,0.013300511130617003,0.0486343542293249,,,0.3425,0.4227,0.223
20240510,20725.8105,20598.9941,20761.1133,20559.5859,623876.0,12095.0,271795.0,0.0,-1.0,0.0,-6586.0,2.0,-1.0,18387.0,-10540.0,20620.82696,20554.41953,20491.550685,66.40742999999566,129.2762750000002,20519.3442063492,20423.05357066666,343089.8,,,1.4500214518568,1.152225887217026,2.602247339073827,-1.0,-6586.0,1.0,7847.0,0.019386865338624982,0.0879539560131947,,,0.3288,0.424,0.336
20240513,20568.1309,20607.7344,20626.6719,20333.832,598679.0,-25197.0,433185.0,0.0,-1.0,0.0,-6073.0,2.0,-2.0,11550.0,-12891.0,20587.27072,20586.64824,20496.282425,0.622479999994539,90.98829499999556,20525.46809380953,20446.30921905555,340728.7,519822.0,,1.494692121196261,1.179614522630171,2.674306643826433,-1.0,-6073.0,0.0,-1341.0,-0.04208766300471538,0.0662918423084401,,,0.3562,0.408,0.269
20240514,20554.6641,20639.5508,20716.7656,20501.8789,596988.0,-1691.0,287180.0,0.0,-1.0,0.0,-5794.0,2.0,-2.0,13240.0,-12684.0,20571.89846,20595.01602,20502.36719,-23.11755999999878,69.5312699999995,20533.01253984127,20467.59672149206,327318.9,,,1.469587659596527,1.179614522630171,2.649202182226698,-1.0,-5794.0,0.0,556.0,-0.0028325527481289406,0.0353984725698864,,,0.3699,0.4947,0.185
20240515,20512.498,20493.3711,20547.5879,20405.4746,596711.0,-277.0,285592.0,0.0,-1.0,0.0,-5399.0,2.0,-2.0,9333.0,-13827.0,20590.3918,20584.92051,20492.53125,5.47128999999768,97.86055000000124,20532.34100809523,20485.05017815079,318747.4,,,1.356682311739299,1.179614522630171,2.536296834369471,-1.0,-5399.0,0.0,-4494.0,-0.0004642113183769027,-0.0112858401688623,,,0.3562,0.496,0.118
20240516,20770.8516,20522.8242,20891.291,20439.3711,650415.0,53704.0,480512.0,0.0,-1.0,0.0,-4401.0,2.0,-1.0,20871.0,-11611.0,20626.39102,20608.90743,20497.66807,17.48359000000346,128.722950000003,20552.92301722222,20501.19961361111,327907.4,576614.4,0.185955,1.349686130375706,1.187080772254893,2.536766902630599,-1.0,-4401.0,1.0,9260.0,0.08256882144476987,0.0130440782257287,,,0.3014,0.236,0.159
20240517,20966.25,20666.3711,20968.9648,20648.4355,663303.0,12888.0,395138.0,1.0,-1.0,56.0,0.0,2.0,-1.0,22700.0,-12177.0,20674.47892,20647.65294,20537.721,26.82598000000144,136.7579200000037,20586.15915452381,20517.61938810317,333083.1,,,1.325846193875897,1.197290377702825,2.523136571578721,0.0,56.0,1.0,10523.0,0.01943003423774655,0.0259375277999624,,,0.3151,0.264,0.179
