,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,7069.0396,6948.3306,7080.8984,6937.9302,939570.0,27346.0,505735.0,1.0,0.0,11368.0,0.0,1.0,-2.0,7652.0,-11820.0,7091.029820000001,7160.85794,7165.846524999999,-69.82811999999922,-74.81670499999836,7184.161295317458,7157.039902468253,1657600.8,,,2.966998453954429,1.852710751886836,4.819709205841265,1.0,11368.0,-1.0,-4168.0,0.029104803261066233,-0.0719561417877887,,,0.5753,0.4387,0.91
20240507,7110.4521,7100.7275,7176.3179,7094.0879,962470.0,22900.0,980218.0,2.0,-1.0,15142.0,0.0,1.0,-2.0,7687.0,-14780.0,7094.716719999999,7127.67214,7193.213855,-32.95542000000023,-98.49713500000053,7179.962612777776,7170.627015,1506917.3,,,2.756979175982484,1.852710751886836,4.609689927869319,1.0,15142.0,-1.0,-7093.0,0.02379294939063036,-0.076660326188507,,,0.6027,0.452,0.902
20240508,7122.1826,7128.3994,7160.6328,7065.5503,940801.0,-21669.0,864740.0,2.0,-1.0,12806.0,-716.0,1.0,-2.0,8907.0,-18172.0,7083.507820000001,7097.51594,7209.702794999999,-14.00811999999951,-126.1949749999985,7172.918343015875,7177.712338253968,1340062.6,,,2.372151606421176,1.852710751886836,4.224862358308011,1.0,12090.0,-1.0,-9265.0,-0.023032501028379008,-0.0816597695512637,,,0.6027,0.452,0.891
20240509,7172.6865,7123.7651,7205.8975,7096.2217,966533.0,25732.0,923075.0,2.0,-1.0,15241.0,0.0,1.0,-2.0,10032.0,-16297.0,7098.904980000001,7096.536050000001,7211.904235,2.368930000000546,-112.9992549999988,7169.38981031746,7180.577290253968,1208344.3,,,2.302225178796947,1.852710751886836,4.154935930683783,1.0,15241.0,-1.0,-6265.0,0.026622991661950497,-0.0785188141836216,,,0.589,0.452,0.897
20240510,7423.5913,7224.3413,7424.1235,7163.8774,1002681.0,36148.0,1701366.0,2.0,-1.0,14667.0,0.0,1.0,-2.0,16823.0,-19490.0,7179.590419999999,7139.71041,7224.4422,39.88000999999895,-44.85178000000087,7182.417601031744,7182.964762690475,1164652.2,2041639.2,0.3241849999999999,2.445362138717443,1.874386920668293,4.319749059385736,1.0,14667.0,-1.0,-2667.0,0.03605134634046123,-0.1060361218629587,,,0.6027,0.452,0.811
20240513,7317.2207,7373.7192,7396.812,7265.3774,969732.0,-32949.0,1389550.0,2.0,-1.0,11213.0,0.0,1.0,-2.0,15109.0,-21709.0,7229.226640000001,7160.12823,7229.98883,69.09841000000051,-0.7621899999994639,7193.08750484127,7185.042340015873,1152860.0,1667460.0,,2.421789568842196,1.928973827878285,4.350763396720481,1.0,11213.0,-1.0,-6600.0,-0.03397742881538404,-0.0683498084723415,,,0.5616,0.4107,0.914
20240514,7327.2124,7351.9058,7382.8569,7280.1953,959576.0,-10156.0,973166.0,2.0,0.0,12939.0,0.0,1.0,-2.0,18705.0,-19669.0,7272.5787,7183.64771,7237.9682,88.93098999999984,34.61049999999977,7201.873948333334,7187.041640619047,1115906.7,,,2.322484745213051,1.928973827878285,4.251458573091337,2.0,12939.0,-1.0,-964.0,-0.010583841196528467,-0.0558030561392043,,,0.5616,0.436,0.926
20240515,7378.6567,7361.3799,7410.6982,7339.5796,983768.0,24192.0,1150780.0,1.0,0.0,8832.0,0.0,1.0,-2.0,21483.0,-18993.0,7323.873519999999,7203.690669999999,7233.210655000001,120.1828500000001,90.66286499999842,7215.479396269842,7189.166309761904,1091195.5,,,2.091095516575969,1.928973827878285,4.020069344454254,1.0,8832.0,-1.0,2490.0,0.02459116377031983,-0.1002250918947763,,,0.5479,0.436,0.829
20240516,7580.0767,7467.0635,7657.3628,7368.9326,1028283.0,44515.0,2362489.0,1.0,-2.0,8841.0,-12818.0,1.0,-2.0,25060.0,-6729.0,7405.35156,7252.128269999999,7240.300574999999,153.2232900000008,165.0509850000008,7244.717767936508,7193.761980992063,1193524.5,2834986.8,,1.989989123850919,1.999964902454438,3.989954026305357,-1.0,-3977.0,-1.0,18331.0,0.043290611631233815,-0.0599102016232958,,,0.5342,0.344,0.923
20240517,7647.6558,7582.9771,7647.6558,7557.0376,1019302.0,-8981.0,1292998.0,1.0,-2.0,6065.0,-12884.0,1.0,-2.0,23094.0,-7458.0,7450.16446,7314.877439999999,7254.079725000001,135.2870200000007,196.0847349999995,7280.796633333332,7202.480491317459,1214411.7,,0.321195,1.915095211922528,1.999964902454438,3.915060114376967,-1.0,-6819.0,-1.0,15636.0,-0.008810931402077107,-0.0510813396472678,,,0.4658,0.2533,0.931
