,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,23330.2813,23273.5313,23434.1074,23108.3398,224657.0,-1296.0,176559.0,0.0,0.0,0.0,0.0,2.0,-1.0,4427.0,-953.0,23115.42148,22848.34434,22524.74688,267.0771400000012,590.6746000000021,22751.07756404761,22378.71334909523,348832.1,,,2.248010640616855,1.531413399443098,3.779424040059952,0.0,0.0,1.0,3474.0,-0.005768794206278905,0.0253210169648274,,,0.2603,0.1773,0.099
20240507,23294.9121,23322.9414,23542.4063,23243.6465,230597.0,5940.0,256405.0,0.0,0.0,0.0,0.0,2.0,-2.0,2999.0,-676.0,23219.96094,22896.08125,22634.419925,323.8796900000016,585.5410149999989,22831.26809452381,22458.48768646031,337500.1,,,2.172935695882297,1.531413399443098,3.704349095325394,0.0,0.0,0.0,2323.0,0.025759224968234625,0.0351591941317699,,,0.274,0.1907,0.117
20240508,23142.0781,23390.0098,23596.8418,23091.6543,227628.0,-2969.0,350935.0,0.0,0.0,0.0,0.0,3.0,-1.0,5155.0,0.0,23264.15196,22937.88183,22728.440335,326.2701300000008,535.7116249999999,22891.63046158731,22534.92850671428,335300.7,,,2.112366352275253,1.566398128168712,3.678764480443965,0.0,0.0,2.0,5155.0,-0.01304321085279491,0.0393292492389312,,,0.2877,0.192,0.122
20240509,23202.4004,23051.6875,23317.2227,22938.873,226500.0,-1128.0,262192.0,0.0,0.0,0.0,0.0,3.0,-1.0,6199.0,0.0,23301.50548,23005.0916,22802.236135,296.4138800000001,499.269344999997,22936.38195579365,22607.6690383254,317140.9,,,1.988715275354046,1.615319118352289,3.604034393706335,0.0,0.0,2.0,6199.0,-0.004980132450331126,0.0253583007083698,,,0.3151,0.1933,0.097
20240510,23738.1719,23282.252,23800.7441,23277.5547,239239.0,12739.0,342841.0,0.0,0.0,0.0,0.0,3.0,0.0,14280.0,0.0,23341.56876,23151.82539,22896.95215,189.7433700000038,444.6166100000046,23012.40584269842,22682.40877638889,317391.9,,,2.048520566063393,1.615319118352289,3.663839684415681,0.0,0.0,3.0,14280.0,0.05324800722290262,0.0808160451479301,,,0.5205,0.5013,0.194
20240513,23569.5957,23619.3555,23656.0684,23290.5801,236806.0,-2433.0,349413.0,0.0,0.0,0.0,0.0,3.0,0.0,8690.0,0.0,23389.43164,23252.42656,22944.312015,137.005079999999,445.1196249999994,23078.64791944444,22758.01064488889,321884.5,,,2.020202073742098,1.615319118352289,3.635521192094386,0.0,0.0,3.0,8690.0,-0.0102742329163957,0.0561098556743608,,,0.5205,0.4427,0.152
20240514,23741.6094,23648.8438,24038.5059,23604.2656,234702.0,-2104.0,402432.0,0.0,0.0,0.0,0.0,2.0,0.0,6811.0,0.0,23478.7711,23349.36602,22989.847955,129.4050799999968,488.9231450000007,23158.12925952381,22834.58650005555,330746.0,482918.4,,2.031016995096798,1.626330181138325,3.657347176235122,0.0,0.0,2.0,6811.0,-0.008964559313512454,0.0189590525120421,,,0.5205,0.5027,0.086
20240515,23971.4883,23711.4375,24003.7949,23520.3477,246668.0,11966.0,350491.0,0.0,0.0,0.0,0.0,3.0,0.0,12947.0,0.0,23644.65314,23454.40255,23038.28741,190.250589999996,606.3657299999977,23243.06844039683,22911.52081954762,331189.9,,0.258405,2.004088073700788,1.648907053487871,3.652995127188659,0.0,0.0,3.0,12947.0,0.04851054859162923,0.0294385612832039,,,0.4932,0.4427,0.104
20240516,23668.6836,23826.2539,23968.3184,23558.9707,239223.0,-7445.0,439685.0,0.0,0.0,0.0,0.0,2.0,-1.0,3758.0,0.0,23737.90978,23519.70763,23083.100105,218.202150000001,654.8096750000004,23311.2885497619,22987.61072611904,342562.5,527622.0,,1.981352410074968,1.683846469964483,3.665198880039451,0.0,0.0,1.0,3758.0,-0.031121589479272477,0.0148291232765759,,,0.4658,0.3053,0.081
20240517,23858.6133,23594.9141,23935.918,23551.2656,234463.0,-4760.0,314560.0,0.0,0.0,0.0,0.0,2.0,-1.0,6747.0,0.0,23761.99806,23551.78341,23161.68858,210.2146500000017,600.3094800000035,23376.97290253968,23059.08709903175,324551.3,,,1.936000542623481,1.683846469964483,3.619847012587964,0.0,0.0,1.0,6747.0,-0.020301710717682536,0.032361253628292,,,0.411,0.2493,0.107
20240520,24239.6719,23945.207,24544.8145,23885.8652,234542.0,79.0,435226.0,0.0,0.0,0.0,0.0,3.0,0.0,9121.0,0.0,23896.0133,23642.72247,23245.533405,253.2908300000017,650.4798950000004,23475.76216507937,23131.55555913492,350418.0,522271.2,0.2626599999999999,2.024443257437937,1.71425835772923,3.738701615167167,0.0,0.0,3.0,9121.0,0.00033682666643927316,0.0111166267574722,,,0.3699,0.2107,0.076
20240521,24799.9648,24248.166,24964.6953,24212.6621,237360.0,2818.0,521973.0,0.0,0.0,0.0,0.0,3.0,0.0,13141.0,0.0,24107.68438,23793.22774,23344.654495,314.456640000004,763.0298849999999,23612.12835238096,23209.64158492064,376974.8,626367.6,0.283015,2.12769683587317,1.772173557030652,3.899870392903821,0.0,0.0,3.0,13141.0,0.01187226154364678,0.006529745364301,,,0.2603,0.052,0.072
20240522,24911.5938,24928.5742,25168.752,24604.7305,237780.0,420.0,406892.0,0.0,0.0,0.0,0.0,3.0,0.0,10704.0,0.0,24295.70548,23970.17931,23454.03057,325.526170000001,841.6749100000015,23764.00661380953,23296.87920014286,382570.5,,0.29348,2.137360057821815,1.81726973420857,3.954629792030384,0.0,0.0,3.0,10704.0,0.0017663386323492304,-0.0151785287546074,,,0.2192,0.052,0.057
20240523,24347.875,24615.3984,24661.8691,24213.0781,233795.0,-3985.0,405763.0,0.0,0.0,0.0,0.0,3.0,0.0,7976.0,0.0,24431.54376,24084.72677,23544.909185,346.8169899999994,886.634575,23859.556585,23389.19666306349,396927.6,,,2.129324895410431,1.827815882528635,3.957140777939066,0.0,0.0,3.0,7976.0,-0.017044846981329798,-0.0264380143300456,,,0.2329,0.0533,0.048
20240524,24724.5781,24468.8711,24791.6992,24451.4746,237186.0,3391.0,321436.0,0.0,0.0,0.0,0.0,3.0,0.0,10279.0,0.0,24604.73672,24183.36739,23667.59639,421.3693299999977,937.140330000002,23966.15047714286,23484.57112650794,394787.1,,,2.124736562082619,1.827815882528635,3.952552444611254,0.0,0.0,3.0,10279.0,0.014296796606882363,-0.0045278895810718,,,0.2192,0.0547,0.064
20240527,24702.1309,24665.1504,24869.2539,24538.5078,235583.0,-1603.0,263723.0,0.0,0.0,0.0,0.0,3.0,0.0,12705.0,0.0,24697.22852,24296.62091,23774.523735,400.6076099999991,922.7047849999981,24067.50010365078,23583.45634492857,386218.1,,,2.125356435299808,1.827815882528635,3.953172317828443,0.0,0.0,3.0,12705.0,-0.006804395902930177,-0.0149869299864504,,,0.2329,0.056,0.058
20240528,24824.8945,24776.8477,25135.8809,24722.334,232183.0,-3400.0,303797.0,0.0,0.0,0.0,0.0,3.0,0.0,15252.0,0.0,24702.21446,24404.94942,23877.15772,297.265040000002,825.05674,24173.57743912698,23685.00116288889,376354.6,,,2.093667714135781,1.827815882528635,3.921483596664416,0.0,0.0,3.0,15252.0,-0.014643621626044974,-0.0665566102212023,,,0.274,0.0587,0.018
20240529,25368.7129,24938.3828,25383.5,24788.3027,244647.0,12464.0,439417.0,0.0,0.0,0.0,0.0,3.0,0.0,19385.0,0.0,24793.63828,24544.67188,23999.537215,248.9663999999975,794.1010649999989,24303.67301111111,23791.06161996032,385247.2,,0.26496,2.144037330101877,1.864222214881823,4.0082595449837,0.0,0.0,3.0,19385.0,0.05094687447628624,-0.001980373945768,,,0.274,0.06,0.066
20240530,24744.1152,25150.7363,25351.7363,24734.0762,226353.0,-18294.0,414456.0,0.0,0.0,0.0,0.0,3.0,0.0,13287.0,0.0,24872.88632,24652.21504,24085.961335,220.671279999995,786.9249849999978,24392.24936936507,23899.15770192063,382724.3,,,2.148349582427981,1.900711925881573,4.049061508309554,0.0,0.0,3.0,13287.0,-0.08082066506739473,-0.0295354379119895,,,0.2603,0.0613,0.044
20240531,24923.0586,24661.9375,24954.2852,24617.2871,224493.0,-1860.0,327322.0,0.0,0.0,0.0,0.0,3.0,0.0,11674.0,0.0,24912.58242,24758.65957,24155.22149,153.922849999999,757.3609299999989,24468.89770960316,24008.35018262698,384000.5,,,2.107608678557417,1.900711925881573,4.008320604438991,0.0,0.0,3.0,11674.0,-0.008285336291109299,0.1059615527066383,,,0.4795,0.2653,0.244
20240603,24206.7578,24921.0762,25027.5859,24150.6367,220432.0,-4061.0,414493.0,0.0,0.0,0.0,0.0,3.0,0.0,9879.0,0.0,24813.5078,24755.36816,24199.045315,58.13964000000124,614.4624849999964,24499.04875912699,24110.67884203174,381927.2,,,2.223613517311223,1.931970718623187,4.155584235934411,0.0,0.0,3.0,9879.0,-0.018422915003266312,-0.0001544913100477,,,0.411,0.2587,0.066
20240604,24402.25,24373.5859,24513.6992,24129.3105,217018.0,-3414.0,337995.0,0.0,0.0,0.0,0.0,3.0,0.0,9636.0,0.0,24728.9789,24715.59668,24254.41221,13.38221999999951,474.566689999996,24517.08212611111,24201.17421940476,363529.4,,,2.192007541898419,1.931970718623187,4.123978260521606,0.0,0.0,3.0,9636.0,-0.015731413984093487,0.0297913537316322,,,0.3836,0.34,0.105
20240605,24026.6133,24254.5176,24278.3086,24009.4688,218596.0,1578.0,321274.0,0.0,0.0,0.0,0.0,3.0,0.0,13106.0,0.0,24460.55898,24627.09863,24298.63897,-166.5396499999988,161.9200100000016,24504.2988565873,24275.20344368254,354967.6,,,2.183991330704475,1.931970718623187,4.115962049327663,0.0,0.0,3.0,13106.0,0.0072187963183223845,0.0471428878272165,,,0.5342,0.492,0.133
20240606,24078.375,23917.0352,24182.1094,23751.2148,208694.0,-9902.0,369488.0,0.0,0.0,0.0,0.0,3.0,0.0,16018.0,0.0,24327.41094,24600.14863,24342.4377,-272.7376899999981,-15.02675999999701,24476.27669174603,24336.87545435714,351340.1,,,2.196028087105946,1.931970718623187,4.127998805729133,0.0,0.0,3.0,16018.0,-0.047447458959050094,0.0701000109654888,,,0.5068,0.4933,0.174
20240607,24166.498,24052.6152,24324.1797,24042.8086,203180.0,-5514.0,255273.0,0.0,0.0,0.0,0.0,3.0,0.0,16921.0,0.0,24176.09882,24544.34062,24363.854005,-368.2417999999998,-187.7551850000018,24462.31163595238,24386.49157023809,344723.8,,,2.078889486391488,1.931970718623187,4.010860205014676,0.0,0.0,3.0,16921.0,-0.027138497883649967,0.0545983984715574,,,0.5205,0.4667,0.148
20240611,23674.6309,23844.9375,23891.2422,23619.1875,199554.0,-3626.0,227412.0,0.0,-1.0,0.0,-2773.0,3.0,0.0,13225.0,0.0,24069.67344,24441.59062,24369.105765,-371.9171800000004,-299.4323250000016,24401.80446246031,24419.92200611905,341092.7,,,2.026039836004025,1.97867422578388,4.004714061787906,-1.0,-2773.0,3.0,13225.0,-0.018170520260180203,0.0538243648512761,,,0.5753,0.4413,0.145
20240612,23527.9219,23475.7188,23616.9766,23372.584,195033.0,-4521.0,250665.0,0.0,-1.0,0.0,-2840.0,3.0,0.0,15286.0,0.0,23894.80782,24311.89336,24358.42139,-417.0855399999964,-463.6135699999977,24321.01253809524,24434.66551601587,335779.5,,,1.957579709823308,1.97867422578388,3.936253935607188,-1.0,-2840.0,3.0,15286.0,-0.023180692498192615,0.1064359013909935,,,0.3562,0.296,0.244
20240613,23669.0645,23749.4434,23944.7715,23501.8809,190374.0,-4659.0,295993.0,0.0,-1.0,0.0,-2845.0,3.0,0.0,19023.0,0.0,23823.29806,24141.92852,24343.3002,-318.6304599999967,-520.0021399999969,24260.35417261905,24430.33363216666,321437.1,,,1.886521439098466,1.97867422578388,3.865195664882346,-1.0,-2845.0,3.0,19023.0,-0.024472879699959028,0.094117966703659,,,0.3288,0.276,0.22
20240614,23521.5938,23774.6074,23865.7031,23520.9805,192714.0,2340.0,254660.0,0.0,-1.0,0.0,-2354.0,3.0,0.0,17231.0,0.0,23711.94182,24019.67638,24335.94571,-307.7345599999971,-624.00389,24190.87800555555,24410.19649578571,305457.5,,,1.864037975168485,1.97867422578388,3.842712200952365,-1.0,-2354.0,3.0,17231.0,0.01214234565210623,0.0483497455189167,,,0.3288,0.2653,0.135
20240617,23185.3379,23351.1621,23424.2246,23171.5664,190591.0,-2123.0,330749.0,0.0,-1.0,0.0,-1852.0,3.0,0.0,13770.0,0.0,23515.7098,23845.90431,24302.28194,-330.1945100000012,-786.5721400000002,24085.78404753968,24371.88512957936,305800.2,,,1.878094171143134,1.97867422578388,3.856768396927014,-1.0,-1852.0,3.0,13770.0,-0.011139035946083498,0.0549215895760536,,,0.1233,0.044,0.15
20240618,23393.8438,23315.9551,23629.9121,23303.1563,186243.0,-4348.0,267114.0,0.0,-1.0,0.0,-1577.0,3.0,0.0,13438.0,0.0,23459.55238,23764.61291,24259.990535,-305.0605300000025,-800.4381549999998,23999.3819968254,24321.9184533492,291062.3,,,1.8892850100007,1.97867422578388,3.86795923578458,-1.0,-1577.0,3.0,13438.0,-0.02334584387064212,0.0406735409367751,,,0.0822,0.0347,0.124
20240619,23817.5566,23257.1895,23822.0293,23233.8301,191136.0,4893.0,267186.0,0.0,-1.0,0.0,-1193.0,3.0,0.0,15966.0,0.0,23517.47932,23706.14357,24210.870125,-188.6642500000016,-693.3908049999991,23938.99603277777,24264.10984401587,283981.4,,0.193315,1.895937309744818,1.997164174614308,3.893101484359127,-1.0,-1193.0,3.0,15966.0,0.025599573078854847,0.0719331087691095,,,0.0959,0.032,0.179
