,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,262309.5938,258171.2031,263058.1875,256988.2344,73663.0,-918.0,73082.0,2.0,-1.0,955.0,-40.0,1.0,-2.0,0.0,-2332.0,261115.21878,262998.93908,254260.145335,-1883.720300000045,6855.073445000045,259089.8140550793,252941.1344275159,307462.9,,,4.364981955985048,2.440746064275763,6.80572802026081,1.0,915.0,-1.0,-2332.0,-0.012462158749983031,-0.1481311415455193,,,0.2466,0.456,0.062
20240507,261003.1719,262307.1875,267114.7188,260439.2031,80178.0,6515.0,165815.0,2.0,0.0,2496.0,0.0,0.0,-3.0,0.0,-3545.0,261298.20004,262671.36564,255907.962525,-1373.165600000066,5390.237514999957,259910.9398361905,254599.5611287937,301636.4,,,4.214433218715775,2.532523993504487,6.746957212220261,2.0,2496.0,-3.0,-3545.0,0.08125670383396942,-0.1685541841683513,,,0.2192,0.44,0.053
20240508,257702.0781,261611.1719,264119.3438,257170.4688,78901.0,-1277.0,173042.0,1.0,0.0,1332.0,0.0,1.0,-3.0,0.0,-3644.0,260141.4719,261174.6922,257386.200805,-1033.220300000015,2755.271095000033,260276.0770747619,255997.2967587857,286655.4,,,4.078876637733978,2.552114148271671,6.630990786005649,1.0,1332.0,-2.0,-3644.0,-0.01618483922890711,-0.227514210895594,,,0.2192,0.4067,0.027
20240509,259847.4531,258414.4531,261787.5781,258011.3594,78285.0,-616.0,141737.0,2.0,-1.0,704.0,-194.0,1.0,-3.0,128.0,-2923.0,260234.25626,259541.23126,258634.171895,693.0249999999651,1600.084364999988,260548.6901420634,257078.2679316825,250792.3,,,3.938347979136653,2.552114148271671,6.490462127408325,1.0,510.0,-2.0,-2795.0,-0.00786868493325669,-0.2316604721119433,,,0.2055,0.3787,0.026
20240510,268411.2813,260559.4219,268789.2813,260160.9375,84189.0,5904.0,188356.0,0.0,-1.0,0.0,-817.0,1.0,-2.0,1529.0,-2193.0,261854.71564,260968.60314,260144.35627,886.1124999999593,1710.359369999962,261243.2205634126,258028.7300558174,220011.6,,,4.009584780007729,2.566984856351702,6.576569636359431,-1.0,-817.0,-1.0,-664.0,0.07012792645119909,-0.1539685580876896,,,0.2055,0.36,0.063
20240513,263751.9063,266529.125,266591.0938,258459.3281,82457.0,-1732.0,185100.0,1.0,-1.0,14.0,0.0,1.0,-2.0,777.0,-2717.0,262143.17814,261629.19846,260702.96799,513.9796800000186,1440.210150000057,261693.6848501586,258876.5802669285,194656.8,,,4.001576133616889,2.587216798753946,6.588792932370835,0.0,14.0,-1.0,-1940.0,-0.02100488739585481,-0.2517503167646447,,,0.1233,0.216,0.018
20240514,273536.8125,264692.1563,274240.5625,264588.0,93028.0,10571.0,237128.0,0.0,-1.0,0.0,-904.0,2.0,-2.0,578.0,-2186.0,264649.90626,262974.05315,261949.985175,1675.853110000025,2699.921085000038,262663.1062905556,259694.2229112064,190425.1,284553.6,,3.911027239753621,2.632882491002774,6.543909730756395,-1.0,-904.0,0.0,-1608.0,0.11363245474480801,-0.2137455317986919,,,0.0685,0.212,0.033
20240515,277985.375,272517.3125,278823.125,270981.375,98602.0,5574.0,247397.0,1.0,-1.0,1167.0,-935.0,2.0,-2.0,436.0,-1790.0,268706.56564,264424.01877,263104.24533,4282.54687000002,5602.320310000039,264047.6297389682,260490.4852947777,186234.0,296876.4,,3.59807695083942,2.691033797954677,6.289110748794096,0.0,232.0,0.0,-1354.0,0.05653029350317438,-0.2002090616663692,,,0.0822,0.2013,0.038
20240516,274182.2188,276795.7813,279060.1563,270743.8438,93433.0,-5169.0,273346.0,1.0,-1.0,681.0,-747.0,2.0,-2.0,622.0,-1982.0,271573.51878,265903.88752,263833.1258,5669.631259999995,7740.392980000004,265232.9423663492,261294.121295738,189405.0,328015.2,,3.076831879276279,2.697053213822834,5.773885093099114,0.0,-66.0,0.0,-1360.0,-0.055323065726242335,-0.3246523306994313,,,0.0685,0.0587,0.007
20240517,277768.125,273646.9688,278586.8125,272178.8125,87061.0,-6372.0,194613.0,1.0,0.0,649.0,0.0,2.0,-2.0,523.0,-1428.0,273444.88752,267649.80158,264997.110955,5795.085939999961,8447.77656499995,266441.4683203968,262114.7573237937,187961.6,,,2.773161945038915,2.691033797954677,5.464195742993591,1.0,649.0,0.0,-905.0,-0.07319006214033838,-0.0609130087267083,,,0.0411,0.06,0.149
20240520,278000.5,279034.5313,291042.4063,275953.625,89272.0,2211.0,309954.0,1.0,0.0,792.0,0.0,1.0,-2.0,273.0,-1424.0,276294.60626,269218.8922,266108.91564,7075.714059999969,10185.69062000001,267882.3916712698,262994.0150854127,211648.8,371944.8,,2.986232113064381,2.697053213822834,5.683285326887216,1.0,792.0,-1.0,-1151.0,0.024767004211846938,-0.2613058743946689,,,0.0274,0.0613,0.017
20240521,280523.0,276755.875,283570.5625,272871.625,89148.0,-124.0,236217.0,1.0,0.0,1451.0,0.0,1.0,-3.0,0.0,-2118.0,277691.84376,271170.87501,266921.120325,6520.96875,10770.72343499999,269140.5963574603,263916.9807375396,218689.0,,,3.064188924503445,2.721370373154006,5.785559297657452,1.0,1451.0,-2.0,-2118.0,-0.001390945394175977,-0.1067388089945757,,,0.0685,0.0627,0.103
20240522,278546.0,281670.5313,284430.9375,275944.8125,87153.0,-1995.0,176667.0,1.0,0.0,1292.0,0.0,1.0,-3.0,0.0,-2040.0,277803.96876,273255.2672,267214.9797,4548.701559999958,10588.98905999999,270370.2902430953,264926.4020543729,219051.5,,,3.088786000120095,2.782297305994848,5.871083306114944,1.0,1292.0,-2.0,-2040.0,-0.02289077828646174,-0.1248475234639966,,,0.0685,0.064,0.089
20240523,271372.5313,276295.25,278352.7188,270443.5625,84515.0,-2638.0,175984.0,1.0,0.0,1185.0,0.0,0.0,-3.0,0.0,-3199.0,277242.03126,274407.7750199999,266974.50314,2834.256240000017,10267.52811999997,271024.8694983333,265974.01999,222476.2,,,3.120382984414535,2.836375245564972,5.956758229979506,1.0,1185.0,-3.0,-3199.0,-0.031213394072058216,-0.1575745421971685,,,0.0822,0.0653,0.064
20240524,274223.2188,273015.5938,276115.375,269935.6563,82028.0,-2487.0,138110.0,2.0,-1.0,1118.0,-272.0,0.0,-3.0,0.0,-3528.0,276533.05002,274988.96877,267978.785955,1544.081249999988,8554.264064999996,271593.4157188095,267009.0395055397,217451.6,,,3.113482925840983,2.836375245564972,5.949858171405955,1.0,846.0,-3.0,-3528.0,-0.03031891549227093,-0.1588209392518257,,,0.0411,0.0667,0.064
