,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,145452.0313,143869.6094,145988.2344,143011.9063,216794.0,-1722.0,169533.0,1.0,0.0,5109.0,0.0,0.0,-3.0,0.0,-20722.0,144546.5219,143167.27189,140131.07267,1379.250009999989,4415.449229999998,141716.622115,138967.9452763651,415084.3,,,3.11829707713115,2.490139392883646,5.608436470014796,1.0,5109.0,-3.0,-20722.0,-0.007943024253438749,-0.2132105257769241,,,0.274,0.1813,0.021
20240507,144685.0156,145693.75,147154.7188,143927.25,233129.0,16335.0,296961.0,1.0,0.0,5779.0,0.0,0.0,-3.0,0.0,-24102.0,144657.70626,143748.91251,140722.376575,908.7937500000116,3935.329685000004,142214.4470884127,139574.7360362699,412268.1,,,3.089696632451249,2.471110416898682,5.560807049349931,1.0,5779.0,-3.0,-24102.0,0.07006850284606377,-0.2452879140691654,,,0.2603,0.1653,0.014
20240508,141687.0156,144158.7344,145168.5469,141203.3594,238169.0,5040.0,304997.0,1.0,0.0,7368.0,0.0,0.0,-3.0,0.0,-26550.0,143755.55938,143755.83282,141118.121885,-0.2734399999899324,2637.437494999991,142403.5835205555,140155.2733591508,397080.8,,,3.011107623842992,2.471110416898682,5.482218040741674,1.0,7368.0,-3.0,-26550.0,0.021161444184591614,-0.2656162243290256,,,0.2466,0.1227,0.011
20240509,142333.5625,141066.4531,142935.4375,140925.7813,231282.0,-6887.0,224628.0,1.0,0.0,6082.0,0.0,0.0,-3.0,0.0,-23597.0,143562.94062,143606.61407,141386.71798,-43.67344999997295,2176.222639999993,142509.9460566667,140672.9784527698,351315.8,,,2.852705419225999,2.471110416898682,5.32381583612468,1.0,6082.0,-3.0,-23597.0,-0.029777501059312872,-0.2417895707562152,,,0.2466,0.124,0.015
20240510,145183.0156,142225.625,145183.0156,142225.625,227135.0,-4147.0,290842.0,1.0,0.0,5395.0,0.0,0.0,-3.0,0.0,-22153.0,143868.12812,143996.46407,141773.85704,-128.3359499999788,2094.271080000006,142783.4433753968,141151.0681897936,314758.7,,,2.860231028262009,2.471110416898682,5.331341445160691,1.0,5395.0,-3.0,-22153.0,-0.018257864265745043,-0.2420937624057397,,,0.2603,0.1253,0.014
20240513,144035.6094,144151.0938,145015.2813,142618.4063,223331.0,-3804.0,288173.0,1.0,0.0,5549.0,0.0,1.0,-3.0,0.0,-20188.0,143584.84374,144065.68282,141973.77501,-480.8390799999761,1611.068729999999,143014.4191587302,141587.1957412381,302147.9,,,2.810900767016908,2.471110416898682,5.282011183915589,1.0,5549.0,-2.0,-20188.0,-0.017033013777755887,-0.2680933088879543,,,0.274,0.1147,0.009
20240514,145022.2188,144457.4688,146039.5313,143423.0781,227685.0,4354.0,288790.0,1.0,0.0,4857.0,0.0,0.0,-3.0,0.0,-21013.0,143652.28438,144154.99532,142223.759385,-502.710940000019,1428.524994999985,143309.2553220635,141986.613753381,296223.8,,,2.678190542064298,2.460466765877233,5.138657307941532,1.0,4857.0,-3.0,-21013.0,0.019122911039374576,-0.1742448731505006,,,0.274,0.1333,0.036
20240515,144916.125,144997.4063,146336.9375,142946.625,232810.0,5125.0,320586.0,1.0,0.0,4693.0,0.0,1.0,-3.0,0.0,-21144.0,144298.10626,144026.83282,142539.664855,271.2734399999608,1758.441404999961,143565.4047134921,142335.1833391587,293098.4,,,2.398858919000504,2.460466765877233,4.859325684877737,1.0,4693.0,-2.0,-21144.0,0.022013659207078734,-0.2653363896280572,,,0.274,0.1347,0.01
20240516,147229.0313,145314.1875,148003.7969,144945.5469,233514.0,704.0,379174.0,1.0,0.0,4326.0,0.0,1.0,-3.0,268.0,-17085.0,145277.20002,144420.07032,142920.808605,857.1296999999904,2356.391414999991,143985.3066253174,142668.1540688016,292901.9,455008.8,,2.25649966046171,2.460466765877233,4.716966426338944,1.0,4326.0,-2.0,-16817.0,0.0030148085339637026,-0.2075983104348406,,,0.2877,0.116,0.025
20240517,154051.0156,147143.5781,155258.7813,146636.5625,255609.0,22095.0,558015.0,1.0,0.0,4307.0,0.0,0.0,-3.0,0.0,-17728.0,147050.80002,145459.46407,143869.885945,1591.335950000008,3180.914075000008,144839.7169903175,143034.2144965952,312169.9,669618.0,,2.441456209444596,2.471110416898682,4.912566626343278,1.0,4307.0,-3.0,-17728.0,0.08644061828808845,-0.0332310584152994,,,0.2466,0.1147,0.295
