,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,2498.0,2499.0,2512.8,2487.4,38314.0,647.0,25480.0,3.0,0.0,4530.0,0.0,2.0,-2.0,2472.0,-9052.0,2471.32,2451.52,2433.56,19.80000000000018,37.75999999999931,2443.52380952381,2426.324857142857,27088.3,,,1.439131020033128,1.356542851361146,2.795673871394274,3.0,4530.0,0.0,-6580.0,0.016886777679177324,0.4650758410913062,,,0.863,0.876,0.666
20240507,2504.4,2498.2,2507.6,2493.0,34581.0,-3733.0,17809.0,3.0,0.0,4320.0,0.0,2.0,-2.0,2914.0,-8871.0,2484.8,2457.1,2436.66,27.69999999999982,48.13999999999987,2450.130476190477,2429.621285714286,26320.6,,,1.370206463876112,1.356542851361146,2.726749315237258,3.0,4320.0,0.0,-5957.0,-0.10794945201122004,0.4821782213745642,,,0.8219,0.888,0.674
20240508,2488.6,2502.2,2502.2,2487.8,32204.0,-2377.0,18367.0,3.0,0.0,4286.0,0.0,2.0,-2.0,2724.0,-8809.0,2489.08,2462.52,2439.42,26.5600000000004,49.65999999999985,2455.614603174603,2433.268190476191,25286.4,,,1.245948195091862,1.337024373316679,2.582972568408541,3.0,4286.0,0.0,-6085.0,-0.07381070674450378,0.4879495370613986,,,0.8356,0.888,0.677
20240509,2505.8,2491.6,2511.8,2490.0,30818.0,-1386.0,19612.0,2.0,0.0,3592.0,0.0,2.0,-2.0,2269.0,-8965.0,2493.4,2470.06,2443.8,23.34000000000015,49.59999999999991,2461.580476190476,2437.321444444445,24494.3,,,1.209630609923152,1.327261666758827,2.536892276681979,2.0,3592.0,0.0,-6696.0,-0.04497371665909533,0.5601659436035382,,,0.7945,0.888,0.738
20240510,2512.2,2513.0,2525.0,2493.0,32772.0,1954.0,25166.0,3.0,0.0,3808.0,0.0,2.0,-2.0,2741.0,-8592.0,2501.8,2479.5,2449.11,22.30000000000018,52.69000000000005,2468.096190476191,2442.002714285714,24299.5,,,1.169546605186788,1.293614434287945,2.463161039474732,3.0,3808.0,0.0,-5851.0,0.059624069327474674,0.5747906750646469,,,0.7945,0.888,0.75
20240513,2507.2,2504.0,2514.6,2487.2,28667.0,-4105.0,24401.0,3.0,-1.0,2734.0,0.0,2.0,-2.0,2902.0,-8585.0,2503.64,2487.48,2454.52,16.16000000000031,49.12000000000035,2473.466666666667,2447.16026984127,24196.8,,,1.130554463232404,1.273750569404722,2.404305032637126,2.0,2734.0,0.0,-5683.0,-0.1431960093487285,0.5381818185336209,,,0.8219,0.88,0.718
20240514,2497.6,2506.6,2511.4,2492.2,24615.0,-4052.0,18013.0,3.0,-1.0,2939.0,0.0,2.0,-2.0,2630.0,-8886.0,2502.28,2493.54,2459.46,8.739999999999782,42.81999999999971,2478.013968253968,2452.649222222222,23536.7,,,1.111752482105751,1.268231722197693,2.379984204303444,2.0,2939.0,0.0,-6256.0,-0.16461507211050172,0.540230716314905,,,0.863,0.956,0.72
20240515,2478.0,2498.4,2500.8,2476.0,20557.0,-4058.0,18517.0,3.0,-1.0,3346.0,0.0,1.0,-2.0,2913.0,-9268.0,2500.16,2494.62,2464.54,5.539999999999964,35.61999999999989,2480.36492063492,2457.996507936508,22100.3,,0.15548,1.088322438580112,1.20778225796064,2.296104696540752,2.0,3346.0,-1.0,-6355.0,-0.19740234470010215,0.5284359496143021,,,0.8493,0.956,0.713
20240516,2477.6,2472.4,2488.8,2463.8,60228.0,39671.0,31199.0,2.0,-1.0,2235.0,-475.0,2.0,-2.0,2606.0,-6958.0,2494.52,2493.96,2467.29,0.5599999999999454,27.23000000000002,2481.651587301587,2462.929444444445,22182.5,37438.8,,1.106015180374853,1.152418311993205,2.258433492368058,1.0,1760.0,0.0,-4352.0,0.6586803480108919,0.5259301282453549,,,0.8356,0.8813,0.711
20240517,2520.4,2481.0,2521.0,2478.0,67853.0,7625.0,39865.0,3.0,-1.0,2736.0,-510.0,2.0,-2.0,1954.0,-6974.0,2496.16,2498.98,2472.49,-2.820000000000164,23.67000000000007,2485.42380952381,2467.786650793651,23842.9,47838.0,,1.153568026078676,1.20778225796064,2.361350284039316,2.0,2226.0,0.0,-5020.0,0.11237528185931352,0.150978376570125,,,0.8219,0.8707,0.388
