,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,ATRMA14,ATR60D60pct,推荐止损宽度,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势横截面分位数,趋势历史分位数,CB_index历史分位数
20240506,5523.4,5529.6,5548.0,5500.2,60437.0,197.0,39670.0,2.0,0.0,10397.0,0.0,2.0,-2.0,5024.0,-6555.0,5414.08,5339.46,5324.440000000001,74.61999999999989,89.63999999999942,5336.795396825399,5301.971142857144,42313.8,,2.153936138530184,2.310163412570371,4.464099551100555,2.0,10397.0,0.0,-1531.0,0.003259592633651571,0.580073627280639,,,0.8219,0.8627,0.174
20240507,5522.0,5530.0,5542.8,5501.2,55708.0,-4729.0,27593.0,2.0,0.0,10297.0,0.0,2.0,-2.0,5188.0,-6558.0,5469.12,5356.32,5331.45,112.8000000000002,137.6700000000001,5355.831428571429,5306.800000000001,41094.0,,2.093811078402277,2.282159148816516,4.375970227218794,2.0,10297.0,0.0,-1370.0,-0.08488906440726646,0.6573624622424995,,,0.8356,0.8747,0.215
20240508,5450.6,5501.6,5508.8,5444.6,55026.0,-682.0,29707.0,2.0,0.0,10137.0,0.0,2.0,-1.0,5440.0,-6308.0,5484.559999999999,5372.58,5335.38,111.9799999999996,149.1799999999994,5368.991269841269,5313.114253968253,39429.1,,1.96910836103435,2.210121713855233,4.179230074889583,2.0,10137.0,1.0,-868.0,-0.012394140951550177,0.7093778108679217,,,0.863,0.8867,0.255
20240509,5548.6,5470.0,5572.0,5459.8,54778.0,-248.0,37228.0,2.0,0.0,10023.0,0.0,2.0,-1.0,6015.0,-6188.0,5497.32,5402.820000000001,5348.5,94.49999999999909,148.8199999999997,5386.614920634919,5321.634888888889,39080.5,,1.884726592397314,2.174773626078366,4.059500218475679,2.0,10023.0,1.0,-173.0,-0.004527365000547665,0.6772630856788125,,,0.8904,0.8907,0.235
20240510,5530.8,5558.0,5576.8,5486.2,54730.0,-48.0,37466.0,2.0,0.0,11576.0,0.0,2.0,-1.0,5522.0,-6217.0,5515.08,5437.339999999999,5358.33,77.74000000000069,156.75,5404.772222222224,5332.835603174603,38532.3,,1.80312963075871,2.164861722563554,3.967991353322263,2.0,11576.0,1.0,-695.0,-0.0008770327060113283,0.6928318344474431,,,0.6986,0.7813,0.246
20240513,5497.0,5480.0,5526.6,5451.0,49042.0,-5688.0,38609.0,2.0,0.0,10412.0,0.0,2.0,-1.0,5837.0,-6337.0,5509.8,5461.94,5369.73,47.86000000000058,140.0700000000006,5417.269523809524,5345.90134920635,38602.6,,1.736733068572381,2.160220055531379,3.89695312410376,2.0,10412.0,1.0,-500.0,-0.11598221932221361,0.7143629020324328,,,0.6986,0.7693,0.259
20240514,5488.6,5520.0,5544.2,5473.2,42045.0,-6997.0,34136.0,2.0,0.0,10580.0,0.0,2.0,-2.0,5336.0,-6743.0,5503.120000000001,5486.120000000001,5379.01,17.0,124.1100000000006,5429.927142857144,5360.628888888889,38068.3,,1.709970075523678,2.139261890276493,3.849231965800171,2.0,10580.0,0.0,-1407.0,-0.1664169342371269,0.7081322652420403,,,0.6849,0.836,0.256
20240515,5443.4,5479.6,5492.6,5428.0,31948.0,-10097.0,31763.0,2.0,0.0,10375.0,0.0,2.0,-2.0,4813.0,-6939.0,5501.68,5493.12,5388.02,8.5600000000004,113.6600000000008,5436.997777777776,5375.622682539683,35819.7,,1.663420540085278,2.12587602696938,3.789296567054659,2.0,10375.0,0.0,-2126.0,-0.31604482283711033,0.7302334147866547,,,0.6849,0.8373,0.277
20240516,5378.4,5430.0,5445.0,5358.6,139471.0,107523.0,47928.0,2.0,0.0,10085.0,0.0,2.0,-2.0,4692.0,-6825.0,5467.64,5482.48,5389.690000000001,-14.83999999999924,77.94999999999982,5438.218412698413,5389.194476190476,35823.1,57513.6,1.627969252095017,2.088991053315578,3.716960305410595,2.0,10085.0,0.0,-2133.0,0.7709344594933714,0.7467327845994233,,,0.7534,0.8093,0.295
20240517,5460.4,5387.4,5468.2,5370.0,146236.0,6765.0,59718.0,2.0,0.0,11905.0,0.0,2.0,-2.0,5231.0,-7196.0,5453.56,5484.32,5402.809999999999,-30.75999999999931,50.75000000000091,5441.654603174605,5401.70726984127,38381.8,71661.59999999999,1.630052022379834,2.054243820163383,3.684295842543218,2.0,11905.0,0.0,-1965.0,0.04626083864438305,0.3761478192766057,,,0.7808,0.8293,0.105
20240520,5474.0,5472.2,5511.6,5446.6,143402.0,-2834.0,49483.0,2.0,0.0,11794.0,0.0,2.0,-2.0,5241.0,-7424.0,5448.960000000001,5479.38,5409.42,-30.41999999999916,39.54000000000087,5448.843015873017,5412.912031746032,39363.1,59379.6,1.609817091156839,1.989698341095183,3.599515432252022,2.0,11794.0,0.0,-2183.0,-0.01976262534692682,0.5054532598873683,,,0.8082,0.8533,0.148
20240521,5440.6,5467.0,5474.2,5414.8,139151.0,-4251.0,36500.0,2.0,0.0,11749.0,0.0,2.0,-2.0,4500.0,-7470.0,5439.36,5471.24,5413.780000000001,-31.88000000000011,25.57999999999902,5452.792380952382,5422.608126984127,40253.8,,1.497562744019007,1.989698341095183,3.487261085114191,2.0,11749.0,0.0,-2970.0,-0.030549546895099568,0.4851241388443831,,,0.8356,0.8107,0.136
20240522,5424.0,5436.6,5448.0,5410.6,137594.0,-1557.0,33716.0,2.0,0.0,11827.0,0.0,2.0,-2.0,4596.0,-6920.0,5435.48,5468.58,5420.58,-33.09999999999945,14.90000000000055,5454.06619047619,5431.115619047619,40654.7,,1.375290706020844,1.932027731930849,3.307318437951692,2.0,11827.0,0.0,-2324.0,-0.011315900402633836,0.5114488052189111,,,0.8767,0.8213,0.152
20240523,5326.0,5410.0,5410.0,5300.4,139981.0,2387.0,49426.0,2.0,0.0,11066.0,0.0,2.0,-2.0,4325.0,-6974.0,5425.0,5446.32,5424.570000000001,-21.31999999999971,0.4299999999993815,5447.383650793649,5437.192492063492,41874.5,,1.467039961938521,1.989698341095183,3.456738303033704,2.0,11066.0,0.0,-2649.0,0.017052314242647217,0.4804477929655744,,,0.8904,0.8587,0.135
20240524,5270.4,5320.0,5368.8,5266.6,136215.0,-3766.0,48421.0,2.0,0.0,10738.0,0.0,2.0,-2.0,4319.0,-6277.0,5387.0,5420.28,5428.809999999999,-33.27999999999975,-41.80999999999949,5434.643968253969,5440.179666666667,42970.0,,1.466924049371317,1.982332812352744,3.449256861724062,2.0,10738.0,0.0,-1958.0,-0.027647469074624675,0.5110871381385542,,,0.8904,0.864,0.153
20240527,5322.4,5291.0,5329.8,5238.6,134563.0,-1652.0,46017.0,2.0,0.0,10649.0,0.0,2.0,-2.0,4175.0,-5925.0,5356.679999999999,5402.820000000001,5432.379999999999,-46.14000000000124,-75.69999999999982,5422.811904761905,5440.733904761904,43710.8,,1.535989649622904,1.92711737943589,3.463107029058794,2.0,10649.0,0.0,-1750.0,-0.01227677742024182,0.5427871390445353,,,0.9178,0.8707,0.166
20240528,5280.0,5312.6,5322.0,5261.2,130995.0,-3568.0,42705.0,2.0,0.0,10398.0,0.0,2.0,-2.0,4187.0,-5362.0,5324.559999999999,5381.96,5434.039999999999,-57.40000000000055,-109.4799999999996,5408.789523809524,5438.620142857142,44567.7,,1.518094580455058,1.916870607052668,3.434965187507726,2.0,10398.0,0.0,-1175.0,-0.0272376808275125,0.5726718729801562,,,0.9315,0.8827,0.179
20240529,5290.0,5276.0,5337.0,5267.6,131357.0,362.0,47891.0,2.0,0.0,10867.0,0.0,2.0,-2.0,4085.0,-5548.0,5297.76,5366.62,5429.87,-68.85999999999967,-132.1099999999997,5395.049523809525,5434.425317460317,46180.5,,1.454526221140876,1.890804372587819,3.345330593728695,2.0,10867.0,0.0,-1463.0,0.002755848565360049,0.5716082315695381,,,0.9589,0.9507,0.178
20240530,5287.0,5280.0,5324.8,5260.6,130700.0,-657.0,46055.0,2.0,0.0,10709.0,0.0,2.0,-2.0,4611.0,-5632.0,5289.96,5357.48,5419.98,-67.52000000000044,-130.0199999999995,5381.844761904763,5428.787952380952,45993.2,,1.424208898121836,1.854568140162711,3.278777038284546,2.0,10709.0,0.0,-1021.0,-0.005026778882938026,0.5821163100150083,,,0.9589,0.9507,0.187
20240531,5282.2,5315.0,5341.6,5280.2,127291.0,-3409.0,42065.0,2.0,0.0,10691.0,0.0,2.0,-2.0,5041.0,-5427.0,5292.320000000001,5339.66,5411.99,-47.33999999999924,-119.6699999999992,5369.463333333332,5421.568825396826,44227.9,,1.40380005161812,1.854568140162711,3.258368191780831,2.0,10691.0,0.0,-386.0,-0.026781154991319105,0.5583997154804058,,,0.9726,0.9507,0.173
20240603,5239.8,5280.2,5295.0,5194.0,129982.0,2691.0,53319.0,2.0,0.0,10993.0,0.0,2.0,-2.0,4798.0,-5645.0,5275.8,5316.24,5397.809999999999,-40.4399999999996,-122.0099999999993,5353.814444444445,5412.065968253968,44611.5,,1.448505444575845,1.890804372587819,3.339309817163664,2.0,10993.0,0.0,-847.0,0.02070286655075318,0.6015581620883771,,,0.9452,0.8867,0.197
20240604,5307.2,5229.0,5330.0,5218.0,124382.0,-5600.0,53950.0,2.0,0.0,11237.0,0.0,2.0,-2.0,5861.0,-5817.0,5281.24,5302.9,5387.070000000001,-21.65999999999985,-105.8300000000008,5342.749206349205,5401.061650793651,46356.5,,1.514527482402274,1.916870607052668,3.431398089454942,2.0,11237.0,0.0,44.0,-0.04502259169333183,0.6205538030473838,,,0.9315,0.9373,0.201
20240605,5247.6,5300.0,5318.0,5245.6,120090.0,-4292.0,41265.0,2.0,0.0,11133.0,0.0,2.0,-1.0,5484.0,-5512.0,5272.76,5285.26,5376.92,-12.5,-104.1599999999999,5330.571428571428,5388.712174603175,47111.4,,1.49842736123539,1.890804372587819,3.389231733823209,2.0,11133.0,1.0,-28.0,-0.035739861770338915,0.5929434845384615,,,0.9178,0.936,0.194
20240606,5208.2,5280.0,5285.6,5183.6,125513.0,5423.0,61802.0,2.0,0.0,11080.0,0.0,2.0,-1.0,5669.0,-5347.0,5257.0,5273.48,5359.9,-16.48000000000047,-102.8999999999996,5316.407460317462,5375.614555555556,48349.0,74162.4,1.508614316782123,1.890804372587819,3.399418689369942,2.0,11080.0,1.0,322.0,0.04320667978615761,0.5676833809936723,,,0.9178,0.9227,0.179
20240607,5178.0,5239.0,5248.6,5149.0,117522.0,-7991.0,53160.0,2.0,0.0,10743.0,0.0,2.0,-2.0,5198.0,-5634.0,5236.16,5264.24,5342.26,-28.07999999999993,-106.1000000000004,5300.469999999999,5362.197158730159,48822.9,,1.561331868713176,1.892295831834575,3.45362770054775,2.0,10743.0,0.0,-436.0,-0.06799577951362298,0.5892248933669728,,,0.8904,0.884,0.194
20240611,5198.6,5154.2,5217.8,5134.2,114628.0,-2894.0,46475.0,2.0,0.0,9665.0,0.0,2.0,-1.0,5625.0,-5260.0,5227.92,5251.86,5327.34,-23.9399999999996,-99.42000000000007,5284.549047619048,5348.370873015873,48868.7,,1.599211496126528,1.854568140162711,3.453779636289239,2.0,9665.0,1.0,365.0,-0.025246885577694805,0.6037615532455447,,,0.8767,0.8693,0.202
20240612,5210.0,5190.0,5228.8,5186.0,107441.0,-7187.0,39378.0,2.0,0.0,9883.0,0.0,2.0,-2.0,5297.0,-5689.0,5208.48,5244.86,5313.41,-36.3799999999992,-104.9299999999994,5272.714920634921,5334.763412698413,48536.0,,1.611190619084992,1.854568140162711,3.465758759247703,2.0,9883.0,0.0,-392.0,-0.06689252706136391,0.6516760019152821,,,0.8493,0.8467,0.229
20240613,5184.0,5215.6,5222.8,5162.2,105389.0,-2052.0,42403.0,2.0,0.0,9788.0,0.0,2.0,-2.0,4817.0,-5846.0,5195.76,5234.26,5300.440000000001,-38.5,-104.6800000000003,5260.790158730159,5321.337476190476,47987.2,,1.528595178041342,1.854568140162711,3.383163318204052,2.0,9788.0,0.0,-1029.0,-0.019470722750951238,0.6993012808756593,,,0.863,0.8107,0.268
20240614,5211.6,5175.4,5239.0,5152.0,101834.0,-3555.0,58607.0,2.0,0.0,9687.0,0.0,2.0,-2.0,4885.0,-6073.0,5196.440000000001,5226.719999999999,5292.1,-30.27999999999884,-95.65999999999985,5250.342698412698,5308.18726984127,49242.4,,1.509123635403137,1.837513019633603,3.346636655036741,2.0,9687.0,0.0,-1188.0,-0.03490975509161969,0.6450088577867676,,,0.8356,0.776,0.224
