,收盘价,开盘价,最高价,最低价,持仓量,持仓量变动,成交量,家人多头席位数,家人空头席位数,家人多头持仓量,家人空头持仓量,机构多头席位数,机构空头席位数,机构多头持仓量,机构空头持仓量,ma5,ma10,ma20,diff5_10,diff5_20,DKX,MADKX,成交量MA10,成交量放大信号,IV上涨信号,家人净多头席位,家人净多头持仓量,机构净多头席位,机构净多头持仓量,持仓量变幅,CB_index,IV,IV_pct,趋势排名分位数
20240506,549.0229,544.0038,549.1782,542.8937,408314.0,1939.0,177380.0,2.0,-1.0,4316.0,0.0,3.0,0.0,25510.0,0.0,552.92418,555.98004,557.03222,-3.055860000000052,-4.108040000000074,557.45625,556.7549706666666,399136.7,,,1.0,4316.0,3.0,25510.0,0.00474879626953766,-0.2916451029932582,,,0.4032
20240507,550.6757,550.3341,552.8733,549.6536,409880.0,1566.0,245065.0,2.0,0.0,4673.0,0.0,3.0,0.0,26227.0,0.0,552.53592,554.3726899999999,557.7921100000001,-1.836769999999888,-5.256190000000061,556.8699673809525,557.2758653492064,368001.6,,,2.0,4673.0,3.0,26227.0,0.003820630428418074,-0.1844026148279328,,,0.371
20240508,549.7764,549.8704,551.7366,547.9753,409499.0,-381.0,229342.0,2.0,0.0,4913.0,0.0,3.0,0.0,26116.0,0.0,551.11018,552.38482,558.16749,-1.274639999999977,-7.05731000000003,556.079300952381,557.437595984127,322587.1,,,2.0,4913.0,3.0,26116.0,-0.0009304052024547069,-0.2405628597070198,,,0.3548
20240509,549.0252,550.2274,551.0764,548.4825,403714.0,-5785.0,216140.0,1.0,-1.0,4970.0,0.0,3.0,0.0,24349.0,0.0,550.14076,551.31636,557.841115,-1.175600000000031,-7.700354999999945,555.2982958730158,557.324420595238,301469.0,,,0.0,4970.0,3.0,24349.0,-0.014329451047028341,-0.2877027324627719,,,0.2903
20240510,562.3461,551.0927,562.3885,549.3663,420492.0,16778.0,349500.0,0.0,-2.0,1791.0,0.0,3.0,0.0,29281.0,0.0,552.16926,552.9195900000001,558.06826,-0.7503300000000763,-5.899000000000001,555.3307768253969,557.1460087698413,287037.7,419400.0,0.21073,-2.0,1791.0,3.0,29281.0,0.03990087801908241,-0.4334572417980044,,,0.3548
20240513,558.6901,561.0754,563.2484,558.1084,418140.0,-2352.0,333753.0,1.0,-1.0,3179.0,-638.0,3.0,0.0,32071.0,0.0,554.1027,553.51344,558.0136150000001,0.5892600000000812,-3.910915000000045,555.5076112698413,556.9418011111111,279829.6,,,0.0,2541.0,3.0,32071.0,-0.0056249103171186685,-0.349580146465814,,,0.3065
20240514,555.9373,558.2699,558.9338,555.6231,414257.0,-3883.0,226700.0,1.0,-1.0,4906.0,0.0,3.0,0.0,30640.0,0.0,555.15502,553.84547,557.997075,1.309550000000058,-2.842054999999959,555.3202442063492,556.6880406904762,266754.3,,,0.0,4906.0,3.0,30640.0,-0.00937340829485078,-0.2945394710747187,,,0.5
20240515,560.1986,558.0079,561.0293,557.4072,418306.0,4049.0,244642.0,1.0,-1.0,3543.0,0.0,3.0,0.0,32465.0,0.0,557.23946,554.17482,557.4313050000001,3.064640000000054,-0.1918450000000576,555.4871242857142,556.4097660793651,254383.5,,,0.0,3543.0,3.0,32465.0,0.009679516908674511,-0.3979370066661454,,,0.5161
20240516,565.6293,562.7974,568.2415,558.7599,420826.0,2520.0,359323.0,1.0,-1.0,3081.0,-527.0,3.0,0.0,32192.0,0.0,560.56028,555.35052,557.46303,5.209760000000074,3.097250000000031,556.1295347619047,556.1770545714286,260643.5,431187.6,0.19773,0.0,2554.0,3.0,32192.0,0.005988223161116471,-0.3165515998676277,,,0.5806
20240517,566.2051,564.2793,566.2494,562.6484,417833.0,-2993.0,204650.0,1.0,-1.0,3770.0,0.0,3.0,0.0,31727.0,0.0,561.33208,556.75067,557.3649250000001,4.581410000000005,3.967154999999934,556.8572574603174,556.0336363015873,258649.5,,,0.0,3770.0,3.0,31727.0,-0.007163148913561159,-0.3037032125518712,,,0.5968
20240520,580.3046,567.8542,583.6689,567.8542,435389.0,17556.0,513090.0,1.0,-1.0,2520.0,0.0,3.0,0.0,34898.0,0.0,565.65498,559.8788400000001,557.92944,5.776139999999941,7.725540000000024,558.6976541269842,556.1577767142857,292220.5,615708.0,0.247,0.0,2520.0,3.0,34898.0,0.0403225621226076,-0.3383069114201524,,,0.6129
20240521,573.6989,575.0993,582.6403,572.6735,424207.0,-11182.0,417302.0,1.0,-1.0,4359.0,0.0,3.0,0.0,33647.0,0.0,569.2073,562.18116,558.2769249999999,7.026140000000055,10.93037500000014,560.3318952380953,556.5039694999999,309444.2,500762.4,,0.0,4359.0,3.0,33647.0,-0.026359772469572638,-0.3835962992377437,,,0.629
